Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:09xdLPWjxSbqWKTe7bbRqy,"What D'You Say?","The Scene Between","The Go! Team",2015-03-30,252920,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.371,0.933,1,-2.512,1,0.0684,0.00312,0.348,0.382,0.375,138.954,4
spotify:track:0pgpfvm5EYkg3VvjTueDSO,"The Scene Between","The Scene Between","The Go! Team",2015-03-30,228173,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.419,0.992,5,-1.479,1,0.0422,0.02,0.406,0.846,0.542,88.496,4
spotify:track:4NFPMaMdNIRwSQ9XdK7P6c,"Waking The Jetstream","The Scene Between","The Go! Team",2015-03-30,243027,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.466,0.971,8,-2.137,0,0.0412,0.00814,0.000134,0.343,0.715,150.009,4
spotify:track:76Uo4qD4jIquy9sevIMy6m,"Rolodex The Seasons","The Scene Between","The Go! Team",2015-03-30,58347,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.598,0.854,7,-2.596,1,0.0556,0.722,0.818,0.745,0.805,95.811,3
spotify:track:7FWQNxw5z4ypDPFgCURT7T,"Blowtorch","The Scene Between","The Go! Team",2015-03-30,208160,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.288,0.934,1,-2.094,1,0.0769,0.000019,0.472,0.429,0.592,149.988,4
spotify:track:7AkbvwSAtgkzNESTb1AGUN,"Did You Know?","The Scene Between","The Go! Team",2015-03-30,290547,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.5,0.915,0,-2.372,0,0.0351,0.00374,0.0151,0.434,0.69,123.052,4
spotify:track:02IDJTzendDgTHzS9KBoLm,"Gaffa Tape Bikini","The Scene Between","The Go! Team",2015-03-30,43667,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.372,0.967,2,-5.294,1,0.311,0.0509,0.819,0.388,0.245,98.427,4
spotify:track:6cWYMPlRcAOWRzDwEx377S,"Catch Me On The Rebound","The Scene Between","The Go! Team",2015-03-30,171747,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.332,0.991,10,-1.56,1,0.0776,0.0108,0.0000877,0.555,0.619,154.961,4
spotify:track:3il8jDQeAEvNbksPLgsgsN,"The Floating Felt Tip","The Scene Between","The Go! Team",2015-03-30,53560,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.326,0.888,5,-9.475,1,0.311,0.954,0.702,0.126,0.255,95.44,1
spotify:track:2lN3mkSjCnEAERcLKZBFq4,"Her Last Wave","The Scene Between","The Go! Team",2015-03-30,232720,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.37,0.901,4,-2.587,0,0.057,0.00000883,0.506,0.233,0.512,129.96,4
spotify:track:6tgmZQ3t5BU23tOK5iZAd3,"The Art of Getting By (Song For Heaven's Gate)","The Scene Between","The Go! Team",2015-03-30,226427,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.353,0.849,4,-2.336,1,0.0409,0.000145,0.198,0.341,0.398,95.037,4
spotify:track:1aBwGaR8dEtkRUbM8Ar1KR,"Reason Left to Destroy","The Scene Between","The Go! Team",2015-03-30,225520,0,false,5forty,2020-07-19T12:55:22Z,"plunderphonics,alternative dance","Memphis Industries",0.336,0.943,11,-3.142,1,0.0818,0.00459,0.00937,0.118,0.361,141.363,4
