Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1GSFbWIl5hn8oQdRsnPKIE,"Levitation","Claustrophobia","Scuba",2015-03-23,292229,1,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.332,0.661,1,-14.711,0,0.0517,0.0131,0.878,0.104,0.036,124.061,4
spotify:track:2OisOuaE6tmAyPDcvze8R8,"Why You Feel So Low","Claustrophobia","Scuba",2015-03-23,412227,6,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.601,0.68,11,-11.602,0,0.0476,0.0223,0.888,0.146,0.0375,127.008,4
spotify:track:13LzitbF2UUJJjB1cPeNjK,"Television","Claustrophobia","Scuba",2015-03-23,310463,6,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.625,0.667,7,-11.175,1,0.0579,0.179,0.897,0.666,0.315,123.85,4
spotify:track:05urQWGNpWQsVX5meTQ70f,"Drift","Claustrophobia","Scuba",2015-03-23,267814,1,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.606,0.489,4,-14.35,0,0.033,0.32,0.906,0.204,0.241,118.014,4
spotify:track:2JHbccZiC9TL08znpb4Eit,"PCP","Claustrophobia","Scuba",2015-03-23,418778,5,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.648,0.685,7,-11.154,1,0.0529,0.00566,0.903,0.647,0.0484,126.004,4
spotify:track:2zcpe322CcjJVUB1nBfSbM,"All I Think About Is Death","Claustrophobia","Scuba",2015-03-23,261346,2,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.417,0.576,5,-12.579,0,0.0559,0.121,0.234,0.0922,0.365,187.363,4
spotify:track:29wdK9TlhWQRBM1B8KMyuj,"Needle Phobia","Claustrophobia","Scuba",2015-03-23,280453,1,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.616,0.707,2,-10.31,1,0.0732,0.234,0.877,0.135,0.232,137.027,4
spotify:track:7daSaUx98Q8V8k5chacA3a,"Family Entertainment","Claustrophobia","Scuba",2015-03-23,152672,1,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.204,0.592,7,-17.536,1,0.255,0.119,0.00000396,0.383,0.086,125.679,4
spotify:track:0cLI6VWKrezHgkKVpi8DZj,"Black on Black","Claustrophobia","Scuba",2015-03-23,540386,2,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.621,0.821,1,-10.62,0,0.0573,0.0693,0.857,0.106,0.0961,123.991,4
spotify:track:5wEgBScGdGRv8XndFCU9In,"Transience","Claustrophobia","Scuba",2015-03-23,264346,1,false,5forty,2015-03-29T22:19:10Z,"dub techno,uk funky","Hotflush Recordings",0.448,0.561,0,-13.254,1,0.0454,0.66,0.873,0.73,0.0309,160.112,4
