Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7CjAEFtpa1bTXjPzjicrRr,"Outside","Falling","Seapony",2012-09-10,203880,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.557,0.817,9,-7.521,1,0.0323,0.00481,0.869,0.0643,0.677,127.013,4
spotify:track:1veQ2OE1Xjbxg82rkebKsM,"Tell Me So","Falling","Seapony",2012-09-10,210213,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.553,0.682,10,-7.702,1,0.0305,0.034,0.6,0.082,0.955,136.466,4
spotify:track:6b1a8pklfT1ocHr6ITimjY,"What You Wanted","Falling","Seapony",2012-09-10,152666,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.488,0.707,6,-7.767,1,0.0317,0.00186,0.199,0.093,0.816,148.626,4
spotify:track:1nRFwYXecAtarR7X3NQGm8,"Follow","Falling","Seapony",2012-09-10,147973,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.654,0.717,6,-8.932,0,0.03,0.199,0.913,0.329,0.97,136.485,4
spotify:track:466xrCnZQ4qC0CgQD5kJ77,"Be Alone","Falling","Seapony",2012-09-10,190306,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.558,0.593,3,-7.906,0,0.0305,0.111,0.963,0.112,0.573,157.635,4
spotify:track:3C7VtohkFLFQDSVa5L5WDK,"No One Will","Falling","Seapony",2012-09-10,124946,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.587,0.574,5,-9.072,0,0.0332,0.0416,0.668,0.125,0.798,156.51,4
spotify:track:45lhH07BWdtx8FmEF74bw1,"Never Be","Falling","Seapony",2012-09-10,178786,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.468,0.833,9,-7.065,0,0.0285,0.00349,0.954,0.242,0.843,158.6,4
spotify:track:5BGIpuuyguSlvm4S4mwG7U,"Sunlight","Falling","Seapony",2012-09-10,241426,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.559,0.425,10,-9.988,1,0.0413,0.316,0.00663,0.118,0.315,129.972,4
spotify:track:665huihciHwQHITKYnlQ5W,"Prove to Me","Falling","Seapony",2012-09-10,220293,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.568,0.669,9,-7.871,1,0.0293,0.000194,0.789,0.117,0.718,136.412,4
spotify:track:2I4QgMj5TrciObRdJOon0o,"Fall Apart","Falling","Seapony",2012-09-10,129413,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.54,0.403,10,-11.779,1,0.0298,0.316,0.889,0.14,0.627,120.182,4
spotify:track:7HCfG1N0yAIH9p1dgG3IJZ,"See Me Cry","Falling","Seapony",2012-09-10,201746,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.685,0.657,4,-8.432,1,0.0306,0.0128,0.336,0.163,0.755,121.285,4
spotify:track:0lDScRKDzOn41QGYDEulzZ,"Nothing Left","Falling","Seapony",2012-09-10,193480,0,false,5forty,2014-01-21T23:01:39Z,"dream pop,jangle pop,chillwave,surf rock,shoegaze","Hardly Art",0.597,0.592,5,-7.081,0,0.03,0.02,0.128,0.323,0.681,120.706,4
spotify:track:43fQztrFu5UpEzqxnDBvLi,"Feed The Tree","Star","Belly",1993,209000,0,false,5forty,2014-05-12T23:22:42Z,"riot grrrl","4AD",0.554,0.711,0,-8.306,1,0.0275,0.0034,0.701,0.0606,0.866,137.969,4
