Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:48Dmar166f9xoaRay4jVNf,"Lay Myself Down","Seasons of Your Day","Mazzy Star",2013-09-24,271760,46,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.489,0.491,7,-8.383,1,0.0294,0.0221,0.00112,0.132,0.253,114.799,4
spotify:track:0hCjDPhl5JbFpYbrlebXvB,"In the Kingdom","Seasons of Your Day","Mazzy Star",2013-09-24,314753,56,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.338,0.456,0,-10.008,1,0.027,0.537,0.331,0.0925,0.347,171.819,4
spotify:track:4Aaw7XGRKd2baTBfUAzaR2,"California","Seasons of Your Day","Mazzy Star",2013-09-24,323173,43,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.351,0.255,7,-14.803,1,0.0297,0.751,0.0379,0.182,0.0369,154.363,4
spotify:track:68oQiNfNgA05TjCOOaivl2,"I’ve Gotta Stop","Seasons of Your Day","Mazzy Star",2013-09-24,244680,49,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.335,0.36,7,-10.503,1,0.0293,0.678,0.0582,0.0936,0.285,129.565,4
spotify:track:5EZd8z19iXSU41BazvziiA,"Does Someone Have Your Baby Now?","Seasons of Your Day","Mazzy Star",2013-09-24,248946,41,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.326,0.212,7,-15.133,1,0.0308,0.782,0.0000555,0.106,0.0758,145.189,3
spotify:track:1YwglvmMof9HZLt9JZRfaZ,"Common Burn","Seasons of Your Day","Mazzy Star",2013-09-24,309920,55,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.405,0.17,7,-15.135,1,0.0309,0.906,0.383,0.0956,0.142,126.256,4
spotify:track:4M5jxBKVBYJqWJOIzJnaf6,"Seasons of Your Day","Seasons of Your Day","Mazzy Star",2013-09-24,221200,38,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.381,0.0817,2,-18.402,1,0.0337,0.928,0.024,0.0928,0.107,131.618,4
spotify:track:5yjWQWPLGUXwmreEPGF5JD,"Sparrow","Seasons of Your Day","Mazzy Star",2013-09-24,244880,34,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.541,0.115,6,-17.589,1,0.0341,0.856,0.0223,0.0783,0.112,126.008,4
spotify:track:1iIvXEWkK1MidEbOkW3ZKX,"Spoon","Seasons of Your Day","Mazzy Star",2013-09-24,369906,32,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.271,0.323,7,-11.223,1,0.0364,0.149,0.334,0.12,0.101,185.685,3
spotify:track:4VSX3jUHpUjXyWcf7Wstp4,"Flying Low","Seasons of Your Day","Mazzy Star",2013-09-24,456289,32,false,5forty,2013-10-02T05:14:22Z,"dream pop,shoegaze,slowcore","Rhymes of an Hour Records",0.317,0.61,2,-7.948,1,0.0362,0.58,0.156,0.286,0.441,97.022,4
