Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5eKfV3wlU0RGSrRNOkxBhu,"Shed My Skin - Laurent Wery Club Mix","Shed My Skin (Laurent Wery Remixes)","D*Note;Laurent Wery",2012-06-11,375195,0,false,5forty,2012-08-01T00:08:20Z,"acid jazz","541",0.691,0.708,4,-7.21,0,0.0593,0.000664,0.256,0.946,0.57,128.005,4
spotify:track:4603Sfeo8SBRyNdcPGX0sZ,"Atom - Original Mix","Atom","Nari;Milani",2012-04-23,334015,0,false,5forty,2012-08-01T00:08:20Z,"funky house,nu disco,disco house,electro house","Size Records",0.533,0.98,1,-5.98,0,0.0529,0.0251,0.877,0.0363,0.109,127.983,4
spotify:track:0mZwJquPF3l3Mtxi3PTs4Y,"Fuck With You - Extended","Fuck With You","Bob Sinclar;Sophie Ellis-Bextor;Gilbere Forté",2012-04-23,292720,0,false,5forty,2012-08-01T00:08:20Z,"french house,disco house","541",0.78,0.732,0,-3.687,1,0.0633,0.00332,0.00000268,0.305,0.86,127.985,4
spotify:track:6yTkllVlMl9R5qnk5HhOWx,"Silhouettes - Original Mix","Silhouettes","Avicii",2012-01-01,420013,0,false,5forty,2012-08-01T00:08:20Z,"edm","Virgin",0.716,0.521,5,-8.19,0,0.0604,0.064,0.691,0.0517,0.365,128.01,4
spotify:track:5Y7MrbMbjxOKu4m3XId59E,"Can’t Get Better Than This - Patrick Hagenaar Remix","Can’t Get Better Than This","Parachute Youth",2012-04-09,397500,0,false,5forty,2012-08-01T00:08:20Z,"","La Musique Fait La Force",0.653,0.644,9,-6.863,0,0.12,0.0058,0.0000309,0.051,0.234,128.027,4
spotify:track:0fwlK4Z9PEKjO9x7kGKz6S,"Shining Star - Joe Goddard Remix","Shining Star","Nneka;Joe Goddard",2012-02-26,542493,42,false,5forty,2012-08-01T00:08:20Z,"neo soul,indie soul","Sony Music Catalog",0.843,0.554,8,-7.608,1,0.045,0.0117,0.3,0.0474,0.439,124,4
spotify:track:1oetTjzloPtOPMSQmw6EP3,"Chinatown - Original Mix","Chinatown","Alex Gaudino",2012,367671,2,false,5forty,2012-08-01T00:08:20Z,"","541",0.701,0.884,1,-2.624,0,0.147,0.00691,0.789,0.0923,0.284,128.036,4
spotify:track:2LkDMvteVZ0HUqBApHaBoj,"The Night Out - A-Trak Remix","The Night Out EP","Martin Solveig",2012-01-01,360093,0,false,5forty,2012-08-01T00:08:20Z,"french house","Universal Music S.A.",0.758,0.961,1,-2.972,0,0.202,0.023,0.201,0.359,0.33,127.984,4
spotify:track:1pnBLmKOqhKcLUV4aFubgi,"Happiness - The Magician Remix","Happiness Remixes - EP","Sam Sparro",2012-01-01,218025,0,false,5forty,2012-08-01T00:08:20Z,"","Capitol Records",0.733,0.671,10,-5.15,0,0.0374,0.00608,0.672,0.109,0.251,120.021,4
spotify:track:43ydCu0x0PeLZ44pBXTNcT,"Don't Blame The Party (Mode) - Extended Mix","Don't Blame The Party (Mode)","Bingo Players;Heather Bright",2012-01-01,358746,0,false,5forty,2012-08-01T00:08:20Z,"big room","ARS Entertainment N.V.",0.65,0.544,1,-6.862,0,0.0365,0.000504,0.215,0.315,0.144,126.958,4
