Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:33HRECrmuelZxOpid6XTNX,"Alison","Souvlaki","Slowdive",1993,230986,67,false,,2023-12-08T16:49:10Z,"shoegaze,dream pop,slowcore","Creation Records",0.276,0.449,4,-11.428,1,0.0375,0.00782,0.783,0.108,0.278,101.687,4
spotify:track:1LwP9g1Hjbs64jXM2Qsxry,"Just Like Honey","Psychocandy (Expanded Version)","The Jesus and Mary Chain",1985-11-18,182493,58,false,,2021-06-03T02:39:04Z,"shoegaze,post-punk,dream pop,noise rock,new wave","Rhino",0.341,0.552,8,-10.503,1,0.0423,0.0000802,0.616,0.0591,0.486,121.361,4
spotify:track:37pKTyMwalomKCZjxTc2QZ,"Cherry-coloured Funk","Heaven or Las Vegas","Cocteau Twins",1990-09-17,192466,71,false,,2021-06-03T02:39:04Z,"dream pop,shoegaze,gothic rock","4AD",0.49,0.652,2,-5.813,1,0.0274,0.00196,0.0000624,0.0991,0.339,90.085,4
spotify:track:2wSmwBjoS5skbNYAMBi5qG,"Tugboat","Today","Galaxie 500",1988-02-14,236933,47,false,,2021-06-03T02:39:04Z,"slowcore,dream pop,shoegaze,jangle pop","20/20/20",0.285,0.89,0,-8.143,1,0.0405,0.153,0.492,0.113,0.323,115.988,4
spotify:track:7FoVZCTSLY9gQ2vqIURPcg,"Dozen","Eyedazzler","Alison's Halo",1998-06-29,312537,57,false,,2024-10-15T03:39:28Z,"shoegaze,dream pop,slowcore","Nettwerk Music Group",0.346,0.653,9,-9.257,0,0.0347,0.116,0.19,0.163,0.309,92.673,4
spotify:track:3YJyRIunGnzVfxoMPEld1v,"Leave Them All Behind","Going Blank Again (Remastered)","Ride",1992-03-09,497466,34,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neo-psychedelic","Ride Music",0.282,0.846,4,-4.641,1,0.0728,0.0000829,0.482,0.521,0.174,184.617,4
spotify:track:7fectUUMiPjZijOJIJaN3S,"Sight of You","The Comforts of Madness","Pale Saints",1990-02-12,337600,46,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","4AD",0.459,0.465,7,-13.564,1,0.0388,0.11,0.259,0.0915,0.117,123.94,4
spotify:track:1KKuoYESWoUGsau6YYoEMl,"only shallow","loveless","my bloody valentine",1991-11-04,256573,54,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,4
spotify:track:4h9pwQbHEz9HSGeOE8UMf4,"23","23","Blonde Redhead",2007-04-16,318800,44,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","4AD",0.383,0.835,8,-5.07,1,0.049,0.0194,0.189,0.153,0.17,120.268,4
spotify:track:67gNdta1qUt62Q2heUbKsK,"Not Too Soon","The Real Ramona","Throwing Muses",1991-02-18,190160,34,false,,2021-06-03T02:39:04Z,"riot grrrl","4AD",0.446,0.906,4,-13.128,1,0.0353,0.00231,0.889,0.151,0.899,154.177,4
spotify:track:5AUV2W6nN9AwdFfMpANjcj,"Bout des doigts","Bout des doigts","The Brian Jonestown Massacre",2016-06-10,426331,34,false,,2021-06-03T02:39:04Z,"neo-psychedelic,psychedelic rock,shoegaze,space rock","'a' Records",0.509,0.903,6,-6.887,0,0.03,0.00129,0.808,0.114,0.554,103.714,4
spotify:track:76JhicgPtW4zbN72tpnMyA,"Souvlaki Space Station","Souvlaki","Slowdive",1993,357373,54,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Creation Records",0.387,0.599,4,-8.277,0,0.0301,0.00365,0.789,0.134,0.443,137.936,4
spotify:track:4TJVYq699BO7PagAjXxYhJ,"soon","loveless","my bloody valentine",1991-11-04,419306,48,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.431,0.927,6,-9.072,0,0.0432,0.00000599,0.869,0.42,0.632,109.55,4
spotify:track:40ABtf917Ghhi2tkQDNOdn,"Kick The Tragedy","Delaware","Drop Nineteens",1992-01-01,535600,50,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Caroline Records",0.414,0.404,5,-14.677,1,0.0293,0.0000244,0.433,0.121,0.156,102.883,4
spotify:track:0jmyo9QOmFbjDCYpNaPDhy,"Black Metallic","Ferment","Catherine Wheel",1992-06-09,438906,43,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","EMI",0.246,0.413,9,-11.763,0,0.0348,0.102,0.0265,0.242,0.0873,149.731,4
spotify:track:2A0Rzes11fJBmvvpG4tGfm,"In Undertow","Antisocialites","Alvvays",2017-09-08,197186,39,false,,2021-06-03T02:39:04Z,"dream pop,shoegaze,jangle pop,indie","Transgressive",0.359,0.689,1,-2.627,1,0.0441,0.000118,0.00179,0.101,0.269,116.956,4
spotify:track:0Sr9uJqXFAvqHcgwg3UjY5,"Slide Away - Remastered 2016","A Storm In Heaven (2016 Remastered / Deluxe)","The Verve",1993-06-21,243453,44,false,,2021-06-03T02:39:04Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.306,0.635,2,-7.566,1,0.032,0.017,0.323,0.0769,0.221,150.1,4
spotify:track:5CXokdWISVHIcq4BsKwDvJ,"sometimes","loveless","my bloody valentine",1991-11-04,319160,52,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.356,0.609,7,-14.697,1,0.0514,0.0000109,0.878,0.1,0.0952,128.432,4
spotify:track:03vkICPhl5N7CFmasxCERG,"In Your Room","Winks & Kisses (20th Anniversary Deluxe Edition)","Airiel",2023-11-03,566466,48,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","FEELTRIP RECORDS",0.443,0.938,11,-6.348,1,0.0326,0.000285,0.308,0.0952,0.504,104.973,4
spotify:track:0T93qPP4OC3FQaaHCB3rk9,"Wishes","Eyedazzler","Alison's Halo",1998-06-29,213491,49,false,,2024-10-15T03:39:28Z,"shoegaze,dream pop,slowcore","Nettwerk Music Group",0.347,0.537,2,-8.072,1,0.0281,0.0000017,0.829,0.142,0.529,143.94,4
spotify:track:2TIJiqr72Qe9tGd26fStIN,"Lazuli","Bloom","Beach House",2012-05-14,301866,53,false,,2021-06-03T02:39:04Z,"dream pop","Bella Union",0.338,0.812,11,-5.79,0,0.0298,0.0103,0.645,0.263,0.72,219.435,4
spotify:track:0eVz3hV2xOXdneGpnWDFpb,"Sugar for the Pill","Slowdive","Slowdive",2017-05-05,270918,61,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Dead Oceans",0.534,0.536,7,-7.682,1,0.0244,0.209,0.835,0.113,0.427,98.018,4
spotify:track:4gk3WswSlTMV2LbLVahwbt,"Evergreen","Tepid Peppermint Wonderland - A Retrospective","The Brian Jonestown Massacre",2008-06-09,203560,32,false,,2021-06-03T02:39:04Z,"neo-psychedelic,psychedelic rock,shoegaze,space rock","'a' Records",0.312,0.7,2,-6.779,1,0.0355,0.0000876,0.878,0.359,0.123,98.288,4
spotify:track:19QGKOXTqmk1ezHQpiUIwA,"Pearl - 12'' Version","Best Of","Chapterhouse",2007-05-05,314706,37,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,madchester,slowcore","Sony BMG Music Entertainment",0.395,0.9,7,-5.868,1,0.0392,0.0000763,0.904,0.223,0.629,100.079,4
spotify:track:2Suwr5xwjMpGTYoB2wPD3v,"Calendar","Eyedazzler","Alison's Halo",1998-06-29,348247,44,false,,2024-10-15T03:39:28Z,"shoegaze,dream pop,slowcore","Nettwerk Music Group",0.104,0.7,0,-8.944,1,0.044,0.0579,0.879,0.136,0.234,170.866,4
spotify:track:1KHUssw2E3VEsHEwda34lG,"Drive Blind","4 EPs","Ride",1990,284160,24,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neo-psychedelic","Wichita Recordings",0.295,0.903,9,-6.111,1,0.0482,0.00000878,0.5,0.145,0.584,101.135,4
spotify:track:7nq6qpHhCJ3pNOa3KHi8fe,"Star Roving","Slowdive","Slowdive",2017-05-05,338869,51,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Dead Oceans",0.325,0.93,9,-4.926,1,0.0505,0.0714,0.732,0.293,0.399,143.927,4
spotify:track:0AJTKW9fVFo3rIXbtTVE3T,"Mayonaise - 2011 Remaster","Siamese Dream (2011 - Remaster)","The Smashing Pumpkins",1993-07-27,348773,48,false,,2022-01-11T02:55:53Z,"alternative rock,rock","Virgin Records",0.482,0.529,10,-10.426,1,0.0271,0.000107,0.546,0.0839,0.0879,145.969,4
spotify:track:3cp8xX1N5jewfKU2oY2Y08,"Under the Sun","Is the Is Are","DIIV",2016-02-05,226999,48,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","Captured Tracks",0.552,0.851,2,-6.229,1,0.033,0.0014,0.782,0.131,0.941,154.96,4
spotify:track:3wZL6ZuuEqz3uJTcblXdLJ,"Keen on Boys","Lesser Matters","The Radio Dept.",2004-08-30,293160,39,false,,2021-06-03T02:39:04Z,"dream pop,shoegaze","XL Recordings",0.389,0.977,7,-1.732,1,0.0486,0.203,0.516,0.0991,0.353,110.043,4
spotify:track:6xSPoE4M6n05dBVQoJ7BAD,"Seagull","Nowhere (Remastered)","Ride",1990-10-15,368760,25,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,britpop,madchester,jangle pop,slowcore,neo-psychedelic","Ride Music",0.271,0.972,4,-4.112,0,0.0868,0.0000125,0.558,0.493,0.228,140.317,4
spotify:track:4cz5bBa239LZ0Pt5DrJXYK,"Catch The Breeze","Just For A Day","Slowdive",1991,259453,46,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Sony Music UK",0.227,0.48,9,-6.285,1,0.0388,0.0000566,0.835,0.0477,0.188,92.701,4
spotify:track:0wgHxBwNQJM1ZFuszBh4RH,"Sunshine Smile","Forgotten 90's Alternative","Adorable",2021-02-19,305387,34,false,,2023-01-11T15:25:58Z,"shoegaze,dream pop,britpop","Forgotten 90's Records",0.185,0.711,4,-9.588,1,0.0557,0.000179,0.161,0.187,0.222,121.837,4
spotify:track:68jU8rPQuQufjrIoUdS3vS,"Run Into Flowers","Dead Cities, Red Seas & Lost Ghosts","M83",2003-10-01,249426,32,false,,2021-06-03T02:39:04Z,"","Naive",0.417,0.858,2,-4.364,1,0.0448,0.000397,0.832,0.256,0.0594,119.987,4
spotify:track:252uwichmLXhrtDY5GTLNi,"Nothing Natural","Spooky","Lush",1992-01-27,354640,40,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,britpop,slowcore","4AD",0.447,0.796,11,-12.171,0,0.0333,0.00689,0.807,0.0626,0.913,105.984,4
spotify:track:5rAzI977PiXT1RtufspvQ0,"Rave Down - 2008 Remastered Version","Raise","Swervedriver",1991-09-30,306253,29,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock,space rock","Sony BMG Music UK",0.14,0.974,9,-6.128,1,0.0708,0.00000163,0.846,0.125,0.311,168.438,4
spotify:track:2e3KUBfcAwAyQtgbeUBKob,"Walkabout (W/ Noah Lennox)","Logos","Atlas Sound;Noah Lennox",2009-10-19,238893,38,false,,2021-06-03T02:39:04Z,"dream pop,neo-psychedelic,shoegaze","kranky",0.536,0.922,2,-6.247,1,0.0667,0.0406,0.0000892,0.214,0.353,121.977,4
spotify:track:3h9zXYA0hMZi9bt6DG8sEo,"Reverence","Honey's Dead (Expanded Version)","The Jesus and Mary Chain",1992-03-23,220693,30,false,,2021-06-03T02:39:04Z,"shoegaze,post-punk,dream pop,noise rock,new wave","Rhino",0.445,0.991,11,-5.412,0,0.101,0.0000163,0.789,0.118,0.661,104.88,4
spotify:track:2KylN9C0wNbzLgZNTG9oiU,"when you sleep","loveless","my bloody valentine",1991-11-04,251946,62,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.399,0.866,6,-9.72,1,0.0558,0.0000343,0.738,0.0785,0.125,128.864,4
spotify:track:0rb6HvdvWJRkyhxsfFf1ep,"Falling Down","Whirlpool (Expanded Edition)","Chapterhouse",1990,236373,28,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,madchester,slowcore","Sony Music UK",0.459,0.836,9,-7.637,1,0.0378,0.0000177,0.457,0.146,0.547,101.977,4
spotify:track:1nbXNrayQOc9UGVEudhlaT,"Rocket - 2011 Remaster","Siamese Dream (2011 - Remaster)","The Smashing Pumpkins",1993-07-27,246413,38,false,,2021-06-03T02:39:04Z,"alternative rock,rock","Virgin Records",0.202,0.665,0,-9.097,1,0.0342,0.0000028,0.928,0.0723,0.36,88.925,4
spotify:track:2YrVbzr33wiGcoKODWOLJI,"Everybody Knows","Back to Land","Wooden Shjips",2013-11-12,318560,33,false,,2021-06-03T02:39:04Z,"neo-psychedelic,psychedelic rock,space rock,shoegaze,krautrock,stoner rock","Thrill Jockey",0.352,0.621,2,-9.036,1,0.033,0.000114,0.855,0.0974,0.218,123.817,4
spotify:track:1vl66qSV9BlAALu9eANF7J,"Everlastingly Yours","Brickbat","Piroshka",2019-02-15,269747,33,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","Bella Union",0.468,0.776,11,-8.484,1,0.0316,0.0000148,0.000295,0.212,0.4,120.056,4
spotify:track:5NTVafX8dhP3kt0AUQqUbN,"Soft As Snow (But Warm Inside)","Isn’t Anything","my bloody valentine",1988-11-21,141226,36,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.382,0.909,6,-7.644,1,0.0985,0.000109,0.107,0.172,0.446,88.642,4
spotify:track:0fWyY94iOjSzBCak3dZlKm,"Raindrop","Eyedazzler","Alison's Halo",1998-06-29,244172,47,false,,2024-10-15T03:39:28Z,"shoegaze,dream pop,slowcore","Nettwerk Music Group",0.318,0.718,9,-7.665,0,0.0308,0.00013,0.881,0.187,0.263,139.586,4
spotify:track:7mneRO01pJtLWlIiSptL9d,"Scenic","Ozean","Ozean",1993-01-01,288053,42,false,,2024-08-19T20:51:16Z,"shoegaze,dream pop,slowcore","Numero Group",0.35,0.687,7,-8.572,1,0.0335,0.124,0.942,0.0941,0.337,90.497,4
spotify:track:5OY9UsxOhXpCqhAbI5csui,"Mercy Seat","Ultra Vivid Scene","Ultra Vivid Scene",1988-10-31,249853,30,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,jangle pop","4AD",0.439,0.891,11,-8.025,1,0.0371,0.015,0.919,0.0461,0.509,155.406,4
spotify:track:1rCnWJYzaDMcXJb2M4Y356,"Stare at the Sun","Pure Mood","Ringo Deathstarr",2015-11-20,259957,31,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Club AC30",0.415,0.957,11,-5.915,0,0.0811,0.000106,0.123,0.123,0.175,98.115,4
spotify:track:4mLMabNijyaIvn7xuYe5kw,"Dark Spring","7","Beach House",2018-05-11,204373,34,false,,2021-06-03T02:39:04Z,"dream pop","Bella Union",0.444,0.85,3,-6.499,0,0.0377,0.17,0.892,0.203,0.143,126.119,4
spotify:track:0skJx6IOESP4iDf33bBBq9,"Taste of Cindy","Psychocandy (Expanded Version)","The Jesus and Mary Chain",1985-11-18,102333,32,false,,2021-06-03T02:39:04Z,"shoegaze,post-punk,dream pop,noise rock,new wave","Rhino",0.18,0.905,11,-2.767,1,0.0453,0.000146,0.831,0.327,0.552,138.02,4
spotify:track:0oxoJu918tKRk4lVweP4WS,"Ride","Dandys Rule OK","The Dandy Warhols",1995,249962,33,false,,2021-06-03T02:39:04Z,"","Beat The World Records",0.11,0.729,9,-7.247,1,0.0395,0.000413,0.137,0.108,0.498,182.476,4
spotify:track:5ilQ6xjKxxGDTrQQNDp6Tw,"Now I Know You Could Never Be The One","Find Yourself Along The Way","The Meeting Places",2003,242066,37,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Words On Music",0.394,0.764,11,-4.581,0,0.0341,0.0299,0.885,0.148,0.457,106.612,4
spotify:track:6tscrLoT7rBHdMbO9ULa2s,"Love Comes In Waves","The View from Halfway Down","Andy Bell",2020-10-09,288575,15,false,,2021-06-03T02:39:04Z,"shoegaze","Sonic Cathedral",0.374,0.947,5,-5.192,1,0.0638,0.0108,0.136,0.155,0.838,159.982,4
spotify:track:55IBSQAE8zgpchQr2QVOVt,"The Perfect Needle","Altered Perception","The Telescopes",2004,208040,21,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Space Age Recordings",0.278,0.568,2,-9.636,1,0.033,0.0000104,0.664,0.331,0.216,95.514,4
spotify:track:00YCRrySf0dJ6nRCKYSAkA,"Pancake","Blonder Tongue Audio Baton","Swirlies",1993,195613,39,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Taang! Records",0.173,0.811,6,-11.903,1,0.0809,0.000111,0.153,0.403,0.205,120.177,4
spotify:track:0Ku9zP02uHYS4HH6jNLxV0,"Staring At The Sun","V.","Wooden Shjips",2018-05-25,447998,43,false,,2021-06-03T02:39:04Z,"neo-psychedelic,psychedelic rock,space rock,shoegaze,krautrock,stoner rock","Thrill Jockey",0.556,0.546,9,-13.215,1,0.0285,0.117,0.845,0.115,0.427,91.887,4
spotify:track:0nxOpJ3zHKAvrWtx8l7XQ8,"Fall","Ozean","Ozean",1993-01-01,299546,37,false,,2024-08-19T20:51:16Z,"shoegaze,dream pop,slowcore","Numero Group",0.38,0.785,7,-8.433,1,0.0679,0.00223,0.971,0.105,0.139,109.443,4
spotify:track:0jAREqpRxde4sjHfghbNGW,"Boyfriend","Love 15","Majesty Crush",1993-01-01,262946,35,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Numero Group",0.253,0.813,0,-9.042,1,0.0498,0.0026,0.157,0.224,0.513,71.256,4
spotify:track:1RlstRnDWwqLhOWtL16Iqy,"Taker","Deceiver","DIIV",2019-10-04,268800,43,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","Captured Tracks",0.378,0.611,9,-6.396,1,0.0335,0.000916,0.862,0.11,0.159,139.895,4
spotify:track:1zcV54IyIHMrIDhTytt3b2,"Farewell","Pink","Boris",2006-05-16,453400,42,false,,2021-06-03T02:39:04Z,"drone metal,noise rock,sludge metal,drone,stoner metal,doom metal,stoner rock,shoegaze,post-rock","Fangsanalsatan",0.2,0.511,1,-3.303,1,0.0516,0.000295,0.825,0.41,0.0392,124.219,4
spotify:track:7801eWQNK09cfzQ5By5n8T,"Tastes Like Honey","Blow","Swallow",1992-07-20,281666,45,false,,2022-09-28T23:01:40Z,"shoegaze,dream pop,slowcore","4AD",0.523,0.717,0,-13.802,1,0.031,0.00633,0.669,0.0687,0.633,106.782,4
spotify:track:5RBVJV7ZAE6xkpvciuJiKe,"Breather","Whirlpool - The Original Recordings","Chapterhouse",2009,272373,20,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,madchester,slowcore","Space Age Recordings",0.14,0.926,7,-7.059,0,0.078,0.0000586,0.835,0.184,0.241,163.489,4
spotify:track:0974YaZEUF6SFqbIC9HkkJ,"Elizabeth Colour Wheel","In the Presence of Nothing","Lilys",1992-09-04,418866,33,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,noise rock","Many Hats Distribution",0.332,0.494,4,-10.229,1,0.0375,0.000293,0.962,0.0537,0.0674,155.126,4
spotify:track:2EDFBDvuRmq9T4uvU4A9eI,"Skin Game","Deceiver","DIIV",2019-10-04,265466,38,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop","Captured Tracks",0.484,0.756,6,-6.326,0,0.0384,0.00011,0.798,0.123,0.397,124.969,4
spotify:track:5m7HN7LZW6r2IzYYTKVyw9,"Molten Young Lovers","Molten Young Lovers","Airiel",2017-10-13,279747,38,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore","Feeltrip Records",0.388,0.798,9,-6.416,1,0.0295,0.0000382,0.77,0.105,0.485,92.535,4
spotify:track:7isrQebvzBb95uOCS9fleS,"Thoughtforms - 2nd Version","Gala","Lush",1990-11-12,167000,30,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,britpop,slowcore","4AD",0.363,0.872,11,-9.103,0,0.048,0.0743,0.929,0.231,0.238,105.06,4
spotify:track:4mH5ajIJz9fc3D3SaIIAEc,"Long Holiday","Mindfullness","Flyying Colours",2016-09-23,186253,36,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,neo-psychedelic","Club AC30",0.473,0.805,7,-5.352,1,0.0332,0.00000312,0.904,0.491,0.247,125.403,4
spotify:track:7BzsldUSmzrW46iea9UFVn,"Porcelain","Ozean","Ozean",1993-01-01,307760,37,false,,2024-08-19T20:51:16Z,"shoegaze,dream pop,slowcore","Numero Group",0.12,0.526,7,-9.284,1,0.0469,0.539,0.813,0.0516,0.292,174.429,4
spotify:track:6aC2oJJirBozj0cT6E2g1t,"bird","return","Blue Smiley",2017-09-27,102421,44,false,,2023-10-19T18:31:49Z,"shoegaze,slowcore","Blue Smiley",0.471,0.808,8,-8.885,1,0.0545,0.0261,0.891,0.0699,0.507,125.706,4
spotify:track:2kz4JUPAQLcaViOVgYxzfF,"Not The Time","Not The Time / Callous","SASAMI",2018-10-09,170760,23,false,,2021-06-03T02:39:04Z,"","Domino Recording Co",0.42,0.79,6,-7.824,0,0.06,0.00384,0.41,0.0943,0.507,137.968,4
spotify:track:6WwaIdQ1Ub79fsgwM5k2CK,"My Dreaming Hill","Flying Saucer Attack","Flying Saucer Attack",1993,372000,22,false,,2021-06-03T02:39:04Z,"shoegaze,space rock,post-rock,dream pop,drone,slowcore,neo-psychedelic,musique concrète,noise rock","Domino Recording Co",0.29,0.711,8,-8.541,1,0.0421,0.25,0.908,0.0772,0.191,128.023,4
spotify:track:5xWlSU2MmcXAHCJgvlOwNN,"babysbreath","bloweyelashwish","Lovesliescrushing",1993-07-15,231133,43,false,,2021-06-03T02:39:04Z,"shoegaze,dream pop,slowcore,drone,noise rock","Numero Group",0.135,0.3,6,-15.525,1,0.0455,0.0657,0.75,0.147,0.406,101.554,4
spotify:track:7h6UX36ASyGiBGq3eUSmi8,"When I Tried","Expect the Best","Widowspeak",2017-08-25,282557,26,false,,2021-06-03T02:39:04Z,"dream pop,chillwave","Captured Tracks",0.315,0.869,0,-4.433,1,0.0449,0.0801,0.332,0.205,0.515,139.165,4
spotify:track:3bhaEugV9wBPXhxX0p2uYX,"Turn Into","Turn Into","Jay Som",2016-07-22,203536,25,false,,2021-06-03T02:39:04Z,"dream pop,indie pop","Lucky Number",0.607,0.815,8,-6.802,0,0.0341,0.0844,0.0285,0.129,0.891,114.986,4
spotify:track:1HVgDSMFQIRHBRuhOs85fL,"flip","return","Blue Smiley",2017-09-27,122752,38,false,,2023-10-19T18:31:49Z,"shoegaze,slowcore","Blue Smiley",0.298,0.678,1,-8.572,0,0.0479,0.0274,0.946,0.102,0.877,160.509,4
spotify:track:21uRZLJ6ro4GOuPtTLAKUi,"Silver","Silver","Jesu",2006-03-15,406226,33,false,,2021-06-03T02:39:04Z,"drone metal,shoegaze,post-rock,drone,sludge metal,slowcore,stoner metal","Avalanche Recordings",0.263,0.432,9,-6.299,1,0.0375,0.00000323,0.81,0.0889,0.195,94.878,4
