Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1xgqmUxRlxcnVuULIFUD4v,"Just For A Better View","Just For A Better View","Silverbacks",2017-11-24,260206,1,false,5forty,2020-06-21T10:49:27Z,"post-punk","PK Miami",0.509,0.822,2,-6.231,1,0.0714,0.00478,0.671,0.193,0.341,159.958,4
spotify:track:50IKcOPmWfvRTZlIeQD5Vc,"Muted Gold","Muted Gold","Silverbacks",2020-05-15,264043,0,false,5forty,2020-06-21T10:49:39Z,"post-punk","Central Tones Records",0.595,0.783,7,-8.417,1,0.0518,0.00995,0.615,0.227,0.811,132.821,4
spotify:track:2tihl37N1NOdLanA7tMR6G,"Drool","Drool","Silverbacks",2020-01-31,176026,0,false,5forty,2020-06-21T10:49:44Z,"post-punk","Nice Swan Records",0.48,0.699,7,-7.604,0,0.0359,0.186,0.791,0.0885,0.801,130.066,4
spotify:track:186saDRvaE53HNLilDzuWH,"Sirens","Sirens","Silverbacks",2019-11-15,253799,0,false,5forty,2020-06-21T10:49:48Z,"post-punk","Nice Swan Records",0.471,0.581,7,-12.605,1,0.0718,0.0245,0.00751,0.0999,0.73,162.131,4
spotify:track:0zdbr7HhQxzZIRwdljWusU,"Pink Tide","Pink Tide","Silverbacks",2019-05-16,169500,1,false,5forty,2020-06-21T10:49:52Z,"post-punk","Independent",0.392,0.78,4,-6.912,0,0.0534,0.0367,0.00147,0.0826,0.803,153.029,4
spotify:track:0GfdXnJlp4O335f1AXDD9R,"Just In The Band","Pink Tide","Silverbacks",2019-05-16,249189,0,false,5forty,2020-06-21T10:49:52Z,"post-punk","Independent",0.143,0.732,11,-8.881,0,0.0376,0.000205,0.586,0.14,0.49,79.574,4
spotify:track:1fDQ7pgDX2wTNSLanI4Lp5,"Dirty Money","Sink The Fat Moon","Silverbacks",2018-03-09,176417,1,false,5forty,2020-06-21T10:50:03Z,"post-punk","PK Miami",0.721,0.674,0,-7.573,1,0.0581,0.642,0.595,0.113,0.324,120.062,4
spotify:track:1DinnKfFGSPhmrBJNEnkmZ,"The Great Father","Sink The Fat Moon","Silverbacks",2018-03-09,222593,0,false,5forty,2020-06-21T10:50:03Z,"post-punk","PK Miami",0.626,0.901,2,-6.465,1,0.0407,0.527,0.162,0.152,0.628,126.02,4
spotify:track:4wYyQmV8DEUvqKH0O1Gsu6,"What's in Your Bag","Sink The Fat Moon","Silverbacks",2018-03-09,164153,0,false,5forty,2020-06-21T10:50:03Z,"post-punk","PK Miami",0.457,0.964,2,-5.441,1,0.0715,0.0147,0.784,0.153,0.578,160.094,4
spotify:track:5xNObKDpqYHMHHhCncCAqc,"Not Ones to Watch","Sink The Fat Moon","Silverbacks",2018-03-09,128164,0,false,5forty,2020-06-21T10:50:03Z,"post-punk","PK Miami",0.537,0.751,1,-7.026,1,0.0697,0.0683,0.596,0.334,0.424,150.056,4
spotify:track:7rrCoa9Tazrpe4kyGpOm68,"Holiday in Cambodia","Sink The Fat Moon","Silverbacks",2018-03-09,251041,0,false,5forty,2020-06-21T10:50:03Z,"post-punk","PK Miami",0.658,0.759,2,-8.993,1,0.0421,0.0942,0.804,0.098,0.598,120.035,4
spotify:track:4iJAJ4ssnD10fnv0fqKHvy,"Dunkirk","Fad","Silverbacks",2020-07-17,188775,16,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.394,0.937,9,-4.812,1,0.122,0.284,0.56,0.0711,0.531,160.058,4
spotify:track:0Myji9DtH3zaY3eBTfNdMq,"Drink It Down","Fad","Silverbacks",2020-07-17,143241,3,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.298,0.833,9,-6.374,1,0.0593,0.000262,0.000173,0.145,0.721,151.654,4
spotify:track:2alU89oovOmGWLh72ncLK8,"Fad '95","Fad","Silverbacks",2020-07-17,183824,6,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.578,0.762,9,-11.486,1,0.0424,0.065,0.686,0.11,0.517,131.792,4
spotify:track:0sxFg4HtLbNrWGQzGKvqwX,"Dud","Fad","Silverbacks",2020-07-17,33663,0,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.325,0.039,2,-17.486,1,0.0474,0.908,0.763,0.118,0.0291,80.454,3
spotify:track:1vEMGfPx94r3XrNhnupX8W,"Klub Silberrücken","Fad","Silverbacks",2020-07-17,211192,2,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.505,0.676,2,-7.013,0,0.0275,0.0631,0.0246,0.131,0.728,142.161,4
spotify:track:4AsENCoDtkz7jPyRf3sG19,"Travel Lodge Punk","Fad","Silverbacks",2020-07-17,71324,0,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.214,0.158,9,-20.978,0,0.0472,0.987,0.841,0.126,0.0362,167.343,4
spotify:track:6GyJAB9t6tbiOnxB3A7ZUz,"Grinning At The Lid","Fad","Silverbacks",2020-07-17,187275,1,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.471,0.832,7,-7.554,1,0.0542,0.267,0.0000517,0.155,0.553,122.959,4
spotify:track:2gy0Ne4S3LDelWJamkvyqA,"Up The Nurses","Fad","Silverbacks",2020-07-17,145895,1,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.477,0.607,9,-9.837,1,0.0276,0.159,0.174,0.164,0.396,134.893,4
spotify:track:5CF5enjUYGppLjD59BuS5D,"Madra Uisce","Fad","Silverbacks",2020-07-17,80383,0,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.553,0.338,4,-12.613,1,0.037,0.972,0.938,0.107,0.484,89.865,4
spotify:track:1PVER5X6vr60jul4vvsW8N,"Last Orders","Fad","Silverbacks",2020-07-17,206400,1,false,5forty,2020-10-20T08:10:51Z,"post-punk","Central Tones Records",0.449,0.56,2,-8.509,1,0.0379,0.0824,0.61,0.262,0.338,147.634,4
spotify:track:6oiclgORkkYvWcfMYgk87W,"Up The Nurses","Up The Nurses","Silverbacks",2020-06-26,145895,0,false,5forty,2020-10-26T21:49:49Z,"post-punk","Central Tones Records",0.477,0.607,9,-9.837,1,0.0276,0.159,0.174,0.164,0.396,134.893,4
