Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3daDHbeA2X5yfCQ2TGHVKN,"The Committee","Chubbed Up+","Sleaford Mods",2014-10-28,220444,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.854,0.751,5,-9.616,1,0.0821,0.701,0.00249,0.109,0.63,135.04,4
spotify:track:1Tnn0Vsz4jwkm4X5eq5sLN,"Jobseeker","Chubbed Up+","Sleaford Mods",2014-10-28,242719,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.802,0.692,9,-10.54,1,0.0657,0.283,0.00000467,0.105,0.8,93,4
spotify:track:4jib5GpyM3SrnBbQFCR0W4,"14 Day Court","Chubbed Up+","Sleaford Mods",2014-10-28,207920,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.912,0.513,1,-10.04,0,0.342,0.0987,0,0.231,0.827,116.038,4
spotify:track:50ncjTIk44LYHaBjkJQz7R,"Black Monday","Chubbed Up+","Sleaford Mods",2014-10-28,152877,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.854,0.702,4,-7.825,0,0.0608,0.672,0,0.139,0.689,104.852,4
spotify:track:6oaXy4C65F95j99JlLT14E,"Jolly Fucker","Chubbed Up+","Sleaford Mods",2014-10-28,132617,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.746,0.738,9,-9.858,0,0.078,0.628,0.000042,0.116,0.538,92.377,4
spotify:track:3bJX78BSfbloKcWBd2ngYc,"Tweet Tweet Tweet","Chubbed Up+","Sleaford Mods",2014-10-28,183400,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.766,0.597,10,-11.165,0,0.0429,0.00549,0.00000256,0.134,0.382,100.002,4
spotify:track:7qhoSHjHRHrfOtSMi4HFa8,"Bambi","Chubbed Up+","Sleaford Mods",2014-10-28,137495,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.846,0.748,1,-11.849,0,0.137,0.365,0.00000108,0.272,0.771,75.996,4
spotify:track:2BRO4mylWe4KI9mkAsXa3Y,"Routine Dean","Chubbed Up+","Sleaford Mods",2014-10-28,138347,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.767,0.828,11,-9.012,1,0.0425,0.683,0.218,0.0913,0.935,98.488,4
spotify:track:4D9jWDDvRZT9Kav8JXsIr9,"Scenery","Chubbed Up+","Sleaford Mods",2014-10-28,155250,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.801,0.649,11,-12.206,0,0.0724,0.0736,0.000648,0.0805,0.965,159.976,4
spotify:track:5RXtE81GhtrLP29cBjKbu8,"Pubic Hair Ltd.","Chubbed Up+","Sleaford Mods",2014-10-28,164126,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.889,0.644,11,-11.241,0,0.0727,0.144,0,0.0965,0.821,152.131,4
spotify:track:6A7DyNrt0gxdh6UcqDJTP2,"Bring out the Cannons","Chubbed Up+","Sleaford Mods",2014-10-28,110630,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.796,0.639,1,-11.359,1,0.131,0.017,0.00039,0.0706,0.951,75.783,4
spotify:track:7xd1bR0lE144dhUK76uovd,"Fear of Anarchy","Chubbed Up+","Sleaford Mods",2014-10-28,149250,0,false,5forty,2015-06-26T02:52:01Z,"post-punk","Ipecac Recordings",0.809,0.509,0,-9.143,1,0.037,0.0361,0.00013,0.142,0.613,138.985,4
