Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7aC1ItWGoOTyJqG30caObV,"Urine Mate (Welcome To The Club)","Austerity Dogs","Sleaford Mods",2013-01-03,223960,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.558,0.402,2,-10.883,0,0.223,0.0619,0,0.224,0.693,142.495,4
spotify:track:6kbt1jfGL139CuvWw8J68n,"McFlurry","Austerity Dogs","Sleaford Mods",2013-01-03,267213,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.869,0.673,9,-13.235,0,0.0771,0.418,0.0105,0.178,0.474,138.002,4
spotify:track:07McLikVMc4ecZ8VcUhgte,"My Jampandy","Austerity Dogs","Sleaford Mods",2013-01-03,187426,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.897,0.66,10,-10.81,1,0.337,0.0171,0,0.0959,0.742,145.501,4
spotify:track:5CKJRgUFh3aPYZp3eza1ON,"Fizzy","Austerity Dogs","Sleaford Mods",2013-01-03,176080,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.822,0.721,2,-12.669,1,0.0416,0.0835,0.00000351,0.188,0.497,142.026,4
spotify:track:1GQmXAYKzGMZxdEaYuLkfX,"Donkey","Austerity Dogs","Sleaford Mods",2013-01-03,174320,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.656,0.793,11,-10.487,1,0.405,0.157,0.00221,0.147,0.329,202.783,4
spotify:track:1cfQO8QBJMiHj6CQALsBSX,"PPO Kissin Behinds","Austerity Dogs","Sleaford Mods",2013-01-03,290000,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.878,0.442,9,-13.339,0,0.107,0.04,0.000791,0.076,0.563,147.042,4
spotify:track:4fvzfTtiU0sBnZSC7OiUgv,"Shit Streets Runny","Austerity Dogs","Sleaford Mods",2013-01-03,185280,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.884,0.276,4,-13.452,1,0.105,0.642,0.000512,0.104,0.846,126.361,4
spotify:track:5p6s3mhAGsRlQ3NgXM8EAk,"The Wage Don't Fit","Austerity Dogs","Sleaford Mods",2013-01-03,185853,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.694,0.656,2,-14.722,1,0.0742,0.198,0,0.132,0.405,181.905,4
spotify:track:1I42ZB4QSDi5VslMy08uBe,"Showboat","Austerity Dogs","Sleaford Mods",2013-01-03,158053,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.978,0.237,9,-12.691,1,0.118,0.345,0,0.0841,0.968,112.848,4
spotify:track:5FfMLMKEu1H4zdOrB3Pv20,"I Don't Wanna Disco Or Two","Austerity Dogs","Sleaford Mods",2013-01-03,303746,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.834,0.497,0,-13.174,0,0.0819,0.362,0.00000129,0.212,0.358,95.469,4
spotify:track:4JBNQZsggOqVs7jZw64h5V,"£5.60","Austerity Dogs","Sleaford Mods",2013-01-03,196493,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.933,0.487,7,-12.279,1,0.0493,0.0867,0.000107,0.1,0.963,138.184,4
spotify:track:5Y0kylSg6SMAmMWRXQesnt,"Kill It Clean","Austerity Dogs","Sleaford Mods",2013-01-03,154720,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.964,0.309,9,-12.013,0,0.121,0.784,0.00000799,0.163,0.603,116.174,4
spotify:track:1FEvYXAZfx7uAM5TfAn5vD,"Bored To Be Wild","Austerity Dogs","Sleaford Mods",2013-01-03,189720,0,true,5forty,2015-09-23T06:29:26Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.308,0.68,9,-10.035,0,0.139,0.00263,0,0.111,0.518,85.696,4
