Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ztRKlcbySjXADlkcsAIc7,"Live Tonight","Key Markets","Sleaford Mods",2015-07-24,191731,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.794,0.699,1,-7.68,1,0.0428,0.561,0.0000341,0.331,0.892,145.377,4
spotify:track:2sGbWFw923NlxNd7NAU5JH,"No One's Bothered","Key Markets","Sleaford Mods",2015-07-24,172261,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.816,0.876,4,-8.141,0,0.0372,0.248,0.168,0.0991,0.863,130.005,4
spotify:track:5IqvozcGJ0QBGXPKwpTn2v,"Bronx In A Six","Key Markets","Sleaford Mods",2015-07-24,214979,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.936,0.695,10,-5.909,1,0.277,0.499,0,0.0872,0.566,111.677,4
spotify:track:44FBgKwOThesk6VtarWMLW,"Silly Me","Key Markets","Sleaford Mods",2015-07-24,194798,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.893,0.691,7,-8.103,1,0.163,0.131,0,0.103,0.808,80.5,4
spotify:track:41qhveo10CATwwXh66j5f0,"Cunt Make It Up","Key Markets","Sleaford Mods",2015-07-24,150724,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.807,0.522,9,-8.352,1,0.376,0.139,0,0.102,0.676,119.817,4
spotify:track:70HFnpUzSMHCCYWlnKlO3U,"Face To Faces","Key Markets","Sleaford Mods",2015-07-24,203370,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.759,0.801,1,-7.417,1,0.144,0.19,0.00000186,0.0981,0.741,76.332,4
spotify:track:4Eo2zCsCJXLQTQTEhb1ImK,"Arabia","Key Markets","Sleaford Mods",2015-07-24,181262,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.743,0.48,2,-9.351,1,0.129,0.832,0.0266,0.107,0.2,165.339,4
spotify:track:4fKyefUtnneAavVYi6kvTV,"In Quiet Streets","Key Markets","Sleaford Mods",2015-07-24,255907,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.775,0.773,9,-6.591,0,0.106,0.769,0,0.119,0.678,152.288,4
spotify:track:2LmVnOf5BylYwDbhjgryjQ,"Tarantula Deadly Cargo","Key Markets","Sleaford Mods",2015-07-24,201211,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.908,0.623,11,-7.169,0,0.0303,0.572,0.0000348,0.289,0.538,114.985,4
spotify:track:1911hESIoPdiTczLLRT6vm,"Rupert Trousers","Key Markets","Sleaford Mods",2015-07-24,193258,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.849,0.833,7,-6.579,1,0.106,0.172,0.00000547,0.225,0.637,129.958,4
spotify:track:7nilsRNZYxJsLdJag4FcZ2,"Giddy On The Ciggies","Key Markets","Sleaford Mods",2015-07-24,254567,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.728,0.869,7,-7.45,1,0.0657,0.000191,0.0187,0.0835,0.231,181.516,4
spotify:track:6u0TTYJ3P6KZBwbthgpXJ3,"The Blob","Key Markets","Sleaford Mods",2015-07-24,153314,0,true,5forty,2015-09-23T06:29:17Z,"post-punk","Harbinger Sound (Sleaford Mods)",0.934,0.574,4,-7.604,0,0.0566,0.394,0.00000507,0.343,0.529,110.339,4
