Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3m8i9k7CT6Fq8eAUGlfN7p,"Infinity Guitars","Treats","Sleigh Bells",2010-05-21,151773,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.626,0.733,6,-5.656,1,0.124,0.0305,0.0000325,0.104,0.283,157.857,4
spotify:track:1iw4yy8dDH9TcSEcOEWVnO,"Rill Rill","Treats","Sleigh Bells",2010-05-21,229893,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.483,0.804,8,-3.452,1,0.0501,0.0356,0.0000016,0.0736,0.811,73.048,4
spotify:track:2DVTAKir2bj7g1gF0CPMGc,"Tell 'Em","Treats","Sleigh Bells",2010-05-21,176426,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.523,0.891,5,-4.206,1,0.128,0.0567,0.0987,0.319,0.661,125.977,4
spotify:track:6aq7GMgrdGo4gmocqXLslw,"Riot Rhythm","Treats","Sleigh Bells",2010-05-21,156760,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.799,0.83,11,-4.107,0,0.0568,0.0115,0.00327,0.346,0.732,113.387,5
spotify:track:6R6OyEcnky20v0EkMzBiFJ,"Kids","Treats","Sleigh Bells",2010-05-21,166173,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.541,0.948,1,-5.358,0,0.262,0.0167,0,0.351,0.584,160.22,4
spotify:track:2a6hyCvJXQB5DjFnzHHJua,"Crown On The Ground","Treats","Sleigh Bells",2010-05-21,229373,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.429,0.817,6,-2.491,0,0.0541,0.000581,0.0328,0.0842,0.58,84.979,4
spotify:track:3py7gGMJaaxYcEkmqjwsaQ,"Run The Heart","Treats","Sleigh Bells",2010-05-21,161360,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.594,0.816,0,-5.841,1,0.0503,0.00717,0.000242,0.117,0.829,149.964,4
spotify:track:3YEJUDUAjfcnSPmB9SxlRn,"A/B Machines","Treats","Sleigh Bells",2010-05-21,214626,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.244,0.96,1,-2.966,1,0.119,0.00684,0.0283,0.0878,0.215,129.956,4
spotify:track:7d5j306IMIi3ZGiPtZysQt,"Treats","Treats","Sleigh Bells",2010-05-21,208573,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.565,0.869,10,-4.936,0,0.0807,0.0218,0.746,0.221,0.252,112.092,4
spotify:track:6FWcjUgivoQO5aCSYe3pS1,"Straight A's","Treats","Sleigh Bells",2010-05-21,91800,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.228,0.784,4,-3.671,1,0.224,0.00829,0.763,0.118,0.0367,143.358,4
spotify:track:4JGEqpGXK5q1XVARNDJ6XB,"Holly","Tell 'Em","Sleigh Bells",2010-08-06,171266,0,false,,1970-01-01T00:00:00Z,"","Mom + Pop Music/RCA Records",0.546,0.672,1,-4.956,1,0.0601,0.00753,0.00184,0.377,0.408,72.997,4
spotify:track:3m8i9k7CT6Fq8eAUGlfN7p,"Infinity Guitars","Treats","Sleigh Bells",2010-05-21,151773,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.626,0.733,6,-5.656,1,0.124,0.0305,0.0000325,0.104,0.283,157.857,4
spotify:track:1iw4yy8dDH9TcSEcOEWVnO,"Rill Rill","Treats","Sleigh Bells",2010-05-21,229893,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.483,0.804,8,-3.452,1,0.0501,0.0356,0.0000016,0.0736,0.811,73.048,4
spotify:track:2DVTAKir2bj7g1gF0CPMGc,"Tell 'Em","Treats","Sleigh Bells",2010-05-21,176426,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.523,0.891,5,-4.206,1,0.128,0.0567,0.0987,0.319,0.661,125.977,4
spotify:track:6aq7GMgrdGo4gmocqXLslw,"Riot Rhythm","Treats","Sleigh Bells",2010-05-21,156760,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.799,0.83,11,-4.107,0,0.0568,0.0115,0.00327,0.346,0.732,113.387,5
spotify:track:6R6OyEcnky20v0EkMzBiFJ,"Kids","Treats","Sleigh Bells",2010-05-21,166173,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.541,0.948,1,-5.358,0,0.262,0.0167,0,0.351,0.584,160.22,4
spotify:track:2a6hyCvJXQB5DjFnzHHJua,"Crown On The Ground","Treats","Sleigh Bells",2010-05-21,229373,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.429,0.817,6,-2.491,0,0.0541,0.000581,0.0328,0.0842,0.58,84.979,4
spotify:track:3py7gGMJaaxYcEkmqjwsaQ,"Run The Heart","Treats","Sleigh Bells",2010-05-21,161360,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.594,0.816,0,-5.841,1,0.0503,0.00717,0.000242,0.117,0.829,149.964,4
spotify:track:5IJlEGTRoYarlqZ5D9xoMe,"Rachel","Treats","Sleigh Bells",2010-05-21,139106,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.226,0.617,8,-4.57,1,0.0345,0.0092,0,0.131,0.371,183.226,3
spotify:track:3YEJUDUAjfcnSPmB9SxlRn,"A/B Machines","Treats","Sleigh Bells",2010-05-21,214626,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.244,0.96,1,-2.966,1,0.119,0.00684,0.0283,0.0878,0.215,129.956,4
spotify:track:7d5j306IMIi3ZGiPtZysQt,"Treats","Treats","Sleigh Bells",2010-05-21,208573,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.565,0.869,10,-4.936,0,0.0807,0.0218,0.746,0.221,0.252,112.092,4
spotify:track:6FWcjUgivoQO5aCSYe3pS1,"Straight A's","Treats","Sleigh Bells",2010-05-21,91800,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.228,0.784,4,-3.671,1,0.224,0.00829,0.763,0.118,0.0367,143.358,4
spotify:track:4JGEqpGXK5q1XVARNDJ6XB,"Holly","Tell 'Em","Sleigh Bells",2010-08-06,171266,0,false,,2011-02-20T12:35:04Z,"","Mom + Pop Music/RCA Records",0.546,0.672,1,-4.956,1,0.0601,0.00753,0.00184,0.377,0.408,72.997,4
