Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:164CXARiJO9vKMxR7jAueE,"Toothwheels","Smilewound","múm",2013-09-06,287146,27,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.707,0.547,0,-11.366,1,0.0514,0.23,0.618,0.0552,0.336,100.027,4
spotify:track:0FYAUusQIXNBpfcJOANU9H,"Underwater Snow","Smilewound","múm",2013-09-06,248838,17,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.506,0.545,7,-11.782,1,0.0866,0.951,0.797,0.105,0.0618,154.002,4
spotify:track:7jMuXuhCfls17qg16Cy5cA,"When Girls Collide","Smilewound","múm",2013-09-06,300420,16,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.77,0.66,0,-8.329,1,0.0548,0.00582,0.138,0.0344,0.449,130.01,4
spotify:track:5kdd9NJZAEU2dcCIsIbxYM,"Slow Down","Smilewound","múm",2013-09-06,288407,19,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.715,0.62,0,-12.151,1,0.0682,0.542,0.905,0.116,0.149,120.021,4
spotify:track:7osjFCn1lS3xdVbhnF2jJW,"Candlestick","Smilewound","múm",2013-09-06,211449,16,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.875,0.69,7,-8.878,1,0.065,0.0396,0.178,0.191,0.533,105.028,4
spotify:track:6AuxNj2tEa7PsmSnvvITC7,"One Smile","Smilewound","múm",2013-09-06,307018,12,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.637,0.912,5,-7.004,1,0.0656,0.0126,0.243,0.0711,0.494,170.024,4
spotify:track:5IZiIEBZMlmisFhnBUYmKU,"Eternity Is The Wait Between Breaths","Smilewound","múm",2013-09-06,261602,12,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.482,0.142,7,-17.388,1,0.0598,0.812,0.00131,0.426,0.417,103.454,3
spotify:track:7d83N477lqhTnp0uxy1tEp,"The Colorful Stabwound","Smilewound","múm",2013-09-06,220756,33,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.651,0.91,11,-7.963,0,0.171,0.565,0.788,0.0872,0.302,150.095,4
spotify:track:0Nc5oph7UvwuviBdlumDN3,"Sweet Impressions","Smilewound","múm",2013-09-06,234388,10,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.559,0.738,10,-7.577,1,0.0931,0.479,0.00883,0.0975,0.407,74.971,4
spotify:track:1GbeNYpRkU5muZmQPVs41G,"Time To Scream And Shout","Smilewound","múm",2013-09-06,306003,12,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm","Morr Music",0.117,0.298,0,-13.303,1,0.0412,0.39,0.577,0.0825,0.0487,78.65,4
spotify:track:4RNMkHHCDdKt5IbY6lBxmg,"Whistle (With Kylie) - Bonus Track","Smilewound","múm;Kylie Minogue",2013-09-06,367745,10,false,5forty,2013-09-17T21:59:10Z,"post-rock,idm,dance pop","Morr Music",0.223,0.363,7,-12.25,1,0.0577,0.5,0.529,0.0749,0.0648,89.817,4
