Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11LQdSNPFYuCFXthH4EB88,"Jewel Tea","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,277654,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.582,0.721,8,-8.012,0,0.0289,0.0513,0.115,0.0782,0.304,134.859,4
spotify:track:0GaBYWzbFAfSLcaI7zqU2g,"Vinxel","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,438733,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.591,0.879,7,-6.723,1,0.0378,0.0665,0.708,0.0965,0.364,119.876,4
spotify:track:6hO6HuTnUxN7a1GW9uCN0J,"Trail Quest","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,358527,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.668,0.981,6,-5.555,1,0.0658,0.677,0.855,0.09,0.772,159.804,4
spotify:track:0cYXyB9EbCiggdlHay0Nim,"Toy Gun #2","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,281529,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.14,0.997,7,-5.23,1,0.122,0.0101,0.00396,0.164,0.433,70.426,5
spotify:track:3tvhqgcMvIcIzdSlZ8WcBW,"Spooky Tooth","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,381474,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.622,0.87,0,-8.28,1,0.0304,0.159,0.917,0.252,0.437,100.869,4
spotify:track:6Gtuj2rFg5c4rX2R33SBEt,"Air","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,387888,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.303,0.0166,5,-21.902,0,0.0437,0.99,0.921,0.12,0.129,132.715,4
spotify:track:2PCFrvzLIgry7h0DhUmpLm,"Pollux","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,216816,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.432,0.144,0,-13.43,1,0.0293,0.851,0.921,0.111,0.0394,78.903,4
spotify:track:4BLEgdFhVyM3J01FD3LfWF,"Str06","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,329037,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.639,0.573,1,-10.663,1,0.0792,0.263,0.861,0.112,0.24,172.738,4
spotify:track:22gVirnOJ5qOKOYYbIjIGp,"Diala","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,306465,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.562,0.87,11,-7.741,0,0.0319,0.00944,0.902,0.102,0.523,147.827,4
spotify:track:3BkuS9pO4hztK0Eaw9uQ3m,"Airto","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,453429,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.573,0.949,11,-7.508,0,0.0966,0.018,0.613,0.143,0.448,93.407,4
spotify:track:3gUqphxNEPIQUlolr28Rj7,"Johnson's Q-Fab","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,427990,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.586,0.325,6,-22.769,1,0.0548,0.903,0.939,0.0737,0.491,130.826,4
spotify:track:7oVEk40LtHRWCqhEpnvlj1,"Green Lanes","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,290386,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.488,0.898,10,-6.47,0,0.0409,0.00754,0.756,0.0698,0.367,144.819,4
spotify:track:3fDdFLyhHzu8DhRIDH9VWZ,"Toss","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,302779,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.531,0.974,10,-6.419,1,0.0503,0.00556,0.886,0.121,0.267,119.871,4
spotify:track:6jm59mPcsYSw6zBwwaZ9Jx,"Boistron","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,224669,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.483,0.811,1,-9.456,1,0.494,0.0501,0.0719,0.124,0.168,119.827,4
spotify:track:4828f4IcmRfY9J5ATaZg8h,"Preero","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,472464,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.691,0.889,1,-9.385,1,0.045,0.0767,0.354,0.0788,0.829,109.873,4
spotify:track:40HETgV32YmrUMw26OuDAp,"Victor's March","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,323563,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.4,0.72,1,-6.524,1,0.0402,0.0733,0.325,0.0886,0.365,119.774,4
spotify:track:3bvBzxmoPonJBXROFj12VS,"Ischjgt Mmp","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,224717,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.241,0.897,11,-8.691,1,0.0936,0.216,0.88,0.267,0.306,175.962,3
spotify:track:0DwfD1F8r8SNBmlNnUqh6i,"Billy Bellsium","Somerset Avenue Tracks (1992-1995)","µ-Ziq",2013-07-22,363403,0,false,5forty,2013-08-27T22:13:57Z,"idm,glitch,breakcore,experimental","Planet Mu",0.249,0.932,6,-5.461,1,0.0824,0.553,0.958,0.108,0.145,127.334,5
