Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3UqJ0TTT3WSe9k5VNipZDv,"On High","On High","Soundpool",2006-05-16,375426,14,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.406,0.882,4,-6.734,1,0.0438,0.0000346,0.779,0.12,0.185,119.991,4
spotify:track:2PLbHuYqDPTgPi0r4V4Toc,"Millions & Billions & Trillions","On High","Soundpool",2006-05-16,237026,4,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.402,0.748,2,-6.261,1,0.0374,0.00135,0.542,0.106,0.181,144.986,4
spotify:track:7HGOlzVqz4SqWhzcKaU1tU,"Mr. Disreverse","On High","Soundpool",2006-05-16,33093,3,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.417,0.524,10,-18.276,1,0.101,0.138,0.865,0.869,0.864,120.842,4
spotify:track:5AxsdEYZKAP0QQQmhhOKDM,"Walking On Air","On High","Soundpool",2006-05-16,320626,10,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.461,0.835,0,-8.676,1,0.0392,0.00000699,0.845,0.475,0.365,120.023,4
spotify:track:1WLYUOsR0b1PuFCRuRV7c1,"Be","On High","Soundpool",2006-05-16,59813,3,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.376,0.813,4,-7.588,1,0.0452,0.000124,0.951,0.801,0.143,120.231,4
spotify:track:7ys3rYAKtdGSID64cbvWex,"Span The Universe","On High","Soundpool",2006-05-16,307693,4,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.422,0.709,3,-8.665,1,0.0343,0.00018,0.898,0.182,0.176,140.086,4
spotify:track:0WoZF12IBXLSQDzbQm7Jeb,"Eurostar","On High","Soundpool",2006-05-16,199933,32,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.648,0.708,5,-8.803,0,0.0288,0.000869,0.889,0.486,0.768,120.034,4
spotify:track:4pMARJKM7yF7JIK1ZcraLT,"Ratsorue","On High","Soundpool",2006-05-16,39600,3,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.341,0.507,0,-14.184,0,0.0459,0.0854,0.881,0.924,0.728,120.266,1
spotify:track:4ZWC7OOFwYiDmHLxqU7hEN,"Moonglow","On High","Soundpool",2006-05-16,281026,4,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.394,0.976,3,-5.508,1,0.0477,0.000231,0.886,0.675,0.156,140.01,4
spotify:track:3Im9Cc16SPzdaxQQLbTb5s,"Polyphony","On High","Soundpool",2006-05-16,223533,4,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.416,0.942,7,-6.753,0,0.0715,0.000138,0.949,0.152,0.123,120.001,4
spotify:track:5v49DhpxlFfjX49Qcgrjxf,"R.G.L.","On High","Soundpool",2006-05-16,33253,2,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.154,0.366,9,-21.848,1,0.0437,0.317,0.95,0.592,0.0809,133.913,5
spotify:track:6QEqvQ1zIHSiUegVZh6qy5,"All Of Eternity","On High","Soundpool",2006-05-16,268813,3,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.297,0.787,10,-4.47,1,0.0388,0.0000143,0.795,0.136,0.221,130.156,4
spotify:track:2FCQQCqj6heQNcOSEpmuxz,"My Ethereal Daydream","On High","Soundpool",2006-05-16,232506,3,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.335,0.838,7,-6.213,1,0.0426,0.00000878,0.888,0.165,0.465,140.013,4
spotify:track:61dJR6OluQtMQovlFbtISV,"Choir","On High","Soundpool",2006-05-16,58226,2,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.077,0.51,7,-13.091,0,0.048,0.692,0.987,0.242,0.0426,172.506,3
spotify:track:6VrqPR6nZEgME9juC9MHrD,"Hear Me","On High","Soundpool",2006-05-16,271906,2,false,5forty,2016-02-15T13:16:32Z,"shoegaze,dream pop,slowcore,space rock","Aloft Records",0.398,0.789,4,-5.791,1,0.0373,0.000268,0.813,0.122,0.283,119.922,4
