Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5YNTNa31xU9jhk8gLAwlM8,"Drag","Dying","Spectres",2015-02-23,87933,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.139,0.329,7,-14.346,1,0.0789,0.0436,0.845,0.823,0.405,83.808,1
spotify:track:5TK91tc8VausFrjO6sagDM,"Where Flies Sleep","Dying","Spectres",2015-02-23,207720,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.0991,0.737,5,-5.556,1,0.0618,0.0000229,0.959,0.204,0.257,158.027,4
spotify:track:4U2YX3BRd6mW4RE8NbJ9jL,"The Sky Of All Places","Dying","Spectres",2015-02-23,300271,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.169,0.781,5,-5.25,1,0.0555,0.00179,0.854,0.0908,0.222,142.845,4
spotify:track:00mbCuFZg12CFy9RABaOv0,"Family","Dying","Spectres",2015-02-23,235146,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.257,0.556,10,-8.772,0,0.0367,0.000159,0.706,0.0794,0.272,80.377,4
spotify:track:5ZqudvL602cAzMU9O0oPMN,"This Purgatory","Dying","Spectres",2015-02-23,451357,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.0629,0.446,6,-9.579,1,0.039,0.0000777,0.941,0.261,0.0391,67.583,5
spotify:track:3Hoz1dZHSmfutsdyb9aV9C,"Mirror","Dying","Spectres",2015-02-23,221033,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.0936,0.797,5,-5.901,1,0.0732,0.000117,0.935,0.122,0.0734,167.293,4
spotify:track:0uiLvN3lQLlnvkxF92viNk,"Blood In The Cups","Dying","Spectres",2015-02-23,474705,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.361,0.681,0,-7.672,1,0.0426,0.128,0.88,0.128,0.232,94.011,4
spotify:track:21zPbCT4HdG83iRN03YOA1,"Sink","Dying","Spectres",2015-02-23,309024,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.184,0.448,0,-6.122,0,0.0465,0.15,0.969,0.16,0.0434,75.805,4
spotify:track:2qvrpTQFZAyBLcXHlmHds3,"Lump","Dying","Spectres",2015-02-23,268065,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.11,0.85,2,-5.469,1,0.084,0.0000387,0.131,0.301,0.0778,153.036,4
spotify:track:2JympbQ0SNznDppFmEhtG1,"Sea Of Trees","Dying","Spectres",2015-02-23,543223,0,false,5forty,2015-11-17T08:51:49Z,"","Sonic Cathedral",0.275,0.479,6,-10.892,1,0.0596,0.154,0.861,0.106,0.0372,126.599,4
