Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Gw4zFKvkDsyFIGR62mm29,"Here's The Thing","Here's The Thing","Sports Team",2020-02-17,175093,0,false,5forty,2020-04-08T08:39:17Z,"","Universal-Island Records Ltd.",0.395,0.962,7,-2.662,1,0.183,0.0586,0,0.339,0.523,171.96,4
spotify:track:0cots2zOx3jFIc1WRZiC7x,"The Races","The Races","Sports Team",2019-11-18,203309,15,false,5forty,2020-04-08T08:39:22Z,"","Universal-Island Records Ltd.",0.536,0.923,1,-4.814,0,0.0464,0.00133,0.971,0.0802,0.648,124.035,4
spotify:track:239w5yDs9pfGp8mFXzm8rv,"Fishing","Fishing","Sports Team",2019-09-11,186656,17,false,5forty,2020-04-08T08:39:26Z,"","Universal-Island Records Ltd.",0.482,0.903,11,-1.927,1,0.0441,0.000054,0.441,0.361,0.346,87.49,4
spotify:track:1BsnIi94ZWexiqJLPjOjQY,"Here It Comes Again","Here It Comes Again","Sports Team",2019-06-11,135003,13,false,5forty,2020-04-08T08:39:32Z,"","Universal-Island Records Ltd.",0.371,0.877,5,-3.393,1,0.0845,0.000518,0.13,0.0931,0.591,175.408,4
spotify:track:20Bb5TgjHcEgSDYi7H697D,"M5","Keep Walking!","Sports Team",2019-03-08,217798,35,false,5forty,2020-04-08T08:39:38Z,"","Universal-Island Records Ltd.",0.544,0.938,11,-4.726,0,0.069,0.00645,0.0000822,0.345,0.683,145.983,4
spotify:track:7DT2ers3GzZMk9fSgpEzix,"Get Along","Keep Walking!","Sports Team",2019-03-08,179430,17,false,5forty,2020-04-08T08:39:38Z,"","Universal-Island Records Ltd.",0.584,0.88,10,-5.166,0,0.0419,0.000166,0.00000948,0.0977,0.851,132.138,4
spotify:track:3GL3fzBpbAojBl2nbQTao2,"Ski Lifts","Keep Walking!","Sports Team",2019-03-08,200185,14,false,5forty,2020-04-08T08:39:38Z,"","Universal-Island Records Ltd.",0.574,0.697,9,-6.819,1,0.0365,0.00521,0.0282,0.0984,0.517,119.939,4
spotify:track:4D3vrDQp94eIOkOby3vb9z,"Casper","Keep Walking!","Sports Team",2019-03-08,175861,13,false,5forty,2020-04-08T08:39:38Z,"","Universal-Island Records Ltd.",0.684,0.682,6,-5.634,1,0.0262,0.0646,0.00472,0.0934,0.449,107.958,4
spotify:track:61UzEy9dTltOVb5hi6Kjky,"Georgie","Keep Walking!","Sports Team",2019-03-08,241938,14,false,5forty,2020-04-08T08:39:38Z,"","Universal-Island Records Ltd.",0.599,0.724,2,-4.283,1,0.0496,0.0954,0.0000133,0.363,0.503,117.887,4
spotify:track:6cF5IJQTePa2RpSujroACB,"M5","M5","Sports Team",2019-01-31,217798,0,false,5forty,2020-04-08T08:39:43Z,"","Holm Front",0.544,0.938,11,-4.726,0,0.069,0.00645,0.0000822,0.345,0.683,145.983,4
spotify:track:0tHDw4b5dOUqcksS2MRutJ,"Margate","Margate","Sports Team",2018-08-03,159320,21,false,5forty,2020-04-08T08:39:48Z,"","Universal-Island Records Ltd.",0.518,0.829,6,-2.195,0,0.109,0.000409,0.00615,0.179,0.787,167.313,4
spotify:track:0UNuFHvbNv6KazQrajGOLy,"Kutcher","Kutcher","Sports Team",2018-05-04,184773,5,false,5forty,2020-04-08T08:39:54Z,"","Universal-Island Records Ltd.",0.614,0.721,4,-4.653,1,0.0418,0.0373,0,0.326,0.463,112.118,4
spotify:track:31Alp5pbdPnR7gP9I27okg,"Beverly Rose","Winter Nets","Sports Team",2018-01-29,172000,10,false,5forty,2020-04-08T08:39:59Z,"","Universal-Island Records Ltd.",0.343,0.949,6,-3.129,0,0.0974,0.000112,0.00576,0.17,0.473,114.942,4
spotify:track:1E0WsrG1SVpTAJhI9mYhY8,"Camel Crew","Winter Nets","Sports Team",2018-01-29,236041,12,false,5forty,2020-04-08T08:39:59Z,"","Universal-Island Records Ltd.",0.539,0.84,9,-4.242,1,0.0563,0.0314,0.0000353,0.107,0.465,127.932,4
spotify:track:0erlxh37FwJKMM8PdrCx43,"Winter Nets","Winter Nets","Sports Team",2018-01-29,186479,16,false,5forty,2020-04-08T08:39:59Z,"","Universal-Island Records Ltd.",0.381,0.853,2,-2.909,1,0.0929,0.143,0,0.106,0.516,120.479,4
spotify:track:6T503XlTnHwiXHMeLCSz5h,"Back To The Point","Winter Nets","Sports Team",2018-01-29,175502,13,false,5forty,2020-04-08T08:39:59Z,"","Universal-Island Records Ltd.",0.639,0.802,6,-4.131,1,0.0416,0.00824,0,0.137,0.528,124.188,4
spotify:track:1KF9wmbI35cgfDyc83WhJO,"Stanton","Winter Nets","Sports Team",2018-01-29,231177,19,false,5forty,2020-04-08T08:39:59Z,"","Universal-Island Records Ltd.",0.439,0.81,9,-4.607,1,0.0747,0.00536,0.00248,0.109,0.338,110.196,4
spotify:track:2ARSPUod1hmkpMYgK54Umb,"Beverly Rose","Beverly Rose","Sports Team",2017-12-08,172000,0,false,5forty,2020-04-08T08:40:06Z,"","Nice Swan Records",0.343,0.949,6,-3.13,0,0.0972,0.000117,0.00562,0.18,0.475,114.885,4
spotify:track:097Hn9t5DjGcZra9ujueiX,"Stanton","Stanton","Sports Team",2017-11-20,231177,0,false,5forty,2020-04-08T08:40:11Z,"","Nice Swan Records",0.409,0.812,9,-4.612,1,0.0787,0.00539,0.0022,0.109,0.333,100.646,4
