Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5IItRnpFP8DB0w6a5FGmd5,"Illusions","Temporary Room","Stagnant Pools",2012-08-06,221946,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.325,0.765,0,-6.082,1,0.0389,0.112,0.845,0.117,0.152,67.045,4
spotify:track:17iIOrS3xmFxzqRwfLkZn1,"Dead Sailor","Temporary Room","Stagnant Pools",2012-08-06,132452,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.302,0.792,5,-4.936,1,0.0591,0.000258,0.771,0.102,0.148,93.216,4
spotify:track:5SBBc65nKkV7dmZ0wdeuEh,"Jumpsuit","Temporary Room","Stagnant Pools",2012-08-06,219746,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.292,0.941,6,-4.775,1,0.066,0.0504,0.9,0.117,0.221,137.808,4
spotify:track:2Nsnpj59rF4gMMbW2DNBzJ,"Solitude","Temporary Room","Stagnant Pools",2012-08-06,242292,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.261,0.909,7,-6.039,1,0.0778,0.000707,0.92,0.293,0.226,137.803,3
spotify:track:0pVJOse6rOcPgtbtSJhJDc,"Temporary Room","Temporary Room","Stagnant Pools",2012-08-06,154079,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.117,0.931,7,-5.42,1,0.0853,0.00216,0.972,0.115,0.0642,76.432,4
spotify:track:5x9Az47G9Fv9byOpsaVCaq,"Stun","Temporary Room","Stagnant Pools",2012-08-06,159706,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.188,0.863,0,-7.883,1,0.0581,0.431,0.938,0.0846,0.124,83.988,4
spotify:track:7EXg1gEAQf6Huh8eBBCMgW,"Consistency","Temporary Room","Stagnant Pools",2012-08-06,248892,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.36,0.936,1,-5.656,1,0.106,0.00000196,0.796,0.107,0.355,134.978,4
spotify:track:1lHtTfql7yJbfdqfGWWG3M,"Dreaming of You","Temporary Room","Stagnant Pools",2012-08-06,198932,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.2,0.811,11,-4.323,1,0.0911,0.000017,0.822,0.122,0.0628,140.277,4
spotify:track:5zVLT0t0c4SRPAzns0yhQq,"Frozen","Temporary Room","Stagnant Pools",2012-08-06,221786,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.373,0.966,4,-5.833,1,0.205,0.0855,0.959,0.106,0.221,140.09,4
spotify:track:5cjcus4o6fruhGFVUNgZpH,"Maze of Graves","Temporary Room","Stagnant Pools",2012-08-06,188986,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.176,0.905,4,-4.871,1,0.0793,0.0000225,0.83,0.248,0.0526,149.446,4
spotify:track:4J4DTJnGk0aZ1Q3bWMP5b1,"Alternate Ending","Temporary Room","Stagnant Pools",2012-08-06,163319,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.32,0.805,11,-5.193,1,0.053,0.000494,0.889,0.128,0.292,130.272,4
spotify:track:2EY5ndjza9jPPDAS6IVQlR,"Waveland","Temporary Room","Stagnant Pools",2012-08-06,242199,0,false,5forty,2013-01-30T02:18:45Z,"shoegaze,neo-psychedelic,dream pop","Polyvinyl Records",0.241,0.974,4,-5.445,1,0.0981,0.0000937,0.745,0.0742,0.034,94.903,4
