Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4j4pPKE3xAblPIbhxScC1j,"Rawnald Gregory Erickson the Second","Starfucker","STRFKR",2008-09-23,173693,59,false,5forty,2012-09-27T05:23:31Z,"","Badman Recording Co",0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508,4
spotify:track:5NSQWvmoY1wrCfDDe07RcV,"German Love","Starfucker","STRFKR",2008-09-23,212693,36,false,5forty,2012-09-27T05:23:31Z,"","Badman Recording Co",0.556,0.614,4,-6.516,1,0.0243,0.0077,0.486,0.118,0.542,94.917,4
spotify:track:4wj53ItvfETfYRs4zzmiPC,"Isabella of Castile","Starfucker","STRFKR",2008-09-23,271026,42,false,5forty,2012-09-27T05:23:31Z,"","Badman Recording Co",0.488,0.751,10,-6.243,0,0.0343,0.00403,0.69,0.239,0.167,82.991,4
spotify:track:6BtoVDX3JfmtawFEGHTDN5,"Florida","Starfucker","STRFKR",2008-09-23,230586,38,false,5forty,2012-09-27T05:23:31Z,"","Badman Recording Co",0.658,0.897,5,-7.526,1,0.0316,0.151,0.777,0.178,0.969,139.99,4
spotify:track:7bkSPC6cyYIUJnUbwY7Uf9,"Born","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,243656,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.536,0.814,2,-9.914,1,0.043,0.127,0.245,0.197,0.865,85.014,4
spotify:track:019thfqZS4nDhHRqAer8Wu,"Jackalope (Julius) - Van Mix","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,201234,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.466,0.739,8,-8.91,1,0.0314,0.00152,0.932,0.203,0.326,105.995,4
spotify:track:5z6KNVQcU6u08Z4NDtBIgQ,"Bury Us Alive - Skeletron Mix","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,131062,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.528,0.742,0,-8.467,0,0.0284,0.011,0.481,0.178,0.246,119.995,4
spotify:track:2PFZpqjT9whXrEr2Pojhmj,"Mystery Cloud - Skeletron Mix","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,217622,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.425,0.903,2,-5.74,0,0.0471,0.00506,0.844,0.0647,0.392,159.938,4
spotify:track:2xQnENXxnQH5bMLs43MqJy,"Death as a Fetish - Skeletron Mix","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,318337,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.413,0.756,1,-9.229,1,0.0349,0.172,0.737,0.116,0.279,135.014,4
spotify:track:21QbRAYDyBDwHJKGMDcW8g,"Astoria","Heaven's Youth (Reptilians Demos)","STRFKR",2012-07-16,113535,0,false,,2012-09-27T05:23:42Z,"","Polyvinyl Records",0.723,0.417,2,-14.533,1,0.0342,0.865,0.871,0.141,0.758,125.052,4
