Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5x1iehx3BCqvfqPhSL39gQ,"Coast Is Clear","The Way Of Curve","Curve",2004-08-07,239600,1,false,,2012-07-29T10:43:03Z,"shoegaze,dream pop","RCA Anxious",0.184,0.94,7,-3.802,1,0.0738,0.0000193,0.87,0.325,0.333,198.491,4
spotify:track:2hSiACXW5Nt0yUxWUsoIpU,"Mama Said Knock You Out","Mama Said Knock You Out","LL COOL J",1990-08-27,292973,0,true,,2012-07-24T21:50:32Z,"old school hip hop,east coast hip hop","Universal Music Ltd.",0.788,0.807,10,-7.092,0,0.118,0.0501,0.454,0.334,0.62,102.396,4
spotify:track:27QOkFx8dS6xOaYgtGBfPZ,"The Golden Path - Ewan's Rave Hell Dub","Get Yourself High","The Chemical Brothers;The Flaming Lips;Ewan Pearson",2003-01-01,417413,0,false,,2010-06-02T07:57:30Z,"big beat,alternative dance,electronic,breakbeat,neo-psychedelic","Astralwerks",0.663,0.847,7,-8.312,1,0.041,0.000116,0.831,0.545,0.537,130.966,4
spotify:track:1lPTH0MFkYl1vmglcGJjbg,"Continent & Western","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,586493,0,false,,2010-09-21T10:20:27Z,"post-rock,krautrock","Drip Audio / Fontana North",0.294,0.511,7,-9.471,1,0.0315,0.453,0.856,0.092,0.146,88.101,4
spotify:track:3TXzRjp432GtvOznyLE0tC,"Grandad","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,526400,0,false,,2010-09-22T11:16:25Z,"post-rock,krautrock","Drip Audio / Fontana North",0.0857,0.664,0,-11.197,1,0.0827,0.236,0.264,0.133,0.0415,63.593,3
spotify:track:5KGPqn97fV1gxT7PxkgmUv,"Soheb","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,267253,0,false,,2010-09-23T07:55:46Z,"post-rock,krautrock","Drip Audio / Fontana North",0.295,0.867,11,-5.895,0,0.173,0.0999,0.815,0.0435,0.702,63.305,4
spotify:track:3zpZImFXZ3NEemIwB8zEnA,"Vitamin Meathawk","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,450093,0,false,,2010-09-23T07:55:47Z,"post-rock,krautrock","Drip Audio / Fontana North",0.361,0.706,2,-8.226,1,0.0431,0.522,0.733,0.0858,0.499,114.101,4
spotify:track:1JTxjRTDNv6AzmX2v5gauG,"Sept 16th, 2005","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,284773,0,false,,2010-09-23T07:55:47Z,"post-rock,krautrock","Drip Audio / Fontana North",0.296,0.789,7,-7.535,1,0.0636,0.283,0.812,0.139,0.251,125.749,3
spotify:track:6GwAwoT38Qcolkoht46Y9p,"Misc. Romance","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,169413,0,false,,2010-09-23T07:55:48Z,"post-rock,krautrock","Drip Audio / Fontana North",0.44,0.0666,5,-25.046,0,0.0425,0.678,0.745,0.251,0.129,102.786,4
spotify:track:5xxcvnMP2tZs89JSkYoms4,"Upheaval","CONTINENT & WESTERN","Fond Of Tigers",2010-09-21,501506,0,false,,2010-09-23T07:55:48Z,"post-rock,krautrock","Drip Audio / Fontana North",0.238,0.238,7,-14.496,1,0.031,0.541,0.89,0.098,0.0358,72.791,1
