Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4iCjh6ybA5uiLSIAlcrFuV,"Requiem for Dying Mothers, Pt. 1","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,397813,33,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.118,0.225,0,-19.356,1,0.043,0.168,0.772,0.0782,0.0377,77.918,4
spotify:track:7m2iqOIBuCT0XvMkv4wYNv,"Requiem for Dying Mothers, Pt. 2","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,457146,38,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.068,0.133,10,-25.302,1,0.049,0.11,0.828,0.0932,0.0342,75.012,3
spotify:track:0Fz2B1uU3jAEo9rHIMcjtR,"Down 3","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,346106,26,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.14,0.0112,0,-33.885,1,0.048,0.723,0.398,0.268,0.0387,75.058,4
spotify:track:56ZqOPBDrB2Gky4WyigPZL,"Austin Texas Mental Hospital, Pt. 1","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,168866,29,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.0843,0.225,1,-17.751,1,0.0449,0.953,0.838,0.122,0.0304,167.404,5
spotify:track:4vmsHQznrm160oNT5QJxkC,"Austin Texas Mental Hospital, Pt. 2","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,738826,27,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.116,0.089,4,-21.845,1,0.041,0.879,0.918,0.19,0.0312,76.357,5
spotify:track:7DggAuNltLAhPaineGWUpD,"Austin Texas Mental Hospital, Pt. 3","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,347520,28,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.131,0.00768,4,-33.492,0,0.0398,0.547,0.891,0.109,0.0868,71.713,4
spotify:track:4y3bqoSekK6V0rcSIxYy0V,"Broken Harbors, Pt. 1","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,213426,28,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.15,0.0125,3,-31.725,1,0.0516,0.946,0.947,0.123,0.0269,75.499,3
spotify:track:0LfRVw2aFyi3wqYcRjFZpx,"Broken Harbors, Pt. 2","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,407053,26,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.164,0.00522,8,-33.134,1,0.0414,0.928,0.865,0.11,0.0257,67.328,4
spotify:track:56g4oIktAaq90UjnChc4wo,"Broken Harbors, Pt. 3","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,556893,25,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.0612,0.0134,3,-33.523,1,0.0444,0.905,0.872,0.0989,0.0381,71.42,4
spotify:track:0pLlZydT4uPrbcrycGPMpe,"Mullholland","The Tired Sounds of Stars of the Lid","Stars Of The Lid",2001-10-01,409386,27,false,5forty,2016-06-21T08:13:41Z,"ambient,drone,post-rock,minimalism,space music","kranky",0.0609,0.0638,2,-30.371,1,0.0447,0.396,0.625,0.114,0.0298,66.366,3
