Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:661hK63GhJDMoS6cMgPeWz,"Shut Eye","Shut Eye","Stealing Sheep",2012-05-21,163296,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.675,0.494,9,-8.028,0,0.0278,0.411,0,0.173,0.639,94.94,4
spotify:track:3FiaA4rqSQQ85vS80fr0As,"Genevieve","Genevieve","Stealing Sheep",2012-07-29,161011,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.588,0.76,2,-6.46,1,0.0312,0.316,0,0.122,0.843,151.986,4
spotify:track:6CZRuNyGXwBSvZuzv37VYq,"The Garden","Into The Diamond Sun","Stealing Sheep",2012-09-03,180560,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.515,0.602,9,-7.545,0,0.0279,0.576,0.000637,0.112,0.557,89.912,4
spotify:track:4oX9tokhEzNi3G164j41wT,"Shut Eye","Into The Diamond Sun","Stealing Sheep",2012-09-03,173226,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.673,0.447,9,-8.531,0,0.0274,0.422,0.000261,0.26,0.566,94.88,4
spotify:track:2epXnN7nOSMlrwlgh0P5QO,"Rearrange","Into The Diamond Sun","Stealing Sheep",2012-09-03,190960,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.664,0.395,2,-9.352,0,0.0317,0.46,0.0000325,0.346,0.472,131.966,4
spotify:track:2niz9yhCQSs9CQ1lNEMzF5,"White Lies","Into The Diamond Sun","Stealing Sheep",2012-09-03,165093,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.739,0.512,7,-7.29,0,0.0288,0.00531,0.00673,0.634,0.0824,116.997,4
spotify:track:6uPbRhptldNNroNThfUUVd,"I Am The Rain","Noah And The Paper Moon","Stealing Sheep",2011-10-24,109426,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.459,0.591,10,-5.334,0,0.0255,0.0162,0.0843,0.197,0.0388,91.074,4
spotify:track:6jKKgyXAYcwAW6cUGM6U0b,"Circles","Into The Diamond Sun","Stealing Sheep",2012-09-03,196320,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.418,0.516,2,-8.132,0,0.0361,0.336,0,0.0768,0.145,144.396,4
spotify:track:6TCemAjB7lRdaqERXLRDFI,"Gold","Into The Diamond Sun","Stealing Sheep",2012-09-03,236533,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.489,0.428,2,-8.403,1,0.0323,0.00239,0.249,0.229,0.195,120.91,4
spotify:track:2hqzrMDtzOsMa1wptHyH93,"Tangled Up In Stars","Into The Diamond Sun","Stealing Sheep",2012-09-03,136026,0,false,5forty,2012-10-30T04:53:57Z,"","Heavenly Recordings",0.617,0.568,0,-7.498,1,0.036,0.127,0,0.102,0.298,131.496,4
