Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7LVB46xzkBa1E7r6sBv487,"Straight Outta Compton - Edited","Straight Outta Compton: 20th Anniversary","N.W.A.",2007-12-04,243333,1,false,5forty,2013-02-15T08:52:08Z,"old school hip hop,gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.779,0.984,5,-2.381,0,0.212,0.14,0,0.534,0.402,102.106,4
spotify:track:5ByAIlEEnxYdvpnezg7HTX,"Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,302760,76,true,5forty,2013-02-15T08:52:33Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
spotify:track:4bmLrkXArtGClFdnBqmfe3,"The Genesis","Illmatic","Nas",1994-04-19,105160,0,true,5forty,2013-02-15T08:53:41Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.671,0.711,1,-10.905,1,0.496,0.425,0.00000322,0.383,0.933,98.189,4
spotify:track:2Ja3UauMDeQnq4sI8a64Ys,"Affirmative Action (feat. AZ, Cormega & Foxy Brown)","It Was Written","Nas;AZ;Cormega;Foxy Brown",1996-07-02,259800,58,true,5forty,2013-02-15T09:04:10Z,"old school hip hop,east coast hip hop,hip hop,boom bap","Columbia",0.665,0.566,3,-9.209,0,0.443,0.484,0,0.16,0.755,173.804,4
spotify:track:20LxTsa6936zOlzTWqoPVt,"The Next Episode","2001 (Explicit Version)","Dr. Dre;Snoop Dogg",1999-11-16,161600,4,true,5forty,2013-02-15T08:54:32Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Universal Music Group",0.92,0.891,3,-2.398,0,0.253,0.0313,0,0.083,0.311,95.295,4
spotify:track:119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me)","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan",1993-11-09,252026,74,true,5forty,2013-02-15T08:55:43Z,"old school hip hop,east coast hip hop,hip hop,gangster rap,hardcore hip hop","RCA Records Label",0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,4
spotify:track:2OsGdZYDdTK4pxDMsK0Blv,"Ms. Fat Booty","Black On Both Sides","Mos Def",1999-10-12,223515,0,true,5forty,2013-02-15T08:56:29Z,"east coast hip hop,old school hip hop,hip hop","Universal Music Group",0.781,0.589,1,-4.827,1,0.21,0.148,0,0.166,0.864,90.437,4
spotify:track:269TXy0nskEBvKXXAaK6tR,"Hits from the Bong","Playlist: The Very Best Of Cypress Hill","Cypress Hill",2008-06-17,161213,0,true,5forty,2013-02-15T08:56:47Z,"west coast hip hop,old school hip hop,rap rock,hip hop","Columbia/Legacy",0.804,0.594,1,-12.676,1,0.192,0.00776,0.79,0.344,0.514,92.18,4
spotify:track:0LvwrCJtecLr9mnS0h0k7U,"Where The Hood At","The Best Of DMX","DMX",2010-01-01,287426,1,true,5forty,2013-02-15T08:57:17Z,"east coast hip hop,old school hip hop,hardcore hip hop","Universal Music Group",0.494,0.943,5,-3.704,0,0.363,0.156,0,0.335,0.797,185.982,4
spotify:track:5cKQS9890SpoU2DyqclNWG,"Feel Me Flow","Rhino Hi-Five: Naughty By Nature","Naughty By Nature",2005-06-21,212560,0,false,5forty,2013-02-15T08:58:09Z,"old school hip hop,east coast hip hop","Rhino",0.805,0.754,8,-6.679,0,0.156,0.0468,0.00000179,0.0855,0.844,90.214,4
