Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0HPaIiVxJ3WyfZ1k2qEiaz,"Le crou ne mourra jamais - Intro","Stupeflip","Stupeflip",2003,106973,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.289,0.67,2,-7.841,1,0.0651,0.0000481,0.616,0.434,0.654,167.893,4
spotify:track:6qn1QMp7ySGrYd2FKdxU3f,"Stupeflip","Stupeflip","Stupeflip",2003,186826,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.912,0.868,11,-4.324,0,0.123,0.0178,0.00021,0.089,0.588,92.52,4
spotify:track:45TO9isltcUFS1fbG00vx8,"Presentation du crou - Interlude","Stupeflip","Stupeflip",2003,71680,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.674,0.549,9,-10.952,1,0.365,0.616,0,0.311,0.92,79.996,4
spotify:track:4pC3S7jG2I6QAYopjnOo2A,"Je fume pu d'shit","Stupeflip","Stupeflip",2003,196920,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.887,0.553,2,-5.412,1,0.0409,0.0639,0.00682,0.0724,0.977,107.287,4
spotify:track:4AEAWH7LgkikFS41f93oiz,"Je refume du shit","Stupeflip","Stupeflip",2003,261946,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.667,0.627,11,-7.808,1,0.0313,0.0507,0.00117,0.141,0.493,143.935,4
spotify:track:2V0Q8h3XK7Np34Ixnzk6N4,"Explication No. 1 - Interlude","Stupeflip","Stupeflip",2003,51426,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.376,0.368,5,-15.24,1,0.109,0.518,0.508,0.447,0.41,97.916,3
spotify:track:1G1OYeyw7QKafy5LUQtRZM,"L'épouvantable épouvantail","Stupeflip","Stupeflip",2003,302213,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.733,0.839,0,-5.612,1,0.0846,0.215,0,0.351,0.563,95.188,4
spotify:track:3jOgcv5qruSeIlSHJDny2F,"Naissance de la région Sud - Interlude","Stupeflip","Stupeflip",2003,15320,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.495,0.192,3,-20.439,1,0.38,0.619,0.709,0.123,0.174,76.557,3
spotify:track:3rKiq1vY5WWCbBeS6RoeUx,"Les monstres","Stupeflip","Stupeflip",2003,223986,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.728,0.524,4,-6.813,0,0.0383,0.109,0.156,0.247,0.424,87.503,4
spotify:track:34wToLmFVDyHYsF4ngow0O,"Crou nostalgie - Interlude","Stupeflip","Stupeflip",2003,107600,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.634,0.511,4,-8.807,1,0.0383,0.396,0.878,0.109,0.151,143.91,4
spotify:track:7wuUFTQTrH5ZtHS7IZx7rG,"Avertissement - Interlude","Stupeflip","Stupeflip",2003,10600,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0,0.235,2,-12.926,0,0,0.949,0,0.118,0,0,0
spotify:track:43VVbeTonTUNZvzE4xTYPc,"Carry On","Stupeflip","Stupeflip",2003,215066,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.471,0.827,7,-4.713,1,0.0508,0.000241,0.666,0.0641,0.626,159.326,4
spotify:track:5eIjtVNb4g9iIjT6ucjvVr,"Comme les zot","Stupeflip","Stupeflip",2003,91253,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.815,0.775,10,-5.711,0,0.291,0.214,0,0.155,0.738,100.023,4
spotify:track:1Yn2rv0vxEI00A2rEevBFi,"Media terror - Interlude","Stupeflip","Stupeflip",2003,47360,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.41,0.608,10,-11.07,1,0.303,0.841,0.0124,0.415,0.328,65.886,3
spotify:track:0a5biWwW0aejj1uFUuFqoU,"L.E.C.R.O.U","Stupeflip","Stupeflip",2003,345773,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.813,0.88,7,-4.129,1,0.0618,0.276,0,0.101,0.774,90.969,4
spotify:track:5sq2GWk9EVhp9aaXnQ4rHA,"Creation de la 2eme ère du stup - Interlude","Stupeflip","Stupeflip",2003,56253,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.669,0.483,4,-12.863,0,0.63,0.75,0.612,0.21,0.848,66.118,4
spotify:track:3C4s2X5pbM9muYqHWc11w2,"A bas la hierarchie","Stupeflip","Stupeflip",2003,247986,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.489,0.893,7,-4.193,1,0.329,0.0521,0.000249,0.341,0.123,187.102,4
spotify:track:332qHiiABI9Lc1B0OHog0A,"La bavure de Pop Hip","Stupeflip","Stupeflip",2003,296933,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.704,0.417,9,-9.576,1,0.0354,0.504,0.265,0.106,0.134,134.984,4
spotify:track:4a0yt38NcsDN1K0WXp2pTC,"The Cadillac Theory","Stupeflip","Stupeflip",2003,81400,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.642,0.943,10,-3.978,0,0.424,0.0015,0,0.141,0.667,199.815,4
spotify:track:4WgmATMbQJSimrAHSYw04k,"Passe mon truc","Stupeflip","Stupeflip",2003,196813,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.677,0.88,2,-6.038,1,0.0487,0.105,0.198,0.246,0.978,160.463,4
spotify:track:6Phh3M7pDVpdSMeMXNFRDy,"Stupeflip - Home Version","Stupeflip","Stupeflip",2003,190613,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.858,0.955,10,-4.561,0,0.109,0.209,0.0172,0.111,0.566,92.577,4
spotify:track:3G0ZvZekak6BXraz1LeFFQ,"Annexion de la region Sud","Stupeflip","Stupeflip",2003,442840,0,false,5forty,2013-06-07T05:50:18Z,"french rap","L'Autre Distribution",0.422,0.75,8,-7.606,1,0.0585,0.0377,0.155,0.0746,0.311,59.54,4
