Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:local:Superchunk:Foolish:Like+a+Fool:283,"Like a Fool","Foolish","Superchunk",,283000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:The+First+Part:287,"The First Part","Foolish","Superchunk",,287000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Water+Wings:244,"Water Wings","Foolish","Superchunk",,244000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Driveway+to+Driveway:281,"Driveway to Driveway","Foolish","Superchunk",,281000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Saving+My+Ticket:205,"Saving My Ticket","Foolish","Superchunk",,205000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Kicked+In:262,"Kicked In","Foolish","Superchunk",,262000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Why+Do+You+Have+to+Put+a+Date+on+Everything:272,"Why Do You Have to Put a Date on Everything","Foolish","Superchunk",,272000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Without+Blinking:190,"Without Blinking","Foolish","Superchunk",,190000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Keeping+Track:282,"Keeping Track","Foolish","Superchunk",,282000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Revelations:218,"Revelations","Foolish","Superchunk",,218000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:Stretched+Out:253,"Stretched Out","Foolish","Superchunk",,253000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Superchunk:Foolish:In+a+Stage+Whisper:239,"In a Stage Whisper","Foolish","Superchunk",,239000,0,false,,2011-01-01T00:36:39Z,"","undefined",,,,,,,,,,,,
