Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3nLOiTbPwzHNoQDV0XCEOA,"Dust in the Gold Sack","Surfing Strange","Swearin'",2013-11-04,188667,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.174,0.937,4,-4.587,1,0.0539,0.000248,0.0508,0.134,0.267,152.311,4
spotify:track:4uNGjunKAfU9aLqdGbCTQw,"Watered Down","Surfing Strange","Swearin'",2013-11-04,173244,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.489,0.49,2,-5.89,1,0.0379,0.00248,0.0375,0.238,0.493,111.134,4
spotify:track:41iEkrrw6DuBwI3nb2IIEE,"Mermaid","Surfing Strange","Swearin'",2013-11-04,256602,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.235,0.609,7,-4.738,1,0.0368,0.000648,0.768,0.507,0.0394,83.439,4
spotify:track:4jCuy5dMb241s7d6UZ7UIr,"Parts of Speech","Surfing Strange","Swearin'",2013-11-04,181783,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.446,0.721,11,-4.963,1,0.0292,0.000284,0.61,0.126,0.226,93.511,4
spotify:track:0CXawys314dDMFI4AoGEI8,"Melanoma","Surfing Strange","Swearin'",2013-11-04,200713,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.465,0.506,0,-7.625,1,0.0317,0.011,0.323,0.109,0.104,155.033,4
spotify:track:1uZIuYc2RHFDWs2hrCXClQ,"Echo Locate","Surfing Strange","Swearin'",2013-11-04,195947,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.288,0.713,0,-5.371,1,0.0497,0.00507,0.304,0.0866,0.433,140.295,4
spotify:track:6T26F6IoM7bhFIWdWCypcP,"Loretta's Flowers","Surfing Strange","Swearin'",2013-11-04,190917,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.582,0.0909,4,-16.133,1,0.105,0.983,0.00225,0.11,0.0431,110.403,4
spotify:track:75uDu2HEcAzzleoZIGPQiG,"Glare of the Sun","Surfing Strange","Swearin'",2013-11-04,203525,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.418,0.485,7,-7.509,1,0.0308,0.0038,0.764,0.343,0.0797,74.864,4
spotify:track:4jBOfRLj2naJaY5ai3DJjk,"Unwanted Place","Surfing Strange","Swearin'",2013-11-04,148992,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.288,0.913,0,-5.265,1,0.0649,0.000144,0.16,0.284,0.209,146.136,4
spotify:track:1kOxhpXxzjOBWzUC4RBkD5,"Young","Surfing Strange","Swearin'",2013-11-04,121664,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.349,0.984,4,-4.861,1,0.0738,0.0012,0.488,0.231,0.33,78.475,4
spotify:track:11cGHzp8TQgDwX9WQrGXNa,"Curdled","Surfing Strange","Swearin'",2013-11-04,153199,0,false,5forty,2013-11-05T02:39:51Z,"indie punk","Wichita Recordings",0.795,0.31,10,-9.799,1,0.0308,0.278,0.468,0.0893,0.311,105.026,4
