Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:45bLNH3SYcAYLR9yLGkLtQ,"Armed For Peace","Zeroes QC","SUUNS",2010-10-11,217466,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.533,0.728,7,-5.627,1,0.0311,0.00884,0.0119,0.114,0.199,150.036,4
spotify:track:3uIHkjUoyl7ydUyQncaCJi,"Gaze","Zeroes QC","SUUNS",2010-10-11,236946,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.456,0.95,5,-4.075,1,0.0396,0.00265,0.0817,0.577,0.0787,103.03,4
spotify:track:6vaXpbb52THofI3MAD3t9P,"Arena","Zeroes QC","SUUNS",2010-10-11,311573,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.705,0.848,3,-7.036,1,0.0288,0.0155,0.739,0.0929,0.584,124.922,4
spotify:track:7hO0g2wRe2R1melZKJwVt5,"Pie IX","Zeroes QC","SUUNS",2010-10-11,196400,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.681,0.398,2,-10.953,1,0.0361,0.0292,0.836,0.134,0.18,88.953,4
spotify:track:3rQy9LMIYtvTLt2emLLAii,"Marauder","Zeroes QC","SUUNS",2010-10-11,109466,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.411,0.951,2,-7.022,1,0.166,0.000449,0.182,0.308,0.194,70.199,4
spotify:track:56TOHcf2SXylGfIZUCDneX,"Sweet Nothing","Zeroes QC","SUUNS",2010-10-11,423346,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.738,0.908,2,-6.326,1,0.0334,0.0108,0.65,0.0561,0.542,133.988,4
spotify:track:3ojZmLsNS8J0Ne2139WNkH,"Up Past The Nursery","Zeroes QC","SUUNS",2010-10-11,202906,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.902,0.338,8,-12.056,0,0.0762,0.76,0.56,0.106,0.514,105,4
spotify:track:7rMcxa2GqxXZyoMeGz5OHt,"PVC","Zeroes QC","SUUNS",2010-10-11,219680,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.778,0.55,1,-5.207,1,0.0287,0.291,0.00123,0.0867,0.46,97.499,4
spotify:track:0A3TLdEzmSGt39L3zDd8gC,"Fear","Zeroes QC","SUUNS",2010-10-11,118453,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.289,0.196,4,-10.437,1,0.0339,0.966,0.00926,0.121,0.132,133.758,3
spotify:track:19XDCyKPWt5WC0mcpB8ow1,"Organ Blues","Zeroes QC","SUUNS",2010-10-11,224800,0,false,,2011-01-24T16:14:42Z,"space rock","Secretly Canadian",0.564,0.468,0,-6.632,1,0.0275,0.0602,0.58,0.115,0.0352,80.002,4
