Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7e7KneZN3eFpHyfo9DOJyf,"Wolf Like Me","Return To Cookie Mountain","TV On The Radio",2006-07-03,277466,0,false,,2012-07-20T06:05:50Z,"indie rock,indie","4AD",0.357,0.787,7,-4.979,1,0.0419,0.00175,0.00611,0.115,0.191,175.882,4
spotify:track:6HShLj7GuPA7CC2oeRPUNL,"DLZ","Dear Science,","TV On The Radio",2008-09-21,228706,0,false,,2012-07-20T06:05:50Z,"indie rock,indie","4AD",0.512,0.882,8,-4.024,0,0.0454,0.0342,0.00262,0.108,0.512,175.997,4
spotify:track:12qK99skiWreOErDkdmE6O,"Will Do","Nine Types of Light (Deluxe)","TV On The Radio",2011-01-01,224986,0,false,,2012-07-20T06:05:50Z,"indie rock,indie","Universal Music Group",0.56,0.856,2,-3.506,0,0.0386,0.0179,0.00927,0.0666,0.458,79.977,4
spotify:track:26KpVWDUnBZS6Kq4SxoEjp,"Staring At The Sun","Staring At The Sun","TV On The Radio",2004-06-28,205986,0,false,,2012-07-20T06:05:50Z,"indie rock,indie","4AD",0.349,0.585,5,-9.021,0,0.0409,0.000476,0.298,0.152,0.194,119.914,4
spotify:track:6Pb7rxhFwML8nIX8TcTl28,"Second Song","Nine Types of Light (Deluxe)","TV On The Radio",2011-01-01,260453,0,false,,2012-07-20T06:05:50Z,"indie rock,indie","Universal Music Group",0.605,0.804,5,-5.309,1,0.0351,0.019,0.509,0.143,0.374,100.016,4
spotify:track:10ALNnIQasEHZEvcCDpW1s,"Satellite","Young Liars","TV On The Radio",2003-07-08,273560,0,false,,2012-07-20T06:06:05Z,"indie rock,indie","Touch and Go Records",0.346,0.713,7,-8.021,1,0.0559,0.000109,0.895,0.159,0.0781,202.572,3
spotify:track:5ZGBFimObEVokm5WcSjScd,"Staring at the Sun","Young Liars","TV On The Radio",2003-07-08,241213,0,false,,2012-07-20T06:06:05Z,"indie rock,indie","Touch and Go Records",0.211,0.637,8,-7.817,1,0.0515,0.00304,0.00185,0.107,0.148,119.224,4
spotify:track:1wVxUjJG3auPXj6Yz0LvsK,"Blind","Young Liars","TV On The Radio",2003-07-08,435453,0,false,,2012-07-20T06:06:05Z,"indie rock,indie","Touch and Go Records",0.515,0.604,4,-8.188,1,0.0536,0.326,0.105,0.0918,0.0496,92.884,4
spotify:track:7bWIM7gnW4LhXyM8wGGtMW,"Young Liars","Young Liars","TV On The Radio",2003-07-08,312280,0,false,,2012-07-20T06:06:05Z,"indie rock,indie","Touch and Go Records",0.473,0.691,0,-7.984,1,0.0248,0.0312,0.00404,0.147,0.421,82.118,3
spotify:track:3Fk0riJwMfoMBEGTGt2wAT,"Mr. Greives","Young Liars","TV On The Radio",2003-07-08,250853,0,false,,2012-07-20T06:06:05Z,"indie rock,indie","Touch and Go Records",0.332,0.245,10,-12.166,0,0.0342,0.9,0.0000052,0.391,0.107,118.453,4
