Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5rWnh2ue0QJOn9nWPAnUDA,"Better","In Limbo","TEEN",2012-08-26,305504,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.521,0.931,11,-4.157,1,0.0294,0.0348,0.593,0.201,0.912,133.157,4
spotify:track:2HUV0QEBqGH1GR2aLfzffy,"Come Back","In Limbo","TEEN",2012-08-26,225986,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.707,0.81,4,-5.845,1,0.0646,0.32,0.0323,0.629,0.763,130,4
spotify:track:3yGwHAiapFEry5dwWNJ2zA,"Charlie","In Limbo","TEEN",2012-08-26,379146,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.382,0.697,11,-5.314,1,0.0302,0.00694,0.317,0.198,0.481,133.831,3
spotify:track:3mSrrx1QPu93OJaEIgRw59,"Electric","In Limbo","TEEN",2012-08-26,267000,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.515,0.871,5,-4.917,0,0.0473,0.0305,0.22,0.0675,0.663,147.991,4
spotify:track:20gZlegv28IKNldAWPfO98,"Huh","In Limbo","TEEN",2012-08-26,350933,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.429,0.455,7,-7.943,1,0.0292,0.354,0.953,0.161,0.258,115.846,4
spotify:track:3zaT8BB5KY9SdAurlsEcGq,"In Limbo","In Limbo","TEEN",2012-08-26,158013,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.593,0.693,4,-10.405,1,0.0392,0.885,0.789,0.361,0.484,154.015,4
spotify:track:5fUBzySK5s2zz1zsqPv06n,"Sleep Is Noise","In Limbo","TEEN",2012-08-26,228080,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.528,0.803,10,-6.361,1,0.0696,0.00417,0.485,0.374,0.596,119.925,4
spotify:track:5FsXFb2a5CIoaNZyzdkPR7,"Unable","In Limbo","TEEN",2012-08-26,383973,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.111,0.332,6,-8.867,0,0.034,0.965,0.742,0.379,0.0679,86.376,5
spotify:track:3BvDmptJhw5i4Jq5rGMrBk,"Why Why Why","In Limbo","TEEN",2012-08-26,354680,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.189,0.767,9,-5.792,1,0.0483,0.00537,0.921,0.664,0.627,100.97,4
spotify:track:4dO0ihQosIlrqQhXuzHFKk,"Roses & Wine","In Limbo","TEEN",2012-08-26,379213,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.496,0.893,7,-6.397,0,0.0459,0.867,0.873,0.0873,0.386,101.98,4
spotify:track:0Vld1p90TMbof0Z6SiPOYv,"Fire","In Limbo","TEEN",2012-08-26,317346,0,false,5forty,2012-10-29T08:56:48Z,"","carpark",0.585,0.766,9,-8.966,1,0.0421,0.767,0.835,0.394,0.586,120.828,4
spotify:track:3owosdcuGoYkiA0YKC0RcC,"Oddience","Shape Shifter","Rampant Egos",2009-12-11,196053,0,false,,2012-10-30T09:23:31Z,"","Rampant Egos",0.46,0.656,4,-9.078,1,0.0493,0.509,0.606,0.324,0.372,101.009,4
