Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7qzeJS17LVxmTv6B6ZIg7y,"The Birds","Immolate Yourself","Telefon Tel Aviv",2009-01-30,398492,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.231,0.879,11,-8.373,0,0.0566,0.0664,0.597,0.0924,0.179,119.956,4
spotify:track:2ZPs5cRXeDX0U9pQ7Se6hd,"Your Mouth","Immolate Yourself","Telefon Tel Aviv",2009-01-30,248786,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.538,0.882,1,-5.594,0,0.0453,0.0084,0.826,0.0486,0.427,109.918,4
spotify:track:3iXSmqNOua5EHI8LGEZdi7,"M","Immolate Yourself","Telefon Tel Aviv",2009-01-30,222092,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.607,0.878,0,-7.586,1,0.0449,0.00048,0.85,0.192,0.138,114.004,4
spotify:track:4p4E9P59xQE4vEUC1edVQ5,"Helen Of Troy","Immolate Yourself","Telefon Tel Aviv",2009-01-30,191972,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.538,0.842,4,-5.426,0,0.0523,0.00227,0.872,0.275,0.51,170.002,4
spotify:track:4QIvvTBPPS5tH17VJ3r0Ni,"Mostly Translucent","Immolate Yourself","Telefon Tel Aviv",2009-01-30,255786,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.382,0.351,2,-13.974,0,0.0341,0.743,0.915,0.108,0.0751,158.085,3
spotify:track:6CPxynU9yv1xWd3ZgsFHS6,"Stay Away From Being Maybe","Immolate Yourself","Telefon Tel Aviv",2009-01-30,263292,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.671,0.754,2,-6.594,1,0.104,0.0121,0.356,0.143,0.648,114.012,4
spotify:track:755oloxVw8efhzDQmTLobu,"I Made A Tree On The Wold","Immolate Yourself","Telefon Tel Aviv",2009-01-30,279332,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.311,0.422,2,-13.697,1,0.0405,0.744,0.958,0.12,0.211,110.042,4
spotify:track:2jpVApJaYkYGYRL7WQHnvu,"Your Every Idol","Immolate Yourself","Telefon Tel Aviv",2009-01-30,294586,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.418,0.844,5,-10.582,0,0.0494,0.213,0.812,0.618,0.102,104.312,4
spotify:track:2sV5DUK6yowCwnUp3v8QpJ,"You Are The Worst Thing In The World","Immolate Yourself","Telefon Tel Aviv",2009-01-30,283772,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.496,0.931,5,-7.417,0,0.0376,0.0823,0.873,0.693,0.864,104.289,4
spotify:track:6CIOAJZ2tQjtcfWMV8EZ5S,"Immolate Yourself","Immolate Yourself","Telefon Tel Aviv",2009-01-30,338412,0,false,5forty,2015-09-07T16:27:34Z,"idm,glitch,downtempo","BPitch Control",0.635,0.764,11,-9.764,0,0.0361,0.0752,0.913,0.0845,0.307,104.987,3
