Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0LS9j29qzv8vKFz2Hi3G8c,"Cristina","Breakfast","Teleman",2014-06-02,238906,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.783,0.516,7,-8.792,1,0.0493,0.397,0.00000586,0.119,0.267,119.029,4
spotify:track:7KeqLQnDDqJvvRO3aE2BJ9,"In Your Fur","Breakfast","Teleman",2014-06-02,244440,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.636,0.776,7,-7.405,1,0.0277,0.205,0.00461,0.079,0.585,122.469,4
spotify:track:5KQ9ZYcltuirwREuPxKdkp,"Steam Train Girl","Breakfast","Teleman",2014-06-02,222146,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.811,0.707,2,-7.799,1,0.0733,0.0191,0.00209,0.0973,0.767,127.995,4
spotify:track:0YoKkm4G10SlGr0akNDZBh,"23 Floors Up","Breakfast","Teleman",2014-06-02,234706,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.51,0.383,5,-6.416,1,0.0278,0.0898,0,0.0991,0.441,65.946,4
spotify:track:3FDc8kVIhKCQ4cMYNLpBVT,"Monday Morning","Breakfast","Teleman",2014-06-02,248200,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.73,0.53,4,-9.132,0,0.0316,0.19,0.00571,0.0849,0.489,126.872,4
spotify:track:2Un5ghpSnfy4gRnun3pUTn,"Skeleton Dance","Breakfast","Teleman",2014-06-02,217880,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.622,0.777,1,-7.015,1,0.0448,0.00607,0.00185,0.246,0.0616,156.01,4
spotify:track:11kkmvJxZyoD5MWRSpsK8Z,"Mainline","Breakfast","Teleman",2014-06-02,226293,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.524,0.708,11,-5.237,1,0.0251,0.0204,0.00000279,0.0625,0.524,74.991,4
spotify:track:05Khv6jPisjRHvAtCzWyqQ,"Lady Low","Breakfast","Teleman",2014-06-02,247960,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.606,0.417,4,-10.248,1,0.0315,0.766,0.0251,0.105,0.342,125.992,4
spotify:track:44weLdBlhR12kUTliOCJG0,"Redhead Saturday","Breakfast","Teleman",2014-06-02,221706,0,true,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.598,0.267,8,-8.846,1,0.0309,0.738,0.0000205,0.0834,0.233,119.842,3
spotify:track:0LjOlUsJS8ClCZ4OyiAjDs,"Travel Song","Breakfast","Teleman",2014-06-02,470139,0,false,5forty,2014-10-12T20:31:48Z,"","Moshi Moshi",0.508,0.875,4,-7.648,1,0.0607,0.0345,0.145,0.107,0.0849,127.938,4
