Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lLAenT4RjwShN3kJyUq6R,"Window","In A Safe Place","The Album Leaf",2004-01-01,226580,39,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.268,0.0804,2,-18.546,1,0.0533,0.731,0.963,0.0593,0.035,67.723,5
spotify:track:3aO0zL8RaAgolkayyQ4Nbo,"Thule","In A Safe Place","The Album Leaf",2004-01-01,263093,24,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.536,0.69,2,-10.105,1,0.0364,0.285,0.767,0.0371,0.269,90.304,4
spotify:track:31v9zhM3wZKmPT1319nQag,"On Your Way","In A Safe Place","The Album Leaf",2004-01-01,271746,19,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.507,0.578,9,-10.162,1,0.029,0.721,0.778,0.113,0.0396,86.997,4
spotify:track:6PSgBb1yQZe99yIjn0eUgp,"Twentytwofourteen","In A Safe Place","The Album Leaf",2004-01-01,340800,33,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.294,0.598,11,-9.367,0,0.0357,0.697,0.894,0.0923,0.0363,133.171,4
spotify:track:6W85wToJmH327s7sVvxFD5,"The Outer Banks","In A Safe Place","The Album Leaf",2004-01-01,262773,24,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.532,0.515,6,-9.45,0,0.0344,0.0303,0.842,0.114,0.0446,125.04,4
spotify:track:0DeyIYrCFdd3m7VIQaZIMh,"Over The Pond","In A Safe Place","The Album Leaf",2004-01-01,295746,26,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.46,0.398,6,-10.334,0,0.0268,0.211,0.891,0.0719,0.0399,82.166,4
spotify:track:0VkskxmBFPFSevPNOg9HgX,"Another Day (Revised)","In A Safe Place","The Album Leaf",2004-01-01,261866,28,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.53,0.64,1,-9.981,1,0.051,0.528,0.92,0.0578,0.0387,120.03,4
spotify:track:4zBT1DYfe9w9zKuBN08JLl,"Streamside","In A Safe Place","The Album Leaf",2004-01-01,214186,23,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.213,0.401,2,-12.972,1,0.0403,0.829,0.586,0.227,0.19,204.697,4
spotify:track:6y2I3JvP81V5J4TKAY3O3e,"Eastern Glow","In A Safe Place","The Album Leaf",2004-01-01,366520,22,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.562,0.489,11,-11.572,0,0.0277,0.457,0.917,0.118,0.114,105.015,4
spotify:track:1cWCLub3KclXZC7R9wXTUv,"Moss Mountain Town","In A Safe Place","The Album Leaf",2004-01-01,564133,13,false,,2011-01-01T00:37:15Z,"post-rock,ambient","City Slang",0.165,0.00156,10,-22.657,1,0.0394,0.617,0.000333,0.0976,0.0392,134.233,4
