Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2EMB7JnZUKPWgoQtuSjW31,"Broken","Picture You","The Amazing",2015-02-16,300166,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.288,0.627,2,-8.133,1,0.0295,0.38,0.89,0.0826,0.208,104.762,4
spotify:track:4IODDv1wt2VwvPUCfFUdSr,"Picture You","Picture You","The Amazing",2015-02-16,567371,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.332,0.64,11,-7.791,0,0.0368,0.263,0.717,0.113,0.181,117.742,4
spotify:track:4EdKkFTADTOnzjZx0ek57X,"Circles","Picture You","The Amazing",2015-02-16,380638,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.41,0.479,2,-9.501,1,0.0287,0.31,0.0465,0.145,0.277,124.4,4
spotify:track:1nlTc74M6VUnrgt1g8c5oO,"Safe Island","Picture You","The Amazing",2015-02-16,513127,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.0834,0.66,6,-5.455,1,0.0451,0.016,0.585,0.128,0.0924,84.654,3
spotify:track:3HcVN5ZUgESYeqA7DZtCFu,"To Keep It Going","Picture You","The Amazing",2015-02-16,339045,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.265,0.53,4,-6.643,1,0.0306,0.466,0.882,0.108,0.229,126.836,4
spotify:track:4SSm66DtUU5Ky55G6jO2bw,"Fryshusfunk","Picture You","The Amazing",2015-02-16,444874,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.275,0.673,11,-6.525,0,0.0369,0.216,0.878,0.171,0.377,144.124,4
spotify:track:2HyYcQaYgf3ndH7rRBuNPX,"Tell Them You Can't Leave","Picture You","The Amazing",2015-02-16,244741,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.345,0.62,7,-7.502,1,0.0353,0.0416,0.0507,0.0871,0.574,119.068,4
spotify:track:3qPesaLB32OYHfKJofKnGd,"The Headless Boy","Picture You","The Amazing",2015-02-16,238357,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.298,0.427,4,-8.712,1,0.0304,0.187,0.0199,0.3,0.475,107.512,4
spotify:track:1cgSI4dJokFrcZrQI57zRk,"Captured Light","Picture You","The Amazing",2015-02-16,488067,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.153,0.531,2,-8.83,0,0.034,0.465,0.714,0.117,0.149,83.171,4
spotify:track:12l2kngSn3qzAmHAVoCutI,"Winter Dress","Picture You","The Amazing",2015-02-16,327619,0,false,5forty,2015-11-13T11:14:37Z,"","Partisan Records",0.226,0.715,4,-5.701,1,0.0372,0.0126,0.684,0.0861,0.252,139.182,4
