Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2c9p8A5SfzB3hzxfDAtjZ9,"He's Frank - Slight Return","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Iggy Pop",2009-03-01,196253,14,false,,2012-06-25T07:56:52Z,"big beat,proto-punk,glam rock","Southern Fried Records",0.662,0.732,11,-6.139,1,0.0674,0.0000451,0.424,0.146,0.77,148.008,4
spotify:track:3oTLolYAr3MNOMaS8pB8Pm,"Dirty Sheets","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Pete York",2009-03-01,203760,2,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.693,0.744,0,-5.987,1,0.169,0.0361,0.0000395,0.538,0.534,139.944,4
spotify:track:2Lp1GU647OJ3JWPaTLKSqF,"Jumps The Fence","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Connan Mockasin",2009-03-01,213346,17,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.618,0.771,9,-5.786,1,0.185,0.0199,0.00000808,0.647,0.502,180.086,4
spotify:track:0hBrcjCTC8m26OlMYbvF8I,"Should I stay Or Should I Blow","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Ashley Beedle",2009-03-01,149440,17,false,,2012-06-25T07:56:52Z,"big beat,nu disco","Southern Fried Records",0.779,0.948,7,-5.418,1,0.0467,0.142,0.00000269,0.142,0.877,127.991,4
spotify:track:7otQkqBXo3ZfRPFcBDZsYx,"Island","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Justin Robertson",2009-03-01,266413,3,false,,2012-06-25T07:56:52Z,"big beat,madchester","Southern Fried Records",0.624,0.834,5,-6.793,1,0.0309,0.0012,0.515,0.0561,0.299,99.999,4
spotify:track:2EQS6GClcZXszV93sc32jp,"Local Town","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Jamie T",2009-03-01,188733,6,false,,2012-06-25T07:56:52Z,"big beat,indie","Southern Fried Records",0.643,0.928,0,-5.473,1,0.0346,0.208,0.00132,0.265,0.936,145.015,4
spotify:track:3zwzc5yxAQDPyHuvao0TSc,"Seattle","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Emmy The Great",2009-03-01,235346,12,false,,2012-06-25T07:56:52Z,"big beat,anti-folk","Southern Fried Records",0.718,0.627,3,-8.352,0,0.036,0.332,0.00575,0.114,0.57,126.991,4
spotify:track:6oIcoABShJmsFkBFa22mWd,"Spade","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Martha Wainwright",2009-03-01,200626,25,false,,2012-06-25T07:56:52Z,"big beat,singer-songwriter","Southern Fried Records",0.821,0.684,0,-7.228,0,0.0431,0.00731,0.00135,0.116,0.688,98.003,4
spotify:track:3DLAJcI9LnTROVk0VFPFQ8,"Superman","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Simon Thornton",2009-03-01,223533,4,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.759,0.512,8,-4.681,1,0.0375,0.00128,0.11,0.115,0.852,128.032,4
spotify:track:5N8XOgjmdQ8TkabZZxVnn1,"Superlover","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Cagedbaby",2009-03-01,251013,3,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.53,0.576,11,-7.941,1,0.0518,0.768,0.0884,0.105,0.392,150.065,4
spotify:track:2x9lPPGS66l4mHcTH99w36,"Toe Jam","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Dizzee Rascal & David Byrne",2009-03-01,202293,10,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.756,0.797,10,-5.719,0,0.214,0.0582,0.0000586,0.0763,0.93,163.85,4
spotify:track:33Hgv5AFkhDOZrrCH0FKZ2,"So It Goes","I Think We're Gonna Need a Bigger Boat","The BPA;Fatboy Slim;Olly Hite",2009-03-01,217813,11,false,,2012-06-25T07:56:52Z,"big beat","Southern Fried Records",0.893,0.562,9,-6.306,1,0.0449,0.609,0.00000202,0.364,0.878,105.979,4
