Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Hzk2jGLWjUQJ2aAPmdtbB,"Sucker","Love In The 4th Dimension","The Big Moon",2017-04-07,222226,20,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.461,0.755,2,-4.854,1,0.0499,0.112,0.0000404,0.367,0.455,92.563,3
spotify:track:1zF0PFdUHTTwRZmYGv1ieO,"Pull The Other One","Love In The 4th Dimension","The Big Moon",2017-04-07,211240,17,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.377,0.78,0,-4.911,0,0.0604,0.0638,0.0000211,0.17,0.455,123.064,4
spotify:track:3dvvQrTIzBbPh5egjpSs1n,"Cupid","Love In The 4th Dimension","The Big Moon",2017-04-07,223986,30,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.468,0.716,0,-4.854,1,0.0499,0.0514,0.0952,0.0766,0.375,108.115,4
spotify:track:2SBzyzjN6a75JGvCddno2J,"Formidable","Love In The 4th Dimension","The Big Moon",2017-04-07,175800,21,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.401,0.65,0,-5.204,1,0.037,0.447,0.00000256,0.105,0.385,144.802,4
spotify:track:19KGqND0CPC1bL8ZlV6VV6,"Bonfire","Love In The 4th Dimension","The Big Moon",2017-04-07,227293,15,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.503,0.835,11,-4.276,0,0.0502,0.0235,0.0000109,0.321,0.533,118.086,4
spotify:track:2aUePlOojF0L1dfFr3BM8J,"The Road","Love In The 4th Dimension","The Big Moon",2017-04-07,240733,15,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.461,0.658,11,-5.907,0,0.0387,0.19,0.000157,0.187,0.511,150.304,3
spotify:track:6ymSny4iw3i6Pfdk26Mecn,"Happy New Year","Love In The 4th Dimension","The Big Moon",2017-04-07,202560,20,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.423,0.871,2,-3.236,1,0.0503,0.0162,0,0.35,0.431,126.067,4
spotify:track:2SbC6j4Y1uXO86jwh5CTE5,"Silent Movie Susie","Love In The 4th Dimension","The Big Moon",2017-04-07,203560,12,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.44,0.818,2,-4.318,1,0.0442,0.0749,0.00000909,0.0739,0.221,124.08,4
spotify:track:5g1hHIRicAQUky21jPyevn,"Love In The 4th Dimension","Love In The 4th Dimension","The Big Moon",2017-04-07,222880,10,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.452,0.721,5,-4.952,1,0.0384,0.0464,0.000147,0.191,0.196,119.945,4
spotify:track:7uUQIt6SZxAOfZnI3DAuqH,"Zeds","Love In The 4th Dimension","The Big Moon",2017-04-07,243413,10,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.454,0.654,3,-5.468,0,0.0309,0.41,0.0000644,0.309,0.481,139.984,4
spotify:track:2RoOUuwyFHL2JcFblQbvrK,"The End","Love In The 4th Dimension","The Big Moon",2017-04-07,252293,10,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.241,0.531,10,-5.416,1,0.0332,0.21,0.00000537,0.186,0.271,158.459,4
spotify:track:2nRQJr1sdQpGsdiG88g1Fc,"Hold This - Bonus Track","Love In The 4th Dimension","The Big Moon",2017-04-07,186453,7,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.394,0.633,4,-5.453,0,0.0447,0.0261,0.000821,0.11,0.397,134.235,3
spotify:track:5guG9cf5d5bLzrBTIocnQY,"The Undead - Bonus Track","Love In The 4th Dimension","The Big Moon",2017-04-07,253799,8,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.45,0.901,11,-5.054,0,0.0698,0.23,0.00459,0.0909,0.582,141.071,4
spotify:track:2Gb9N9NLwMKuYG5fu7tIiK,"Eureka Moment - Bonus Track","Love In The 4th Dimension","The Big Moon",2017-04-07,197733,8,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.365,0.807,0,-6.104,1,0.0459,0.00176,0.158,0.405,0.64,107.783,4
spotify:track:4FEWfCNh113D4kUU9tLIiO,"Something Beautiful - Bonus Track","Love In The 4th Dimension","The Big Moon",2017-04-07,209040,7,false,5forty,2017-07-27T15:40:05Z,"","Fiction",0.589,0.303,2,-9.856,1,0.0245,0.276,0.0207,0.0888,0.256,98.99,4
