Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11ZqxmzZkezjpTX3Ax8huT,"Bad Vibrations","Phosphene Dream","The Black Angels",2010-09-14,267400,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.158,0.742,0,-6.508,1,0.0649,0.000107,0.666,0.364,0.0653,206.863,4
spotify:track:4zabZ3OmnV14ESlsHhHRh1,"Haunting at 1300 McKinley","Phosphene Dream","The Black Angels",2010-09-14,144000,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.483,0.877,2,-4.206,1,0.0386,0.000184,0.00552,0.198,0.464,111.959,4
spotify:track:4zKUvHPiqTdYZ6ogyykIEZ,"Yellow Elevator #2","Phosphene Dream","The Black Angels",2010-09-14,296626,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.267,0.722,0,-4.665,1,0.0339,0.000194,0.0265,0.118,0.306,118.084,4
spotify:track:7D4DYKA4ArTxJslLjVKs48,"Sunday Afternoon","Phosphene Dream","The Black Angels",2010-09-14,163773,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.389,0.891,7,-4.617,1,0.0461,0.0000292,0.000168,0.574,0.688,142.302,4
spotify:track:2jZny5PJaXCtUamKbQfdEy,"River of Blood","Phosphene Dream","The Black Angels",2010-09-14,238133,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.321,0.754,9,-4.61,1,0.0394,0.00000623,0.00473,0.109,0.403,116.648,4
spotify:track:7Iee5mJtIdS4Qh1wCxIjAo,"Entrance Song","Phosphene Dream","The Black Angels",2010-09-14,218560,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.305,0.791,0,-5.226,1,0.0426,0.000333,0.381,0.343,0.151,113.213,4
spotify:track:3Spi4TqL9ZDpRkog3u81OP,"Phosphene Dream","Phosphene Dream","The Black Angels",2010-09-14,221840,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.549,0.609,11,-6.798,0,0.0298,0.000165,0.605,0.355,0.174,103.559,4
spotify:track:6gsEhTD2mFh0twVZWpZhDu,"True Believers","Phosphene Dream","The Black Angels",2010-09-14,273266,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.278,0.76,7,-6.879,0,0.051,0.0168,0.046,0.11,0.0375,111.454,4
spotify:track:5XCKHE6khtlyVgZMUz0ThH,"Telephone","Phosphene Dream","The Black Angels",2010-09-14,119133,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.381,0.81,2,-4.726,1,0.042,0.000806,0.0456,0.495,0.66,151.129,4
spotify:track:2kDhsvb7MfSfNCM8ySqqRV,"The Sniper","Phosphene Dream","The Black Angels",2010-09-14,234000,0,false,,2011-01-24T16:22:08Z,"neo-psychedelic,psychedelic rock,stoner rock,space rock,garage rock","Blue Horizon",0.164,0.784,4,-4.65,1,0.0487,0.0000258,0.0518,0.0734,0.28,88.097,4
