Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2hMjhbl22aojLJGnXRoWtr,"Everlasting Light","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,204626,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.775,0.579,4,-6.592,1,0.0366,0.124,0.0196,0.366,0.731,90.461,4
spotify:track:0LMbqdeLFpQXhjC5mMVfdr,"Next Girl","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,198266,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.521,0.702,1,-6.29,0,0.0369,0.0431,0.000238,0.116,0.239,85.727,4
spotify:track:5dbXXsVTRaldbdsi1jZksW,"Tighten Up","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,211040,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.459,0.708,6,-6.167,0,0.0681,0.00142,0.00000444,0.485,0.583,108.952,4
spotify:track:274voeiGXAtDEQ5KWfNzLK,"Howlin’ For You","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,191800,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.708,0.737,11,-6.665,0,0.0943,0.0299,0.0804,0.101,0.476,132.612,4
spotify:track:1VWZAuX9hbQbCW0iW3UQE5,"She’s Long Gone","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,185973,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.351,0.86,11,-6.676,0,0.11,0.0394,0.0345,0.217,0.502,167.935,4
spotify:track:138mJdQhsGCIL67gzTUK8P,"Black Mud","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,129453,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.493,0.497,11,-8.984,0,0.0386,0.267,0.932,0.321,0.333,143.857,4
spotify:track:2F7sirAQRGsVzu7XdOUy6i,"The Only One","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,300346,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.433,0.661,1,-7.012,0,0.0327,0.72,0.0502,0.157,0.617,105.055,4
spotify:track:2Ix1cgTbxmhefhF3Pr7ybB,"Too Afraid To Love","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,204733,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.512,0.689,11,-6.162,0,0.0301,0.0122,0.00165,0.105,0.542,136.919,4
spotify:track:1dABMNTDn0yURfeB9IvB0n,"Ten Cent Pistol","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,269306,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.594,0.5,0,-8.46,0,0.0309,0.324,0.0188,0.138,0.325,104.721,4
spotify:track:5yLbCoM5OTgNZTHziFJkyA,"Sinister Kid","Brothers (Deluxe Edition)","The Black Keys",2010-10-15,224533,0,false,5forty,2012-11-27T01:10:42Z,"blues rock,garage rock,modern blues,rock","Digital Distribution Latvia",0.76,0.828,9,-7.277,1,0.0763,0.153,0.184,0.397,0.93,139.63,4
