Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7Eff8iNdHa6jRFTBETmKvf,"Talking To Clarry","Expecting To Fly","The Bluetones",1996-01-01,413333,22,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.227,0.814,7,-7.346,1,0.0424,0.00135,0.00437,0.142,0.376,88.165,4
spotify:track:2JOi5i2Lm8VBpxk3IoyTEr,"Bluetonic","Expecting To Fly","The Bluetones",1996-01-01,248933,41,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.278,0.896,0,-6.937,1,0.0612,0.0437,0.314,0.0863,0.288,139.163,4
spotify:track:2rtyMDqspJj1rKnfCFLktC,"Cut Some Rug","Expecting To Fly","The Bluetones",1996-01-01,272866,30,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.218,0.952,9,-6.25,1,0.0504,0.0133,0,0.31,0.611,180.598,4
spotify:track:1miGxrQH6Ce6sYkiVAohWh,"Things Change","Expecting To Fly","The Bluetones",1996-01-01,338040,22,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.402,0.767,2,-7.954,1,0.0439,0.023,0.00627,0.317,0.231,98.851,4
spotify:track:1WuqsmfSgRvnrlS7FYnMIH,"The Fountainhead","Expecting To Fly","The Bluetones",1996-01-01,273173,22,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.329,0.74,9,-9.248,1,0.0654,0.0718,0.0163,0.29,0.548,171.715,3
spotify:track:1RRdNzR2J4E8DucIiVs7ZL,"Carnt Be Trusted","Expecting To Fly","The Bluetones",1996-01-01,230866,26,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.397,0.79,9,-6.463,0,0.0404,0.00238,0.00582,0.277,0.521,120.359,4
spotify:track:3SyPTIK2xO4UhlpmKPsnK6,"Slight Return","Expecting To Fly","The Bluetones",1996-01-01,201133,53,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.431,0.903,2,-6.577,1,0.0406,0.02,0.0000495,0.173,0.672,102.787,4
spotify:track:75Ab86KyNOvXW1Xx1KJqXO,"Putting Out Fires","Expecting To Fly","The Bluetones",1996-01-01,382333,26,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.217,0.733,7,-7.131,1,0.042,0.0339,0.0002,0.157,0.255,178.782,4
spotify:track:4Q5KqhaSHnlnGPJGcMEG61,"Vampire","Expecting To Fly","The Bluetones",1996-01-01,269560,13,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.213,0.843,0,-7.668,1,0.0598,0.0502,0.0165,0.417,0.536,191.1,4
spotify:track:4j93lfJffFhQYFnrl2o8Za,"A Parting Gesture","Expecting To Fly","The Bluetones",1996-01-01,280773,14,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.344,0.58,0,-8.646,1,0.0322,0.206,0.000399,0.0857,0.372,142.557,4
spotify:track:0b72hdruG0h6aQWr0LalDO,"Time & Again","Expecting To Fly","The Bluetones",1996-01-01,309306,13,false,5forty,2013-03-12T22:17:35Z,"britpop,madchester","EMI",0.31,0.88,9,-6.703,0,0.047,0.0274,0.0419,0.38,0.683,120.498,4
