Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3EZjCI5hs6yquQj9b8hOoP,"A Little Longing Goes Away","Lost And Safe","The Books",2005,210280,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.285,0.0939,0,-21.299,1,0.0532,0.949,0.023,0.0963,0.0336,74.207,3
spotify:track:4dND6ceszSJ5eEXvmLdJHA,"Be Good To Them Always","Lost And Safe","The Books",2005,291240,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.689,0.509,7,-6.339,1,0.0552,0.477,0.221,0.404,0.442,152.763,3
spotify:track:0CYlqXykXXyJc88YOny023,"Vogt Dig For Kloppervok","Lost And Safe","The Books",2005,234333,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.72,0.638,9,-12.724,1,0.0666,0.0676,0.354,0.148,0.173,152.762,4
spotify:track:3NirQUuhPa5Yenq9VgtKRP,"Smells Like Content","Lost And Safe","The Books",2005,221440,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.815,0.367,11,-13.706,1,0.0475,0.132,0.121,0.155,0.32,114.307,4
spotify:track:4wZWVEX4ekZusohLgFutUm,"It Never Changes To Stop","Lost And Safe","The Books",2005,241093,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.606,0.364,1,-14.408,0,0.0297,0.467,0.577,0.291,0.202,127.866,3
spotify:track:35bhPfDNyfFDVjN17VNY5R,"An Animated Description Of Mr. Maps","Lost And Safe","The Books",2005,278626,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.815,0.569,1,-7.72,1,0.0609,0.0821,0.0373,0.102,0.327,102.749,3
spotify:track:1mF11L4YwjAhl6EHbx4gDw,"Venice","Lost And Safe","The Books",2005,102586,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.861,0.446,1,-7.259,1,0.326,0.292,0.0000372,0.062,0.55,102.301,3
spotify:track:6s8XIi2Yf9Vc7vIdSxzxoG,"None But Shining Hours","Lost And Safe","The Books",2005,162920,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.796,0.591,8,-14.669,1,0.0438,0.481,0.749,0.108,0.632,129.683,4
spotify:track:14kaa7svweO0g9ABnQ7IDV,"If Not Now, Whenever","Lost And Safe","The Books",2005,215866,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.811,0.549,5,-12.431,0,0.13,0.325,0.05,0.373,0.41,120.085,3
spotify:track:7zsutVPr4EIt09QlBTLPfH,"An Owl With Knees","Lost And Safe","The Books",2005,281480,0,false,,2010-12-30T14:22:31Z,"plunderphonics","Tomlab",0.717,0.701,1,-10.541,1,0.0388,0.78,0.723,0.106,0.641,102.761,3
