Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:41GUOZ5SuzCinHFirNUow7,"Nervous Mary","All Nerve","The Breeders",2018-03-02,149253,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.587,0.591,11,-7.61,0,0.0384,0.653,0.000489,0.142,0.0757,131.221,4
spotify:track:2BmE0lAasjanrH1osnszvK,"Wait in the Car","All Nerve","The Breeders",2018-03-02,123373,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.46,0.827,6,-5.343,0,0.0347,0.0075,0.000432,0.213,0.548,140.201,4
spotify:track:3YMWDzk3Ar3uyznxwd6656,"All Nerve","All Nerve","The Breeders",2018-03-02,131293,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.547,0.469,11,-7.392,1,0.0342,0.0243,0.00000395,0.165,0.279,92.983,4
spotify:track:0I4xNxvKiR7zhyxDcGeqNM,"MetaGoth","All Nerve","The Breeders",2018-03-02,188640,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.696,0.641,8,-8.499,0,0.0277,0.0117,0.775,0.151,0.486,117.149,4
spotify:track:4Hut4iHh8BwZS7RosK89IP,"Spacewoman","All Nerve","The Breeders",2018-03-02,261626,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.572,0.388,0,-9.785,1,0.0254,0.7,0.0916,0.102,0.0817,95.878,4
spotify:track:7qLVporSAjLd4ec3bQh2PA,"Walking with a Killer","All Nerve","The Breeders",2018-03-02,225213,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.339,0.393,11,-9.397,0,0.0271,0.335,0.00819,0.0874,0.227,183.632,4
spotify:track:4eA1YDhcNfKoXjzTXzmtPn,"Howl at the Summit","All Nerve","The Breeders",2018-03-02,177360,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.259,0.771,11,-4.927,0,0.0288,0.000602,0.0000127,0.138,0.298,158.23,3
spotify:track:1829DpuA3TWCoWEQmzizn7,"Archangel's Thunderbird","All Nerve","The Breeders",2018-03-02,205466,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.477,0.817,10,-7.721,0,0.0365,0.0019,0.0218,0.26,0.726,114.238,4
spotify:track:0eSRzMqBONk7QqWrtalWxN,"Dawn: Making an Effort","All Nerve","The Breeders",2018-03-02,230066,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.137,0.423,2,-6.064,1,0.0293,0.861,0.0191,0.194,0.0645,96.725,4
spotify:track:46qW8sYRAsjjpf0hvhYIa4,"Skinhead #2","All Nerve","The Breeders",2018-03-02,165280,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.597,0.476,6,-8.059,1,0.0409,0.0132,0.00138,0.0926,0.193,119.55,4
spotify:track:4oSEsUQDwkCpyWRCqrIfrb,"Blues at the Acropolis","All Nerve","The Breeders",2018-03-02,176920,0,false,5forty,2018-03-05T16:12:46Z,"riot grrrl,alternative rock","4AD",0.461,0.422,0,-7.573,1,0.0274,0.115,0.0165,0.214,0.35,103.521,4
spotify:track:73MYXXOV9DKwq8MVuSOpMT,"SPRORGNSM","Superorganism","Superorganism",2018-03-02,200170,34,false,5forty,2018-03-14T14:52:16Z,"art pop","Domino Recording Co",0.494,0.815,9,-4.494,1,0.246,0.0175,0,0.105,0.513,178.134,4
