Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0hqerKEIFA4DtleOobCv2m,"Liar","Things Come Apart","The Charlottes",1991-01-01,261133,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.224,0.905,4,-11.314,1,0.0601,0.00000279,0.916,0.0866,0.185,127.602,4
spotify:track:7HxVrWI8hY4hUaNCtQnGOm,"Prayer Song","Things Come Apart","The Charlottes",1991-01-01,268400,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.305,0.8,4,-11.365,1,0.04,0.00000185,0.894,0.0751,0.553,102.032,4
spotify:track:4B4142ZVNXl77osyMV39OO,"See Me Feel","Things Come Apart","The Charlottes",1991-01-01,188693,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.248,0.81,4,-10.482,1,0.0412,0.00000311,0.783,0.0955,0.587,91.758,4
spotify:track:5ScTAaWwN7GXoS5lyuQlYY,"By My Side","Things Come Apart","The Charlottes",1991-01-01,584240,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.271,0.621,2,-12.072,1,0.0301,0.0000295,0.883,0.114,0.156,107.262,4
spotify:track:3SlriZg7AgtSBLYTKjJFug,"Mad Girl's Love Song","Things Come Apart","The Charlottes",1991-01-01,267400,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.278,0.727,2,-10.289,1,0.0365,0.00000389,0.000947,0.237,0.577,109.814,4
spotify:track:02LNrBxmVNFuQDWPB7Yj2W,"Beautify","Things Come Apart","The Charlottes",1991-01-01,236626,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.26,0.826,9,-8.718,1,0.0375,0.0000176,0.865,0.151,0.564,91.911,4
spotify:track:7GW1aupco8tBdTlZ2c5kaY,"Love In The Emptiness","Things Come Apart","The Charlottes",1991-01-01,227266,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.182,0.731,2,-11.002,1,0.039,0,0.923,0.123,0.372,183.372,4
spotify:track:5taYa25xAb8fRhT3T9KJbK,"We're Going Wrong","Things Come Apart","The Charlottes",1991-01-01,286773,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.182,0.653,4,-11.356,0,0.0299,0.00000188,0.903,0.159,0.585,146.123,4
spotify:track:79SesTBdiHNLWj8p8eCdRw,"Blue","Things Come Apart","The Charlottes",1991-01-01,224933,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.231,0.577,4,-10.92,1,0.0356,0.00000161,0.864,0.109,0.599,168.295,4
spotify:track:6NaqW63YISTwMXku7fOmg4,"Venus","Things Come Apart","The Charlottes",1991-01-01,354986,0,false,5forty,2016-06-19T16:15:26Z,"shoegaze,jangle pop,dream pop","Cherry Red Records",0.282,0.856,11,-10.522,0,0.048,0.00000174,0.823,0.154,0.921,122.721,4
