Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IRtLgqRqMYFyZaSxqL1Ge,"Glitters Like Gold","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,253306,0,true,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.391,0.95,0,-2.621,1,0.0477,0.0000355,0.0695,0.313,0.443,131.97,4
spotify:track:3GwQRr1uNiENTIsozAgZuM,"Come On, Be A No-One","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,156866,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.416,0.93,7,-3.201,1,0.0755,0.000345,0.00000463,0.76,0.351,129.57,4
spotify:track:0BQD1VLLA1XOoYDpBXiryI,"Jaded Youth","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,232000,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.173,0.88,10,-2.617,1,0.0541,0.00579,0.00000907,0.0606,0.275,137.692,4
spotify:track:1rHFnVgL2Tidpp6yBEH3CF,"Anna","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,183466,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.365,0.977,7,-3.391,1,0.103,0.000411,0.000186,0.126,0.276,133.389,4
spotify:track:0wH0g82BEsjXpgnOkutWqD,"Confident Men","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,181453,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.31,0.624,0,-5.166,1,0.0358,0.00377,0.32,0.16,0.369,172.991,4
spotify:track:1FEn55Q4OjtddqCvuYnIlP,"Uptight","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,251586,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.297,0.9,8,-4.208,1,0.0778,0.0345,0.00341,0.133,0.427,121.322,4
spotify:track:44OgiszBp8zNodpf86BGDu,"Chi-Town","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,199586,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.304,0.974,0,-3.889,1,0.0625,0.000289,0,0.0793,0.317,149.669,4
spotify:track:0XRNHyY7Op7l7QaCBtB8zB,"Pure O","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,255613,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.283,0.956,11,-2.21,1,0.0726,0.00649,0.0862,0.346,0.177,129.097,4
spotify:track:3Il75kfSzTptx2aENFVn9P,"Back To The Bolthole","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,288933,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.0854,0.858,11,-3.546,1,0.0795,0.00146,0.000673,0.0784,0.146,166.924,4
spotify:track:7BCCu53l31cSDyFOKqqCUR,"I Should Have Helped","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,150266,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.389,0.257,3,-12.577,1,0.03,0.964,0.204,0.106,0.506,140.027,4
spotify:track:08arMETRZViTFBDtYif4dD,"Stalagmites","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,266040,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.279,0.803,10,-4.346,1,0.0465,0.000721,0.294,0.383,0.251,84.434,4
spotify:track:1krtjwfBqdZ8hNO2EOznHV,"Like A Gift Giver","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,77373,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.386,0.828,10,-3.708,1,0.0272,0.00546,0.0019,0.626,0.424,97.806,4
spotify:track:7i14b3nwBD3VODkrZ74iNz,"Butterflies","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,171560,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.232,0.826,10,-3.383,1,0.0347,0.00051,0.0751,0.797,0.236,137.013,4
spotify:track:2dmR5qIrRjnM3n3z3XrabC,"Arena Rock Encore With Full Cast","In The Belly Of The Brazen Bull","The Cribs",2012-04-30,159600,0,false,5forty,2012-10-13T03:15:26Z,"indie rock,indie","Wichita Recordings",0.0669,0.863,10,-2.36,1,0.0503,0.00000954,0.0000115,0.209,0.518,185.727,4
