Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gcfxHL1iRgP0RHCDYMNIo,"Plainsong - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,317346,49,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.361,0.428,0,-9.282,1,0.0306,0.00451,0.66,0.0879,0.125,86.884,4
spotify:track:2o49Twc3qrNMOt8gq9W06L,"Pictures Of You - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,448306,66,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.476,0.764,9,-6.454,1,0.032,0.00325,0.112,0.138,0.545,171.903,4
spotify:track:5QQ1xEicGlqmohDyieelbp,"Closedown - Remastered 2010","Disintegration (Deluxe Edition)","The Cure",1989-05-02,258346,42,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.521,0.755,4,-7.223,1,0.0272,0.319,0.769,0.129,0.617,93.986,4
spotify:track:2mIrfke7vosXAEWfz6ucyo,"Lovesong - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,208266,73,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.611,0.791,9,-7.7,0,0.0286,0.326,0.862,0.217,0.856,140.12,4
spotify:track:1Rhm6GwW6nfGFql1gwt7cj,"Last Dance - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,283880,40,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.331,0.772,9,-6.376,0,0.0546,0.474,0.576,0.338,0.545,184.031,4
spotify:track:0ZYdUkAQmKHsaKRmq8tWSE,"Lullaby - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,248186,69,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.719,0.553,9,-10.646,1,0.0349,0.186,0.677,0.0659,0.573,94.093,4
spotify:track:2wanmHGKh4DFoOd04Klvuv,"Fascination Street - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,315186,57,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.506,0.909,0,-5.746,0,0.08,0.00145,0.457,0.17,0.499,100.101,4
spotify:track:2Zh1LkF9VziQVUjzIFlyi9,"Prayers For Rain - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,367426,41,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.565,0.68,7,-7.609,1,0.0269,0.0046,0.0936,0.076,0.121,116.973,4
spotify:track:5hQskJiPdUoypb4CaSUcpj,"The Same Deep Water As You - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,562133,43,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.338,0.812,9,-8.363,0,0.0767,0.505,0.33,0.945,0.173,199.797,4
spotify:track:5LO3M8pfuprpwNN1p3tuxW,"Disintegration - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,499853,54,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.59,0.943,2,-5.941,1,0.056,0.32,0.0291,0.366,0.128,122.016,4
spotify:track:45TOYG5wlT96EZZLi3Byam,"Homesick - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,426013,37,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.491,0.693,9,-8.68,0,0.0259,0.132,0.727,0.104,0.566,156.085,4
spotify:track:0PHeyl0D4BhLB8PpAEaKjM,"Untitled - Remastered","Disintegration (Deluxe Edition)","The Cure",1989-05-02,390213,40,false,5forty,2013-01-26T10:15:04Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.664,0.688,7,-9.052,1,0.031,0.625,0.0785,0.111,0.194,95.041,4
