Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:local:John+Barry:Midnight+Cowboy+%28Original+Motion+Picture+Soundtrack%29:Florida+Fantasy:131,"Florida Fantasy","Midnight Cowboy (Original Motion Picture Soundtrack)","John Barry",,131000,0,false,thegoteam2013,2016-10-05T14:31:00Z,"","undefined",,,,,,,,,,,,
spotify:track:1Hqtsr4UAaj495dQxFqdk8,"We Got to Have Peace","Roots","Curtis Mayfield",1971,285866,32,false,thegoteam2013,2016-10-05T14:31:53Z,"classic soul,soul,funk,motown","Rhino",0.555,0.875,8,-7.587,0,0.0471,0.0496,0.0000691,0.113,0.915,91.96,4
spotify:track:7aXWNIZMxTzU76bdmajx9c,"Cold Earth","Tomorrow's Harvest","Boards of Canada",2013-06-10,222136,0,false,thegoteam2013,2016-10-05T14:36:27Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.586,0.712,9,-9.937,0,0.0313,0.237,0.971,0.0906,0.178,136.037,4
spotify:local:Idy+Lynn:Fading+Yellow+Vol.+11:Up+In+My+Mind:176,"Up In My Mind","Fading Yellow Vol. 11","Idy Lynn",,176000,0,false,thegoteam2013,2016-10-05T14:37:05Z,"","undefined",,,,,,,,,,,,
spotify:local:The+Crusaders:The+2nd+Crusade:Look+Beyond+the+Hill:195,"Look Beyond the Hill","The 2nd Crusade","The Crusaders",,195000,0,false,thegoteam2013,2016-10-05T14:37:50Z,"","undefined",,,,,,,,,,,,
spotify:track:5r9Qeb0dAI5ucOAOVZzE0c,"You Can Do It","Motown Northern Soul","Kim Weston",2014-01-01,184626,3,false,thegoteam2013,2016-10-05T14:40:37Z,"motown,northern soul,classic soul","UMC (Universal Music Catalogue)",0.616,0.723,1,-3.84,1,0.0319,0.148,0.0000164,0.1,0.71,131.63,4
spotify:track:00Z5fcHpT29Ov3x3qIMJoz,"Bond Arrives In Rio And Boat Chase","Moonraker","John Barry",1979-01-01,159733,0,false,thegoteam2013,2016-10-05T14:31:22Z,"","Capitol Records",0.235,0.289,5,-15.442,1,0.0378,0.961,0.941,0.404,0.671,119.928,4
spotify:track:1MD4tX2g5hx0D2WQ6JsC2m,"These Days","Chelsea Girl","Nico",1967-10,210666,0,false,thegoteam2013,2016-10-05T14:28:08Z,"proto-punk,art rock","Polydor",0.406,0.131,5,-17.668,1,0.0315,0.989,0.275,0.102,0.203,93.196,4
spotify:local:Edwards+Generation:California+Funk:Smokin%27+Tidbits:186,"Smokin' Tidbits","California Funk","Edwards Generation",,186000,0,false,thegoteam2013,2016-10-05T14:38:12Z,"","undefined",,,,,,,,,,,,
spotify:track:3ue9zcwNcoYvFqKVjG0C6r,"You And Me","Penny & the Quarters EP","Penny & The Quarters",2011-03-04,160813,0,false,thegoteam2013,2016-10-05T14:38:35Z,"","Numero Group",0.562,0.178,0,-7.811,1,0.0343,0.945,0.00000666,0.121,0.25,109.589,4
spotify:local:Bibio:Hand+Cranked:Cherry+Go+Round:353,"Cherry Go Round","Hand Cranked","Bibio",,353000,0,false,thegoteam2013,2016-10-05T14:39:14Z,"","undefined",,,,,,,,,,,,
spotify:track:7DjtqJNPKrDkCK3Tlic2cY,"I Miss My Surfer Boy Too","Surf Bunnies & Hot Honeys","Westwood",2011-05-01,148306,0,false,thegoteam2013,2016-10-05T14:43:09Z,"","Master Classics Records",0.386,0.589,11,-10.376,1,0.0316,0.572,0.00114,0.371,0.721,130.388,4
spotify:track:0FLmR0blAIztjE7YsQpoYc,"Shimmy Shimmy Ya","Enter The 37th Chamber","El Michels Affair",2009-04-21,145880,0,false,thegoteam2013,2016-10-05T14:43:49Z,"","Fat Beats Records",0.605,0.666,11,-5.77,1,0.0413,0.0237,0.647,0.0841,0.0864,100.121,4
spotify:track:0LVLAQjxWNg7lSvWo0bnZm,"I Cannot Stop You","Jimmy Hollywood's Greatest Hits!","Cherry Slush",2015-12-01,155030,0,false,thegoteam2013,2016-10-05T14:44:57Z,"","Chivalry",0.363,0.872,5,-6.772,1,0.0396,0.0571,0.574,0.409,0.767,137.01,4
spotify:track:6UH6LKe6TYdH9dLsNN4urC,"C'est la mode","Hot French Chicks in the Garage","Annie Philippe",2011-02-01,156466,0,false,thegoteam2013,2016-10-05T14:47:00Z,"french pop","Garage Masters",0.469,0.707,4,-6.34,1,0.048,0.612,0,0.306,0.728,131.689,4
spotify:track:18UID0SvpWHxoQCkJl6KAn,"Thatcherie (from ""Inner Space"")","Inner Space: The Lost Film Music of Sven Libaek","Sven Libaek",2006-09-09,180373,37,false,thegoteam2013,2016-10-05T14:49:39Z,"exotica","Trunk Records Ltd",0.535,0.386,5,-18.235,0,0.0336,0.791,0.967,0.0927,0.846,81.585,4
spotify:track:3Aa15ndRI0eRc5pinuJADY,"Choo Choo Train - Cellarful Of Motown Version","Cellar Full Of Motown Volume 2 (2CD set)","Little Lisa",2005-01-01,139160,0,false,thegoteam2013,2016-10-05T14:52:02Z,"motown,northern soul","Universal Music",0.65,0.795,7,-8.596,1,0.0319,0.238,0.00000102,0.151,0.97,126.212,4
spotify:track:54pYyWfIvjHhmiACpcKlct,"Goodbye","The Midnite Sound Of The Milky Way","The Cobras",2011-04-01,130440,0,false,thegoteam2013,2016-10-05T14:53:33Z,"rockabilly,doo-wop","Ace Records",0.492,0.634,7,-7.283,0,0.0427,0.0438,0.0000348,0.0968,0.391,136.096,4
spotify:track:2bIHzRXGO9L0PoDfTIgS5V,"Linus And Lucy - Remastered","Peanuts Greatest Hits (Music From The TV Specials)","Vince Guaraldi Trio",2015-07-31,186133,0,false,thegoteam2013,2016-10-05T14:56:01Z,"christmas","Universal Music Group",0.463,0.523,1,-11.507,1,0.0381,0.79,0.457,0.164,0.731,79.877,4
spotify:local:Ananda+Shankar:Rough+Guide+to+Psychedelic+India:Dancing+Drums:322,"Dancing Drums","Rough Guide to Psychedelic India","Ananda Shankar",,322000,0,false,thegoteam2013,2016-10-05T14:58:25Z,"","undefined",,,,,,,,,,,,
