Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WwHWLz75eOKY62X62KUzO,"What D'You Say?","The Scene Between","The Go! Team",2015-03-29,253760,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.386,0.937,1,-3.42,1,0.0684,0.00409,0.256,0.32,0.429,138.954,4
spotify:track:2KIh8mB8XoEbbuJLU5v4FR,"The Scene Between","The Scene Between","The Go! Team",2015-03-29,228173,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.44,0.99,5,-1.409,1,0.0385,0.0132,0.0801,0.916,0.694,88.433,4
spotify:track:6nF4Qw4MCtLZTJKEu5NGuu,"Waking the Jetstream","The Scene Between","The Go! Team",2015-03-29,243026,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.476,0.959,8,-3.226,0,0.0376,0.00931,0.000155,0.352,0.651,150.01,4
spotify:track:6H0yFcFjNzdE4C1fDMQood,"Rolodex The Seasons","The Scene Between","The Go! Team",2015-03-29,58346,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.631,0.843,0,-3.906,1,0.042,0.732,0.815,0.756,0.805,95.886,3
spotify:track:3TCnODikLHBs76BigszNoc,"Blowtorch","The Scene Between","The Go! Team",2015-03-29,208213,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.301,0.939,1,-3.216,1,0.0772,0.0000184,0.301,0.434,0.667,149.953,4
spotify:track:5QwdQ3fK8mpED1E1usGMn4,"Did You Know?","The Scene Between","The Go! Team",2015-03-29,290493,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.513,0.899,0,-3.399,0,0.0342,0.00462,0.00776,0.449,0.769,123.045,4
spotify:track:0JediW8kPZGz8COuk2P1Ys,"Gaffa Tape Bikini","The Scene Between","The Go! Team",2015-03-29,43706,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.382,0.964,2,-6.913,1,0.324,0.0613,0.68,0.65,0.206,98.415,4
spotify:track:64uk8VwhpDfxAs2onn50Hc,"Catch Me On The Rebound","The Scene Between","The Go! Team",2015-03-29,172520,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.356,0.989,10,-2.42,1,0.072,0.0125,0.0000878,0.484,0.679,155.002,4
spotify:track:11luCbMMQYRoIRYASxyCjx,"Floating Felt Tip","The Scene Between","The Go! Team",2015-03-29,52746,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.308,0.848,5,-11.237,1,0.345,0.964,0.942,0.209,0.658,94.71,1
spotify:track:6uOke26sIOdg4fyaaBbqM1,"Her Last Wave","The Scene Between","The Go! Team",2015-03-29,232720,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.398,0.907,4,-3.681,0,0.0528,0.0000104,0.415,0.175,0.561,129.972,4
spotify:track:1HiU5ak0Q9KZglOvQ5Aw58,"The Art Of Getting By (Song For Heaven's Gate)","The Scene Between","The Go! Team",2015-03-29,226426,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.371,0.848,4,-3.331,1,0.039,0.000254,0.218,0.274,0.479,94.977,4
spotify:track:6XUepsixvbrmV6a6gcQdvi,"Reason Left To Destroy","The Scene Between","The Go! Team",2015-03-29,227680,0,false,5forty,2015-03-31T02:36:17Z,"plunderphonics,alternative dance","Memphis Industries",0.339,0.939,11,-4.053,1,0.0839,0.00615,0.00415,0.105,0.377,141.236,4
