Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0T2AYQdV9KRC8y8FC1jKq4,"Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon)","The Infamous","Mobb Deep;Nas;Raekwon",1995-04-25,288306,55,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap,boom bap","RCA Records Label",0.644,0.548,10,-4.936,0,0.349,0.00289,0,0.0453,0.262,169.884,4
spotify:track:0Y1wsOHYGbNNNGeYjQJ8BL,"Temperature's Rising (feat. Crystal Johnson)","The Infamous","Mobb Deep;Crystal Johnson",1995-04-25,300200,52,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap,new jack swing","RCA Records Label",0.804,0.823,1,-5.422,0,0.256,0.0812,0,0.0794,0.719,87.322,4
spotify:track:7a2dsbIZcf5SAz7Uv4G0NR,"Trife Life","The Infamous","Mobb Deep",1995-04-25,320160,46,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.539,0.75,8,-6.436,1,0.528,0.0337,0,0.257,0.567,178.267,4
spotify:track:33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II","The Infamous","Mobb Deep",1995-04-25,325506,78,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4
spotify:track:5DGnlowf1fjT7VWsoeRDlb,"The Start of Your Ending (41st Side)","The Infamous","Mobb Deep",1995-04-25,264333,52,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.663,0.565,10,-6.604,0,0.276,0.0399,0,0.0967,0.269,86.657,4
spotify:track:41sW9ZPxYJCUj0Bw0jfJTT,"(The Infamous Prelude)","The Infamous","Mobb Deep",1995-04-25,132626,40,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.623,0.207,10,-21.814,1,0.87,0.688,0,0.581,0.919,104.068,4
spotify:track:7N1Vjtzr1lmmCW9iasQ8YO,"Survival of the Fittest","The Infamous","Mobb Deep",1995-04-25,224533,73,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.813,0.703,11,-5.077,0,0.268,0.125,0.00000126,0.237,0.241,94.828,4
spotify:track:29Wtd44rwt8wFimq3SQEx5,"(Just Step Prelude)","The Infamous","Mobb Deep",1995-04-25,66333,40,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.671,0.167,9,-19.469,1,0.728,0.748,0,0.189,0.874,95.933,4
spotify:track:61VlApj8p2ZaP0WTunTrKT,"Give Up the Goods (Just Step) (feat. Big Noyd)","The Infamous","Mobb Deep;Big Noyd",1995-04-25,243133,64,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap,boom bap","RCA Records Label",0.782,0.597,1,-6.399,1,0.335,0.0568,0,0.582,0.528,94.631,4
spotify:track:7KQvT4YuzcmyogWg7Gq4Z5,"Up North Trip","The Infamous","Mobb Deep",1995-04-25,298000,49,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.845,0.641,6,-5.102,0,0.275,0.0391,0.0000024,0.326,0.774,87.86,4
spotify:track:0KwR2yIvknqi1V9BUFmZ2i,"Q.U. - Hectic","The Infamous","Mobb Deep",1995-04-25,286506,44,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.732,0.69,4,-6.44,0,0.263,0.112,0,0.37,0.525,91.766,4
spotify:track:5ZlKf4HlgrtzSGV1bowNla,"Right Back at You (feat. Ghostface Killah, Raekwon & Big Noyd)","The Infamous","Mobb Deep;Ghostface Killah;Raekwon;Big Noyd",1995-04-25,293066,47,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap,boom bap","RCA Records Label",0.621,0.612,0,-5.924,1,0.26,0.00274,0,0.067,0.144,86.637,4
spotify:track:63lCTHGh9eM46t7wTvyrny,"(The Grave Prelude)","The Infamous","Mobb Deep",1995-04-25,50160,36,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.51,0.733,10,-13.59,1,0.496,0.143,0,0.435,0.394,95.26,4
spotify:track:2uCMts8MLE3GktieyAIeXu,"Cradle to the Grave","The Infamous","Mobb Deep",1995-04-25,297000,47,true,5forty,2014-04-10T03:20:50Z,"old school hip hop,east coast hip hop,hardcore hip hop,hip hop,gangster rap","RCA Records Label",0.793,0.552,1,-8.051,1,0.313,0.00806,0,0.212,0.31,86.633,4
