Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5oWKno5u18A4tw6RbBIJTV,"Moves","Together","The New Pornographers",2010-05-03,232920,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.601,0.578,11,-8.395,1,0.0321,0.298,0.00000118,0.141,0.658,167.905,4
spotify:track:4a7W6GaMSkRhDJxjJGdjDb,"Crash Years","Together","The New Pornographers",2010-05-03,246573,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.68,0.805,5,-6.393,1,0.0319,0.283,0.000591,0.36,0.791,125.676,4
spotify:track:732uqsu5j3zGRDCTXfZJI2,"Challengers","Challengers","The New Pornographers",2007-08-21,211533,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.594,0.396,2,-9.136,1,0.0295,0.865,0.0698,0.115,0.319,83.325,4
spotify:track:6o4eY0k7iXvVJaebyMAoJA,"Adventures In Solitude","Challengers","The New Pornographers",2007-08-21,256373,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.693,0.339,7,-8.584,1,0.0343,0.742,0.000765,0.09,0.367,115.901,4
spotify:track:4tLvBf9xyXiIMuzKaOyD87,"Your Hands (Together)","Together","The New Pornographers",2010-05-03,212786,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.325,0.528,0,-8.211,1,0.0361,0.0163,0,0.343,0.464,150.712,4
spotify:track:3ExmkTE3eldMCyNq8WAUp6,"Sweet Talk, Sweet Talk","Together","The New Pornographers",2010-05-03,220226,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.669,0.623,7,-7.647,1,0.0268,0.133,0.00000699,0.0997,0.682,136.008,4
spotify:track:6iIyABrNyvKZcCZh4knCAN,"The Bleeding Heart Show","Twin Cinema","The New Pornographers",2005-08-23,267186,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador Records",0.356,0.786,5,-5.552,1,0.033,0.0277,0.00102,0.163,0.383,88.402,4
spotify:track:6dzjNmAU9K0UyJ7uaJpilO,"Up In The Dark","Together","The New Pornographers",2010-05-03,190093,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.683,0.811,4,-6.712,0,0.0322,0.238,0.00264,0.0247,0.933,129.938,3
spotify:track:4Y5aybjoMSwbPK0jX8GnYg,"Valkyrie In The Roller Disco","Together","The New Pornographers",2010-05-03,212493,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.608,0.321,4,-11.301,1,0.0331,0.507,0.00000305,0.0863,0.174,78.032,4
spotify:track:5qigZ0kQq65AmmBtvklXKS,"Silver Jenny Dollar","Together","The New Pornographers",2010-05-03,172693,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.56,0.825,2,-7.609,1,0.0372,0.0057,0.00109,0.335,0.907,121.54,4
spotify:track:6MIZSUD31QJCqFmXRjlQ6S,"All The Old Showstoppers","Challengers","The New Pornographers",2007-08-21,248333,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.54,0.741,11,-7.167,1,0.042,0.351,0.0000047,0.102,0.721,184.517,4
spotify:track:6aEXfvk1YTnCphuUBPf6H4,"Myriad Harbour","Challengers","The New Pornographers",2007-08-21,240160,0,false,,2011-09-25T20:23:26Z,"power pop,indie rock,indie","Matador",0.684,0.8,7,-6.094,1,0.0326,0.207,0.0000397,0.0675,0.842,107.516,4
