Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1yRidZ91kJvW7gDwmWnJjv,"You Know It's About","The Night's Gambit","Ka",2013-07-13,212586,18,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.585,0.798,5,-10.246,1,0.302,0.856,0.000375,0.353,0.514,88.181,4
spotify:track:5GOgP54cAu4OKpgRhpqJMH,"Our Father","The Night's Gambit","Ka",2013-07-13,192800,13,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.66,0.66,7,-8.337,1,0.418,0.54,0.0785,0.354,0.649,76.988,4
spotify:track:7zSIhSgfa9x8xJw69Xnnfu,"Jungle","The Night's Gambit","Ka",2013-07-13,226666,15,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.411,0.604,1,-11.044,0,0.0376,0.725,0.000541,0.226,0.701,84.026,4
spotify:track:1gwqBTAtfmeN8mlO9dmwuY,"Barring the Likeness","The Night's Gambit","Ka",2013-07-13,205760,12,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.361,0.41,5,-10.902,0,0.0454,0.175,0.0148,0.226,0.454,102.823,5
spotify:track:7aSUJhqEYA9Mha1WHTYyKI,"Nothing Is","The Night's Gambit","Ka",2013-07-13,161226,17,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.556,0.685,2,-8.44,1,0.141,0.381,0,0.339,0.458,79.981,4
spotify:track:4s3wtU46JFfm4ZSSVXjlvP,"Soap Box (feat. Roc Marci)","The Night's Gambit","Ka;Roc Marci",2013-07-13,217173,13,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.504,0.609,1,-8.755,1,0.462,0.496,0,0.347,0.781,78.931,4
spotify:track:12yCvxNJ0bVzu9UufF7PqW,"Peace Akhi","The Night's Gambit","Ka",2013-07-13,244173,13,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.512,0.7,10,-12.302,0,0.657,0.535,0.0000281,0.652,0.405,83.86,4
spotify:track:3oQiBmCxX7BCBJH7cnbkfP,"Knighthood","The Night's Gambit","Ka",2013-07-13,200453,12,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.531,0.54,1,-9.502,1,0.339,0.108,0,0.247,0.615,89.637,4
spotify:track:20GNprRcO9uRA5IruNcQcu,"30 Pieces of Silver","The Night's Gambit","Ka",2013-07-13,210053,14,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.173,0.602,4,-11.119,0,0.0448,0.00359,0,0.144,0.304,77.192,4
spotify:track:7wvFCtjpA8mw0hNh1rbeM0,"I'm Ready","The Night's Gambit","Ka",2013-07-13,231826,12,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.399,0.66,6,-10.245,0,0.293,0.207,0,0.153,0.851,104.471,3
spotify:track:04pqOX3udxso5smg0tT5NF,"Off the Record","The Night's Gambit","Ka",2013-07-13,240200,11,true,5forty,2013-08-27T22:15:07Z,"experimental hip hop,east coast hip hop,underground hip hop,alternative hip hop","Iron Works Records",0.438,0.519,7,-10.423,1,0.255,0.8,0.000258,0.351,0.713,88.786,4
