Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:501SIhW9HgQODkAmrhp5zJ,"Snow Tip Cap Mountain","Hello, Avalanche","The Octopus Project",2007-10-16,134613,15,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.466,0.159,8,-11.44,1,0.0418,0.969,0.905,0.117,0.268,169.686,3
spotify:track:2SJMm1mWgcy3pj2gMfwRiQ,"Truck","Hello, Avalanche","The Octopus Project",2007-10-16,129933,20,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.186,0.868,9,-7.649,1,0.0588,0.0211,0.208,0.0852,0.322,95,3
spotify:track:4HlWk0lVYpbC2ztSA7nveK,"Bees Bein' Strugglin'","Hello, Avalanche","The Octopus Project",2007-10-16,228426,9,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.503,0.951,7,-6.86,1,0.0683,0.0117,0.862,0.187,0.331,122.582,3
spotify:track:4xwoa2JvoOtAlSOdrQVw40,"An Evening with Rthrtha","Hello, Avalanche","The Octopus Project",2007-10-16,196586,7,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.422,0.744,0,-9.352,1,0.0458,0.0345,0.793,0.142,0.161,106.992,5
spotify:track:1gEZEUNmUjj0uJsE15qQxZ,"Black Blizzard/Red Umbrella","Hello, Avalanche","The Octopus Project",2007-10-16,186946,8,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.561,0.639,0,-11.164,1,0.0362,0.748,0.8,0.117,0.689,75.008,4
spotify:track:1vaZfGdZhsoR1IYXGktDCn,"Upmann","Hello, Avalanche","The Octopus Project",2007-10-16,239826,11,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.443,0.849,8,-9.25,1,0.0457,0.114,0.973,0.147,0.374,71.373,4
spotify:track:4qpq8AX6XEaQLJvgPsbztB,"Mmaj","Hello, Avalanche","The Octopus Project",2007-10-16,246053,8,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.84,0.613,10,-10.68,0,0.0713,0.145,0.029,0.0653,0.197,129.989,4
spotify:track:1QpUZ5yZzOr1HYBs7nt2DU,"I Saw the Bright Shinies","Hello, Avalanche","The Octopus Project",2007-10-16,238333,24,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.633,0.7,5,-12.278,0,0.0444,0.598,0.608,0.134,0.207,117.984,3
spotify:track:4lUufWNXgdgJsFl5FCpUjQ,"Ghost Moves","Hello, Avalanche","The Octopus Project",2007-10-16,211480,6,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.116,0.801,7,-8.775,1,0.0931,0.00122,0.94,0.107,0.19,158.181,4
spotify:track:1HvA9cxsU1Wdv9ROW6gBM3,"Vanishing Lessons","Hello, Avalanche","The Octopus Project",2007-10-16,197693,6,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.449,0.763,0,-9.039,1,0.0378,0.0248,0.881,0.631,0.39,109.693,4
spotify:track:2IlL8ph6EbsEi8HOoyEWQF,"Exploding Snowhorse","Hello, Avalanche","The Octopus Project",2007-10-16,227013,6,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.455,0.747,10,-9.164,1,0.0487,0.022,0.728,0.295,0.128,138.125,4
spotify:track:3sbqLKpvorPRqKzJJ19ZZK,"Loud Murmuring","Hello, Avalanche","The Octopus Project",2007-10-16,210386,7,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.621,0.671,5,-10.283,1,0.0364,0.0713,0.957,0.109,0.561,120.005,4
spotify:track:18bq32DoxgOLSoWW00L029,"Queen","Hello, Avalanche","The Octopus Project",2007-10-16,145586,7,false,,2012-03-21T15:45:15Z,"","Peek-A-Boo",0.62,0.481,7,-12.044,1,0.0307,0.912,0.00246,0.108,0.269,97.332,3
