Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WW04QopHbieoXw3y0JV0a,"Wallowa Lake Monster","Wallowa Lake Monster","Sufjan Stevens",2017-10-12,412174,0,false,,2017-11-17T20:28:40Z,"baroque pop","Asthmatic Kitty",0.332,0.295,7,-16.151,1,0.0351,0.974,0.834,0.0936,0.139,129.801,4
spotify:track:2ZRvcRcKdwQBjTAqj2XNJN,"Losing All Sense","Painted Ruins","Grizzly Bear",2017-08-18,305866,37,false,,2017-11-17T20:28:40Z,"indie,baroque pop,indie rock","Grizzly Bear Music/RCA Records",0.534,0.738,8,-6.237,0,0.0293,0.107,0.139,0.0871,0.616,96.053,4
spotify:track:0SzwCNDE23VnBzwBTS78UM,"Look at Your Hands","Look at Your Hands","Tune-Yards",2017-10-24,226052,0,false,,2017-11-17T20:28:40Z,"art pop","4AD",0.716,0.72,0,-5.087,1,0.0489,0.00925,0.0257,0.131,0.439,122.002,4
spotify:track:6u2ygh3FjNZMhlrbTYRu6e,"I'll Be Your Pilot","I'll Be Your Pilot","Belle and Sebastian",2017-10-10,255680,0,false,,2017-11-17T20:28:40Z,"baroque pop","Matador",0.668,0.565,10,-6.76,1,0.0276,0.411,0.0000145,0.348,0.625,110.037,4
spotify:track:4L7kaptgY6py2G3nRW9BVQ,"Masseduction","MASSEDUCTION","St. Vincent",2017-10-13,197426,43,false,,2017-11-17T20:28:40Z,"art pop","Loma Vista",0.696,0.598,2,-7.917,1,0.0922,0.00232,0.00115,0.119,0.438,114.989,4
spotify:track:5dqNCR3ANsOIMeQLpk54wU,"Don't Bother Calling","Aromanticism","Moses Sumney",2017-09-22,239702,0,false,,2017-11-17T20:28:40Z,"art pop,indie soul","Jagjaguwar",0.465,0.213,0,-10.183,1,0.0323,0.856,0.00557,0.0863,0.0803,123.518,4
spotify:track:2DoO0sn4SbUrz7Uay9ACTM,"Tailwhip","Tailwhip","Men I Trust",2017-08-18,225263,0,false,,2017-11-17T20:28:40Z,"bedroom pop,indie pop","Men i Trust",0.8,0.655,9,-8.877,0,0.0416,0.415,0.0074,0.0961,0.598,114.004,4
spotify:track:1c20BEm4fEQEDoE5v1ehbZ,"Look At What The Light Did Now","Gentlewoman, Ruby Man","Flo Morrissey",2017-01-13,201866,0,false,,2017-11-17T20:28:40Z,"","Glassnote Entertainment Group LLC",0.671,0.672,4,-6.624,1,0.0332,0.255,0.000534,0.367,0.787,79.945,4
spotify:track:7iexUAkRmN2cSKZEsGK8hN,"It's Okay To Cry","It's Okay To Cry","SOPHIE",2017-10-23,231581,0,false,,2017-11-17T20:28:40Z,"hyperpop,art pop,experimental","Future Classic",0.579,0.235,8,-18.145,1,0.0418,0.349,0.0397,0.351,0.216,127.148,4
spotify:track:7d0XkI4iJ32nxeFAHFXbLQ,"If You Need To, Keep Time on Me","Crack-Up","Fleet Foxes",2017-06-16,210506,61,false,,2017-11-17T20:28:40Z,"indie folk,folk,indie","Nonesuch",0.521,0.22,9,-10.202,1,0.0314,0.647,0.00814,0.179,0.135,104.03,4
spotify:track:3rfvu2jVkQVnMZe8wDDCoi,"Holding On - Recorded at Spotify Studios NYC, 6/07/2017","Spotify Singles","The War On Drugs",2017-08-09,315953,33,false,,2017-11-17T20:28:40Z,"indie rock","Atlantic Records",0.544,0.882,6,-8.73,1,0.0319,0.286,0.0176,0.13,0.86,77.24,4
spotify:track:4huZVslZTxUS5fkFtd0lDJ,"Back in Your Head","Tegan And Sara Present The Con X: Covers","Tegan and Sara;Ryan Adams",2017-10-20,191173,0,false,,2017-11-17T20:28:40Z,"alt country,americana,singer-songwriter","Warner Bros.",0.495,0.763,5,-3.943,1,0.0298,0.00277,0.378,0.0619,0.37,144.007,4
spotify:track:4mTCgxiJmjkTin3aTZ9dJu,"Dark Come Soon","Tegan And Sara Present The Con X: Covers","Trashique (GRIMES X HANA)",2017-10-20,180360,0,false,,2017-11-17T20:28:40Z,"","Warner Bros.",0.414,0.488,2,-7.946,1,0.0372,0.337,0.032,0.111,0.121,149.903,4
spotify:track:5vJ4TnXVHqiJpPALsjnlBa,"Haunted","Haunted","Sharaya Summers",2017-10-19,241236,8,false,,2017-11-17T20:28:40Z,"","Sharaya Summers",0.592,0.448,8,-7.63,1,0.025,0.482,0.00063,0.143,0.169,110.998,3
spotify:track:47wq2z7KMHDRnoSMdZODUA,"Something For Your M.I.N.D.","Something For Your M.I.N.D.","Superorganism",2017-09-05,165391,47,false,,2017-11-17T20:28:40Z,"art pop","Domino Recording Co",0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,0.664,140.096,4
spotify:track:7kMJiud47EgyL2jkq1FjDf,"The Con","Tegan And Sara Present The Con X: Covers","Shura",2017-10-20,265786,0,false,,2017-11-17T20:28:40Z,"","Warner Bros.",0.49,0.576,5,-10.449,1,0.0369,0.0906,0.799,0.27,0.135,110.037,4
spotify:track:3ysjRj0oVHNHgikfrbCMlL,"I Wish You Lonely","I Wish You Lonely","Morrissey",2017-10-25,178973,0,false,,2017-11-17T20:28:40Z,"britpop,madchester,new wave,jangle pop","BMG Rights Management (UK) Limited",0.533,0.856,6,-3.805,0,0.0297,0.000284,0.000191,0.109,0.504,97.988,4
