Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0O72ht5PZaThwB0Av7Ma62,"Precious Little","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,194093,2,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.235,0.688,7,-6.853,1,0.057,0.00611,0.923,0.225,0.262,111.994,4
spotify:track:7I8BdNVjbLSfx1Ea0ZC0je,"Deep Hole Ends","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,242533,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.0992,0.35,9,-9.826,1,0.036,0.000151,0.755,0.129,0.237,85.403,4
spotify:track:66NvPBsBw4IuRvS6n7FPai,"Never Hurt You","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,298506,1,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.0787,0.593,7,-8.119,1,0.0485,0.00174,0.761,0.188,0.137,76.54,4
spotify:track:7mJ7F7wcOZjnPFDMxzZ250,"I Sense","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,185280,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.259,0.742,2,-6.034,1,0.0488,0.0805,0.593,0.0806,0.459,104.031,4
spotify:track:0qsgCmGk2DMrCluzfIPNLy,"Everso","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,192666,2,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.36,0.917,0,-5.967,1,0.0499,0.000117,0.817,0.0999,0.322,113.287,4
spotify:track:4NO6oWjSj9r2BEkvBMDZnA,"Never Learn Not to Love","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,237040,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.18,0.69,9,-7.253,1,0.0367,0.0126,0.00000822,0.194,0.193,144.236,4
spotify:track:2iin5ClBZhjj41sDx4b4MU,"Wish of You","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,81200,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.236,0.532,7,-9.055,1,0.0343,0.000646,0.928,0.261,0.657,89.006,4
spotify:track:1N5dvncNaDTd2KNXQVGb11,"Celeste","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,158893,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.36,0.901,7,-5.318,1,0.0395,0.00136,0.771,0.14,0.38,108.43,4
spotify:track:3pJRrUce7ylNOjyZXD8dci,"All a Dreams","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,218573,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.226,0.683,11,-6.538,0,0.0303,0.00384,0.192,0.138,0.307,85.346,4
spotify:track:7Jt31jF7tkMBSONkPACY0R,"Celestial","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,555253,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.467,0.73,7,-8.435,1,0.0427,0.000681,0.361,0.319,0.173,109.44,4
spotify:track:4oqSScEB49mq6ThSvX0dBQ,"Flying","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,173066,1,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.139,0.883,2,-5.888,1,0.0625,0.00213,0.0759,0.247,0.458,187.367,4
spotify:track:0Qg3XmT4SnxbzckwZ9iUdY,"Soul Full of Tears","Splashdown: The Complete Creation Recordings 1990-1992","The Telescopes",2015-11-27,153826,0,false,5forty,2015-12-12T10:48:46Z,"shoegaze,dream pop,space rock,noise rock,neo-psychedelic","Cherry Red Records",0.384,0.799,9,-8.703,1,0.0606,0.556,0.479,0.114,0.504,119.662,4
