Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6cK7yu6oAKr4fqG5HoLYgd,"Sit Down By The Fire","Sun Gangs","The Veils",2009-04-06,231026,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.269,0.787,4,-5.851,1,0.0499,0.184,0,0.113,0.414,135.386,5
spotify:track:5L9gsm1srbBrjX9XmmFx25,"Sun Gangs","Sun Gangs","The Veils",2009-04-06,223973,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.372,0.182,0,-15.896,1,0.0404,0.698,0.23,0.0994,0.0583,112.081,4
spotify:track:4f7EAYNOrbC1UY7oZITf7T,"The Letter","Sun Gangs","The Veils",2009-04-06,211866,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.523,0.846,10,-5.245,0,0.0462,0.000382,0.000101,0.0698,0.561,129.028,4
spotify:track:1VqXW7yByLulJg8jUN6VOG,"Killed By The Boom","Sun Gangs","The Veils",2009-04-06,169333,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.522,0.937,0,-4.145,1,0.0542,0.0002,0.000381,0.167,0.359,151.184,4
spotify:track:6HIzHu3MZlhqo3TwEYbRTX,"It Hits Deep","Sun Gangs","The Veils",2009-04-06,327573,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.399,0.248,7,-12.088,1,0.0331,0.36,0.0602,0.0911,0.0752,136.768,4
spotify:track:4Y4K86Xw6h655RVb9EXCA7,"Three Sisters","Sun Gangs","The Veils",2009-04-06,152626,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.276,0.921,0,-5.373,1,0.0556,0.023,0.00000162,0.115,0.155,164.42,5
spotify:track:4NUWUr1dMaw18uBGdLBqPH,"The House She Lived In","Sun Gangs","The Veils",2009-04-06,228933,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.682,0.394,5,-10.187,1,0.029,0.441,0.0146,0.0695,0.353,105.976,3
spotify:track:2araNtLXVU3tMBEq4WlnWt,"Scarecrow","Sun Gangs","The Veils",2009-04-06,211573,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.4,0.102,0,-14.708,1,0.0318,0.806,0.000523,0.109,0.0702,131.884,4
spotify:track:0rZgJ6XDKlrA9XFCgI01GY,"Larkspur","Sun Gangs","The Veils",2009-04-06,513026,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.26,0.441,9,-8.632,0,0.0372,0.0728,0.0728,0.193,0.0751,140.981,3
spotify:track:6oeO0X2wyOvadnwnHqbOBg,"Begin Again","Sun Gangs","The Veils",2009-04-06,195373,0,false,,2012-05-19T04:36:26Z,"","Rough Trade",0.595,0.195,0,-17.222,1,0.0274,0.97,0.198,0.0857,0.147,101.514,4
