Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6DsElDDtBpwzt0Hv3FJSZW,"Dalliance","Seamonsters","The Wedding Present",1991,265200,28,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.372,0.565,4,-12.076,1,0.0348,0.00245,0.822,0.119,0.386,115.71,4
spotify:track:3RpZ9cioBH8QcOD6oGKMFy,"Dare","Seamonsters","The Wedding Present",1991,225400,21,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.211,0.814,2,-9.06,1,0.0444,0.0000176,0.758,0.363,0.616,169.028,4
spotify:track:3Evph1qRLVqJfwNYDYnP9C,"Suck","Seamonsters","The Wedding Present",1991,238506,20,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.43,0.785,7,-9.838,1,0.0299,0.000153,0.582,0.23,0.55,121.447,4
spotify:track:5suH81UJoShd1fLZ9mVzHN,"Blonde","Seamonsters","The Wedding Present",1991,307600,13,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.331,0.632,5,-12.377,1,0.0569,0.000901,0.724,0.0869,0.752,165.747,4
spotify:track:4IKAZG7sFnh1E8kEyiRVcC,"Rotterdam","Seamonsters","The Wedding Present",1991,196000,13,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.641,0.681,7,-11.728,1,0.0346,0.129,0.849,0.251,0.362,112.161,4
spotify:track:2PKita0YIEaGvPN6Q7bVf6,"Lovenest","Seamonsters","The Wedding Present",1991,311226,11,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.26,0.758,9,-13.138,0,0.0879,0.000214,0.641,0.102,0.0445,165.825,4
spotify:track:2VzoA2iz7XBTKrDlzAGg9B,"Corduroy","Seamonsters","The Wedding Present",1991,209240,20,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.46,0.783,9,-10.32,1,0.032,0.000231,0.354,0.0823,0.404,89.374,4
spotify:track:3aYaM8fWqVeNySuKV8Dk8t,"Carolyn","Seamonsters","The Wedding Present",1991,219360,12,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.359,0.737,11,-11.586,1,0.0307,0.000129,0.848,0.0593,0.902,99.676,4
spotify:track:6Depg5NAhYV3rWniBQo0NR,"Heather","Seamonsters","The Wedding Present",1991,212333,13,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.282,0.859,7,-10.633,1,0.0436,0.000219,0.797,0.0893,0.328,118.817,4
spotify:track:6z1mYX9QARyWTkrQ1xemeP,"Octopussy","Seamonsters","The Wedding Present",1991,381840,14,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.304,0.705,7,-10.911,1,0.0278,0.0002,0.84,0.118,0.303,158.962,4
spotify:track:0hu5kXeYgEsZ2ZJ6grstMz,"Make Me Smile (Come up and See Me)","Seamonsters","The Wedding Present",1991,224093,19,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.206,0.909,0,-8.227,1,0.0853,0.00326,0.811,0.176,0.608,173.377,4
spotify:track:0LKgWxdfDsjQkeiQT99U4g,"Crawl","Seamonsters","The Wedding Present",1991,164133,15,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.212,0.722,7,-10.99,1,0.0534,0.000402,0.207,0.104,0.596,173.168,4
spotify:track:3bjvAFoSQnMqehBBInYX4w,"Corduroy - Single Version","Seamonsters","The Wedding Present",1991,203173,9,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.344,0.819,9,-10.234,1,0.0445,0.00175,0.694,0.266,0.608,87.593,4
spotify:track:6DeQw28SWKlyYxvSo52ZEI,"She's My Best Friend","Seamonsters","The Wedding Present",1991,175600,8,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.635,0.3,0,-19.907,1,0.0359,0.877,0.942,0.107,0.811,126.047,4
spotify:track:21DSOp75HZvypggb0tTW4f,"Niagra","Seamonsters","The Wedding Present",1991,246333,8,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.26,0.926,7,-8.683,1,0.0506,0.000331,0.366,0.0638,0.466,91.027,4
spotify:track:4ETEJHSCMBLGjWt8fySIXK,"Mothers","Seamonsters","The Wedding Present",1991,176400,7,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.522,0.771,2,-8.339,1,0.0319,0.00278,0.769,0.0831,0.716,119.194,1
spotify:track:1rs1Y9AP9Fw17u9QlUGbbz,"Dan Dare","Seamonsters","The Wedding Present",1991,100866,8,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.216,0.938,2,-9.407,1,0.0402,0.000179,0.729,0.301,0.856,170.477,4
spotify:track:6VE6EueWERHC81Udr93A5o,"Fleshworld","Seamonsters","The Wedding Present",1991,266093,7,false,,2012-03-21T07:17:58Z,"jangle pop,madchester","RCA Camden",0.232,0.88,4,-9.268,0,0.0412,0.000115,0.884,0.107,0.637,164.398,4
