Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1HUSxrTcma66I6H2enCcEV,"Quick Eternity - Four Tet Remix","Quick Eternity (Four Tet Remix)","Daniel Avery;Four Tet",2018-07-06,561769,0,false,5forty,2018-07-09T07:51:55Z,"idm,acid house,electronica","Phantasy Sound / [PIAS]",0.71,0.895,11,-10.044,1,0.0647,0.141,0.0505,0.363,0.747,126.003,4
spotify:track:2MYf8kyfst3teuMqRxOAHx,"Pussycat","Pussycat","Pip Blom",2018-05-11,182107,0,false,5forty,2018-07-17T17:04:12Z,"","Nice Swan Records",0.294,0.802,9,-3.056,0,0.0336,0.0123,0.000165,0.128,0.355,109.953,4
spotify:track:4rX47mBU230P9Egkd1ICnN,"Gold Rush","Gold Rush","Death Cab for Cutie",2018-06-13,240253,32,false,5forty,2018-07-29T09:55:30Z,"","Atlantic Records",0.515,0.969,5,-4.431,1,0.0506,0.266,0.000141,0.293,0.743,80.425,4
spotify:track:14LSfvkF3PS0k81FAe6PFk,"Wounded Egos","World’s Strongest Man","Gaz Coombes",2018-05-04,248133,27,false,5forty,2018-07-29T09:26:08Z,"","Gaz Coombes Ltd",0.461,0.763,8,-6.63,0,0.0443,0.0999,0.0000107,0.199,0.423,127.054,4
spotify:track:4xpx3cBdkzHR78IwDPjIGP,"Here It Comes (The Road) Let's Go","Here It Comes (The Road) Let's Go","Spiritualized",2018-07-30,281705,0,false,5forty,2018-07-30T10:10:38Z,"neo-psychedelic,space rock,shoegaze,dream pop","Bella Union",0.454,0.511,2,-7.887,1,0.027,0.68,0.354,0.398,0.567,77.022,4
spotify:track:0w67udHEIEthZCZaBLOMNV,"A Perfect Miracle","I'm Your Man / A Perfect Miracle","Spiritualized",2018-06-13,286009,0,false,5forty,2018-07-30T10:14:08Z,"neo-psychedelic,space rock,shoegaze,dream pop","Bella Union",0.519,0.331,11,-10.296,1,0.0285,0.816,0.015,0.119,0.39,110.948,3
spotify:track:7FENfCageZo0STA2IqJd2N,"Jack In Titanic","Jack In Titanic","BODEGA",2018-05-03,184825,0,false,5forty,2018-07-30T10:24:29Z,"post-punk","What's Your Rupture",0.687,0.584,10,-5.964,0,0.0288,0.026,0.0108,0.0879,0.38,108.024,4
spotify:track:0b9oOr2ZgvyQu88wzixux9,"This Is America","This Is America","Childish Gambino",2018-05-06,225773,67,true,5forty,2018-07-31T11:35:09Z,"","Wolf+Rothstein/RCA Records",0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,4
spotify:track:7wywcX1oHKTVQV1dAxeaXq,"Jesse","Vessel","Frankie Cosmos",2018-03-30,168928,0,false,5forty,2018-08-03T13:41:23Z,"bedroom pop","Sub Pop Records",0.539,0.63,9,-7.609,1,0.0337,0.345,0.0000615,0.119,0.361,123.887,4
spotify:track:0sPKC0bVN2nQzPGZ4csHh9,"Sunson","All Melody","Nils Frahm",2018-01-26,550311,0,false,5forty,2018-08-20T14:59:39Z,"neoclassical,contemporary classical,minimalism,ambient","Erased Tapes",0.647,0.244,3,-19.964,0,0.0465,0.921,0.901,0.0981,0.159,100.001,3
spotify:track:2qzwMkURKzjH9hLOhhuRxp,"Syncline","Ore","Andrea Belfi",2017-05-26,460981,0,false,5forty,2018-08-20T15:18:25Z,"electroacoustic,experimental,drone,experimental jazz,avant-garde","FLOAT",0.496,0.142,11,-21.472,0,0.0356,0.846,0.95,0.211,0.0768,173.478,4
spotify:track:621ALAYuQFMnpBBdKXXAnS,"50 Euro to Break Boost","Compro","Skee Mask",2018-05-15,307314,0,false,5forty,2018-08-28T09:34:32Z,"idm,breakbeat","Ilian Tape",0.745,0.808,5,-9.566,0,0.051,0.000291,0.856,0.0791,0.554,132.005,4
spotify:track:2t9qPBVSIyfXGJjzisb9BA,"Bound Universe","Circular Forms","Abul Mogard",2015-04-09,404586,0,false,5forty,2018-09-03T08:39:18Z,"drone,ambient,dark ambient,experimental,musique concrète","Ecstatic Recordings",0.195,0.122,1,-25.672,1,0.0425,0.857,0.938,0.108,0.0236,104.159,3
spotify:track:4ui1q3A3OdDw7jyaxdj5ne,"Ice Cream","IT'S BRIIIIIIXMAAAAAAS!","Jerskin Fendrix;black midi",2018-12-07,396037,0,false,5forty,2019-01-14T19:45:06Z,"score,noise rock,post-punk,art rock,math rock","Brixton Hillbilly",0.167,0.482,4,-10.725,1,0.0421,0.468,0.586,0.0777,0.0655,60.338,4
spotify:track:09WlDRzx7jDsTOrR15qxQs,"Bruises","Brigitte - Breakfast In Bed","Chairlift",2011-02-04,241893,0,false,5forty,2019-03-15T19:16:58Z,"","Ariola",0.574,0.534,0,-7.488,1,0.0528,0.0339,0.0135,0.0886,0.875,185.222,4
spotify:track:1DBrf44Nqe3sgTZ5gHL8jM,"False Jesii Part 2","King Of Jeans","Pissed Jeans",2009-09-18,153680,0,false,5forty,2019-03-15T19:18:04Z,"noise rock,hardcore punk","Sub Pop",0.196,0.969,0,-4.049,1,0.16,0.00283,0.0546,0.368,0.16,148.462,4
