Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zuKjpp4t7BS8JPKi6mkQr,"Angels","Coexist","The xx",2012-09-10,171653,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.424,0.157,9,-18.141,1,0.0428,0.95,0.0593,0.101,0.342,91.537,4
spotify:track:1zQX8Tf3fRYw8Djxh5kUKq,"Chained","Coexist","The xx",2012-09-10,167546,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.732,0.468,9,-13.662,0,0.0409,0.482,0.809,0.371,0.187,118.994,4
spotify:track:2WWkBERKDC4MZN8nhiAdQQ,"Fiction","Coexist","The xx",2012-09-10,176480,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.786,0.362,7,-13.785,0,0.0373,0.695,0.408,0.0897,0.642,115.022,4
spotify:track:0PgejWYSlSaTwzxwCI15pW,"Try","Coexist","The xx",2012-09-10,195426,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.558,0.181,2,-18.213,1,0.0413,0.638,0.154,0.0887,0.116,96.004,4
spotify:track:2B4p8xjpBFP8ZinAtewfrB,"Reunion","Coexist","The xx",2012-09-10,237173,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.692,0.367,6,-16.224,0,0.0662,0.839,0.685,0.113,0.0514,112.203,4
spotify:track:7DImv0qWPEiAYUPJ0yKuDd,"Sunset","Coexist","The xx",2012-09-10,218586,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.835,0.182,2,-15.876,1,0.0762,0.557,0.456,0.113,0.369,119.98,4
spotify:track:6hUbZBdGn909BiTsv70HP6,"Missing","Coexist","The xx",2012-09-10,213506,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.202,0.294,7,-13.687,1,0.0451,0.63,0.0415,0.0992,0.0398,79.308,4
spotify:track:12DE4ela8kEMRNIEYEhKy2,"Tides","Coexist","The xx",2012-09-10,181000,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.714,0.212,9,-13.178,0,0.0444,0.727,0.145,0.0644,0.356,99.033,4
spotify:track:39er5vmZ8JXatAKaLaplkl,"Unfold","Coexist","The xx",2012-09-10,182920,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.259,0.25,2,-20.716,1,0.0518,0.829,0.242,0.112,0.0789,199.768,3
spotify:track:3DKqZWrdtLBNKT9OOcdTK2,"Swept Away","Coexist","The xx",2012-09-10,299253,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.773,0.366,4,-15.95,0,0.056,0.669,0.496,0.0727,0.0608,116.053,4
spotify:track:4n9wwuZpBp96K0zXcDsnCg,"Our Song","Coexist","The xx",2012-09-10,193813,0,false,5forty,2012-09-11T21:35:33Z,"","Young Turks",0.274,0.187,11,-20.879,0,0.0549,0.514,0.388,0.0852,0.039,95.629,4
