Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3q2yinF3yETy8O2OIwWJhe,"BackIIBurn","Crownsdown","Themselves",2009-10-20,245840,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.642,0.947,1,-6.04,1,0.174,0.00418,0.000781,0.914,0.65,73.497,4
spotify:track:7enmlVDnOMmf0BsmHKZ9hm,"Oversleeping","Crownsdown","Themselves",2009-10-20,195240,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.629,0.938,6,-6.808,1,0.198,0.0293,0,0.369,0.693,116.708,4
spotify:track:7y7o0fhetC4WQckbsP5c3J,"TheMark","Crownsdown","Themselves",2009-10-20,293586,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.714,0.924,11,-7.11,0,0.159,0.028,0.00000123,0.107,0.557,128.436,4
spotify:track:6VuWoVW3pN2xPGlP59qUUg,"Gangster of Disbelief","Crownsdown","Themselves",2009-10-20,229853,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.733,0.979,10,-5.135,0,0.126,0.0531,0,0.0572,0.463,109.968,4
spotify:track:1GmkkAwju0uThsvq2pmqjj,"Daxstrong","Crownsdown","Themselves",2009-10-20,217413,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.419,0.913,0,-5.733,1,0.256,0.0305,0,0.391,0.466,192.007,3
spotify:track:7bcrFZ8UzBMfWXOXkce61a,"You Ain't It","Crownsdown","Themselves",2009-10-20,227920,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.564,0.95,4,-6.407,0,0.28,0.132,0.0000114,0.373,0.348,74.989,4
spotify:track:3AVrT3IVtM0qv5tUO0JctL,"Roman Is As Roman Does","Crownsdown","Themselves",2009-10-20,239600,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.55,0.925,7,-7.102,1,0.185,0.00118,0,0.407,0.232,100.388,4
spotify:track:3kGQQzMpxEeyL8SdhH6uHJ,"Skinning the Drum","Crownsdown","Themselves",2009-10-20,214480,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.623,0.963,1,-5.947,1,0.116,0.000448,0,0.151,0.479,96.521,4
spotify:track:4fSZd3Wk7AmYaygCXKaORt,"DeadcatclearII","Crownsdown","Themselves",2009-10-20,330253,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.62,0.834,11,-5.989,1,0.0412,0.00115,0,0.199,0.62,118.037,4
spotify:track:1X42OeYLyFKCkvaUKSXAnx,"Gold Teeth Will Roll","Crownsdown","Themselves",2009-10-20,239826,0,false,5forty,2013-04-14T21:45:51Z,"experimental hip hop,underground hip hop","anticon",0.573,0.884,1,-6.82,0,0.436,0.0937,0,0.085,0.335,79.994,4
