Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:36PQh1G6h7n9VWB799fXpI,"Darling","In Mind","Real Estate",2017-03-17,260386,49,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.596,0.894,0,-5.407,1,0.0265,0.00878,0.00659,0.104,0.572,132.994,5
spotify:track:3tPh7vkXySn2lUEH1NEPyO,"Beach Comber","Real Estate","Real Estate",2009-11-17,268466,46,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Real Estate The Band",0.392,0.835,0,-6.553,1,0.0596,0.0832,0.00982,0.0769,0.12,144.641,4
spotify:track:0ZwlxoHAnvkCRjsOrHAleU,"Talking Backwards","Atlas","Real Estate",2014-03-03,187733,45,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.408,0.875,5,-6.036,1,0.0301,0.0299,0.823,0.169,0.56,150.782,4
spotify:track:1K9YlxsaqEDqTaGHOdPVRJ,"It's Real","Days","Real Estate",2011-10-17,168493,47,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.419,0.856,2,-5.443,1,0.0298,0.00928,0.0964,0.124,0.721,152.009,4
spotify:track:4fqNoM2d2URotMit7GlmlI,"Flowers","Daniel","Real Estate",2024-02-23,168173,36,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.669,0.799,2,-8.877,1,0.0272,0.103,0.643,0.108,0.879,119.937,4
spotify:track:50wiHcvfcpQSo5P5rbyozc,"Saturday","In Mind","Real Estate",2017-03-17,283026,39,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.525,0.717,0,-6.06,1,0.0339,0.0716,0.575,0.121,0.211,130.898,4
spotify:track:4IAE7M8Qw88f59W0uqNujJ,"Had To Hear","Atlas","Real Estate",2014-03-03,290826,44,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.556,0.765,7,-7.474,1,0.0319,0.135,0.732,0.149,0.499,125.72,4
spotify:track:1H4mV1lgrNBUjZgRjjP1nu,"Green Aisles","Days","Real Estate",2011-10-17,301026,36,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.484,0.782,9,-5.407,0,0.0273,0.0581,0.153,0.284,0.565,104.104,4
spotify:track:2rBQHG1rlfZNzJhbr7RmDT,"Water Underground","Daniel","Real Estate",2024-02-23,206546,37,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.703,0.664,9,-7.245,1,0.0314,0.0232,0.0542,0.133,0.919,111.907,4
spotify:track:0U74H4YpPElumMPmnBzrnR,"Snow Days","Real Estate","Real Estate",2009-11-17,262773,33,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Real Estate The Band",0.35,0.686,2,-7.595,1,0.0278,0.616,0.827,0.109,0.371,130.353,4
spotify:track:7IIV0Mt1RCpPXPFHxVH67i,"Primitive","Atlas","Real Estate",2014-03-03,256973,40,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.511,0.717,9,-8.868,1,0.0282,0.204,0.615,0.0664,0.562,132.729,4
spotify:track:2sJP8a1vd7Yyh3o0IHYpll,"Easy","Days","Real Estate",2011-10-17,233440,35,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.43,0.892,0,-4.021,1,0.0322,0.0128,0.417,0.142,0.5,140.042,4
spotify:track:5LNpE5qKey6xgQFGcfs6Gf,"Somebody New","Daniel","Real Estate",2024-02-23,222813,32,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.564,0.727,0,-8.708,1,0.0282,0.00468,0.134,0.129,0.41,118.99,4
spotify:track:0fGseaY3EgFuCRYR8okcNi,"Paper Cup","The Main Thing","Real Estate;Sylvan Esso",2020-02-28,270733,34,true,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.546,0.756,9,-6.272,1,0.029,0.557,0.0494,0.336,0.766,122.035,4
spotify:track:73pLTNPzh8FTZi5hODWXT3,"Horizon","Atlas","Real Estate",2014-03-03,191160,37,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.477,0.72,7,-7.024,1,0.0257,0.114,0.127,0.145,0.793,160.824,4
spotify:track:7rDjPg4tmTWByDSWyLfBE9,"Municipality","Days","Real Estate",2011-10-17,216586,32,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.488,0.706,9,-6.358,1,0.0252,0.268,0.869,0.173,0.343,98.045,4
spotify:track:5hwyjM2KYJdk7M8Gcz8oYE,"Fake Blues","Real Estate","Real Estate",2009-11-17,220693,29,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Real Estate The Band",0.582,0.665,4,-4.517,1,0.0297,0.695,0.73,0.145,0.347,74.416,4
spotify:track:3iDe3JBNKYKVo0lImjGJP1,"Haunted World","Daniel","Real Estate",2024-02-23,182440,27,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.706,0.631,0,-8.907,1,0.0254,0.212,0.000216,0.125,0.712,127.996,4
spotify:track:3msjDgdfwJ0Qcv2tXoisNN,"Crime","Atlas","Real Estate",2014-03-03,195960,38,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.585,0.868,2,-6.345,1,0.0279,0.122,0.446,0.356,0.739,120.697,3
spotify:track:21XV3i7ntOFqI9RWTjyuMo,"Out Of Tune","Days","Real Estate",2011-10-17,291946,33,false,,1970-01-01T00:00:00Z,"jangle pop,dream pop,surf rock","Domino Recording Co",0.407,0.765,9,-6.104,1,0.0313,0.385,0.00271,0.0693,0.689,121.087,4
