Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dG7GoHWWqJQc9wiYuPt2A,"Robot Riot","Pulse Of The Early Brain [Switched On Volume 5]","Stereolab",2022-09-02,176952,27,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic UHF Disks / Warp Records",0.556,0.947,6,-5.825,1,0.0359,0.00000194,0.78,0.059,0.764,138.991,4
spotify:track:4Zb88sF1Qj778KV5lstVxT,"French Disko","Refried Ectoplasm [Switched On Volume 2]","Stereolab",1995-09-28,215825,50,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic",0.331,0.75,8,-6.12,1,0.0405,0.0000109,0.49,0.0856,0.27,74.275,4
spotify:track:7dmHNa6KpsyakWQsMOjHUx,"The Flower Called Nowhere","Dots And Loops (Expanded Edition)","Stereolab",1997,315065,52,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.536,0.568,6,-11.547,0,0.0258,0.593,0.000185,0.301,0.535,105.762,3
spotify:track:5Aon86qtmerQqXTYyEx9Vh,"Come And Play In The Milky Night (Demo)","Cobra And Phases Group Play Voltage In The Milky Night (Expanded Edition)","Stereolab",1999,121933,48,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.431,0.292,6,-16.908,0,0.0344,0.964,0.941,0.109,0.435,94.924,4
spotify:track:4Qnub0myMdKdCdymx5cS3d,"Aerial Troubles","Instant Holograms On Metal Film","Stereolab",2025-05-23,200516,43,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic UHF Disks / Warp Records",0.668,0.755,10,-7.878,0,0.0297,0.28,0.0117,0.0818,0.642,134.828,4
spotify:track:4CxKeyGN8tyBf04mYx4GgC,"Pack Yr Romantic Mind","Transient Random-Noise Bursts With Announcements","Stereolab",1993-08-24,306133,45,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic",0.525,0.359,7,-15.682,1,0.0274,0.026,0.769,0.0997,0.761,133.71,4
spotify:track:0rjmjw66MN5qDr8jAEOi5k,"Miss Modular","Dots And Loops (Expanded Edition)","Stereolab",1997,269478,47,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.76,0.525,6,-10.578,0,0.0419,0.071,0.689,0.113,0.805,112.836,4
spotify:track:0atchYBOarx9klLwbqKeaR,"Cybele's Reverie","Emperor Tomato Ketchup (Expanded Edition)","Stereolab",1996,282739,42,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.322,0.772,2,-7.471,0,0.0289,0.0226,0.086,0.306,0.667,125.694,4
spotify:track:5uC8IfgKCq9RJucC3hNkOM,"Transmuted Matter","Instant Holograms On Metal Film","Stereolab",2025-05-23,256156,39,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic UHF Disks / Warp Records",0.569,0.606,1,-8.406,0,0.0294,0.606,0.0232,0.107,0.431,141.945,4
spotify:track:6KylLW4dFgYKXURRhuPdvU,"Ping Pong","Mars Audiac Quintet","Stereolab",1994-08-09,182346,41,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic",0.322,0.585,11,-11.248,1,0.0289,0.0571,0.00000422,0.0885,0.779,165.442,4
spotify:track:6Wi3gizHOtRi7DSsX3XWZA,"Brakhage","Dots And Loops (Expanded Edition)","Stereolab",1997,330616,45,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.712,0.621,6,-10.711,0,0.0576,0.304,0.424,0.0689,0.669,138.982,4
spotify:track:1VYoRIkm4yC4OwGcfq9Tjm,"Metronomic Underground","Emperor Tomato Ketchup (Expanded Edition)","Stereolab",1996,474542,40,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic / Warp Records",0.388,0.753,0,-8.369,0,0.0414,0.00142,0.565,0.0991,0.965,176.987,4
spotify:track:0EfWKVCCzjKZYO66Duo5ak,"Vermona F Transistor","Instant Holograms On Metal Film","Stereolab",2025-05-23,277412,35,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic UHF Disks / Warp Records",0.648,0.686,0,-7.628,0,0.0303,0.14,0.012,0.235,0.423,137.872,4
spotify:track:7I8lsynj5wHO1p2DxccDrX,"Wow And Flutter","Mars Audiac Quintet","Stereolab",1994-08-09,188933,36,false,,1970-01-01T00:00:00Z,"art pop,krautrock,post-rock,neo-psychedelic","Duophonic",0.486,0.598,6,-12.146,0,0.0293,0.00000483,0.811,0.13,0.529,131.572,4
