Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4llDF3RuBQYj2nkjTCJY4w,"Quiet","Young Mountain","This Will Destroy You",2006-06-06,293173,43,false,5forty,2013-05-14T04:30:21Z,"post-rock,math rock,drone metal","Dark Operative",0.482,0.463,1,-7.927,1,0.0573,0.282,0.848,0.36,0.0427,115.011,4
spotify:track:1EKk6Xvei9N9scaQcrax2S,"The World Is Our ___","Young Mountain","This Will Destroy You",2006-06-06,432306,38,false,5forty,2013-05-14T04:30:21Z,"post-rock,math rock,drone metal","Dark Operative",0.498,0.645,1,-6.31,1,0.0327,0.000706,0.878,0.0814,0.0393,116.036,4
spotify:track:5LaatZmLycE71jtbQNgpM3,"I Believe in Your Victory","Young Mountain","This Will Destroy You",2006-06-06,392373,32,false,5forty,2013-05-14T04:30:21Z,"post-rock,math rock,drone metal","Dark Operative",0.413,0.556,3,-6.779,1,0.0308,0.106,0.852,0.107,0.0622,127.15,4
spotify:track:37HI0imp0t6a0MBS00lPkS,"The Mighty Rio Grande","S/T","This Will Destroy You",2007-01-08,676986,50,false,5forty,2013-05-14T04:30:21Z,"post-rock,math rock,drone metal","Dark Operative",0.263,0.171,1,-11.748,1,0.0338,0.241,0.87,0.0766,0.038,111.995,4
spotify:track:3cIG78oBauowzEbkBwWADN,"They Move on Tracks of Never-Ending Light","S/T","This Will Destroy You",2007-01-08,416333,44,false,5forty,2013-05-14T04:30:21Z,"post-rock,math rock,drone metal","Dark Operative",0.645,0.188,6,-19.37,1,0.0377,0.546,0.836,0.0952,0.0748,119.999,4
spotify:track:5gKOsci56ItnPBZO62I4i3,"Grandfather Clock","Young Mountain","This Will Destroy You",2006-06-06,157560,30,false,5forty,2013-05-14T04:30:24Z,"post-rock,math rock,drone metal","Dark Operative",0.556,0.559,10,-13.961,0,0.0348,0.684,0.85,0.152,0.142,96.007,4
spotify:track:5Lqq8c2GbJ4L2HPhTs0Yid,"There Are Some Remedies Worse Than the Disease","Young Mountain","This Will Destroy You",2006-06-06,378386,31,false,5forty,2013-05-14T04:30:24Z,"post-rock,math rock,drone metal","Dark Operative",0.255,0.576,3,-7.98,0,0.0323,0.00303,0.648,0.144,0.1,132.025,4
spotify:track:0EIO8ORzhZoYRao0TIjTbv,"Happiness: We're All in It Together","Young Mountain","This Will Destroy You",2006-06-06,514026,29,false,5forty,2013-05-14T04:30:24Z,"post-rock,math rock,drone metal","Dark Operative",0.404,0.663,8,-7.471,1,0.0317,0.00176,0.927,0.0733,0.0811,133.989,4
spotify:track:2hERMN4Fl5CdlEWiWrCLEX,"A Three-Legged Workhorse","S/T","This Will Destroy You",2007-01-08,550653,37,false,5forty,2013-05-14T04:30:24Z,"post-rock,math rock,drone metal","Dark Operative",0.535,0.406,3,-8.577,0,0.036,0.00855,0.772,0.0999,0.115,111.982,4
spotify:track:1kZvOyo7g6k01Au6DuXY4Y,"Threads","S/T","This Will Destroy You",2007-01-08,339600,37,false,5forty,2013-05-14T04:30:24Z,"post-rock,math rock,drone metal","Dark Operative",0.458,0.75,8,-6.241,1,0.0481,0.00245,0.791,0.111,0.329,119.007,4
