Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KnsBA0iWt9OcikVfzPDZs,"Communication","Communication","Armin van Buuren",1999-06-01,199667,2,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music Albums",0.386,0.967,8,-6.649,1,0.0379,0.0000545,0.908,0.204,0.509,135.959,4
,"undefined","undefined","undefined",,,,,armadamusicofficial,2025-06-23T13:00:13Z,"","undefined",,,,,,,,,,,,
spotify:track:0mE9Uwnzhco5P3RfRS21EW,"Touch Me","Trance Mission","Paul Oakenfold;Cassandra Fox",2014-06-20,335624,34,false,armadamusicofficial,2025-10-17T09:41:19Z,"trance","BEAT Music Fund",0.454,0.425,4,-10.545,0,0.0326,0.659,0.145,0.0972,0.0766,128.022,4
spotify:track:3BXt77ZEx0IxxfbgmrbOrV,"Hold That Sucker Down","Hold That Sucker Down","OT Quartet",2025-07-04,223400,20,false,armadamusicofficial,2025-07-04T02:01:36Z,"","Armada Music",0.638,0.908,11,-7.783,0,0.0452,0.000507,0.224,0.277,0.29,129.039,4
spotify:track:3TltZ4yCDer3I5wS8MzRmX,"Blue Fear","Blue Fear","Armin van Buuren",1996-03-10,220280,32,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music",0.557,0.844,10,-9.086,0,0.0636,0.00683,0.943,0.11,0.42,135.992,4
spotify:track:7fIfO8fZ55Eq5qtd5vCd6z,"Out Of The Blue","Out Of The Blue (Remastered)","System F",2010-02-22,234186,53,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance","Premier",0.523,0.922,7,-8.864,1,0.0377,0.0000746,0.867,0.0749,0.575,140.033,4
spotify:track:7kCPSj5daCJDnSU5mG7GuM,"On The Move","On The Move","Will Atkinson;Barthezz",2026-01-16,176896,33,false,armadamusicofficial,2026-01-16T03:02:01Z,"trance,progressive trance,eurodance","Armada Music",0.464,0.995,10,-1.755,0,0.0739,0.00789,0.765,0.248,0.583,145.003,4
spotify:track:3CMj8IyrV76GFPFYIZb6qm,"I Feel Love (V2)","I Feel Love (V2)","Mauro Picotto;CRW",2025-01-17,134098,27,false,armadamusicofficial,2025-10-03T02:02:04Z,"trance,hard house,electronic classical,italo dance","Armada Music",0.467,0.968,8,-4.783,0,0.0349,0.000448,0.133,0.125,0.408,135.028,4
spotify:track:4j46ToSyw8fkgLlU2n23Jw,"Gouryella","Armada Music - 20 Years","Gouryella;Ferry Corsten",2023-06-01,217146,20,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance,progressive trance","Armada Music Albums",0.561,0.957,0,-6.625,1,0.0428,0.000134,0.736,0.0913,0.334,138.019,4
spotify:track:1gna5uhRjnv5S8whkuKuri,"Everytime - Benwal Remix","Everytime (Benwal Remix)","IDEMI;Lustral;Benwal",2026-01-23,199266,40,false,armadamusicofficial,2026-01-23T03:02:14Z,"hard house,trance,eurodance,uk garage","Armada Music",0.599,0.957,6,-7.476,0,0.143,0.00364,0.63,0.143,0.0983,138.024,4
spotify:track:2PRMjvFJmmgMW1yGi3lnaD,"Coming On Strong","Coming On Strong","I. JORDAN;Signum;Scott Mac",2026-01-16,213743,39,false,armadamusicofficial,2026-01-16T03:02:01Z,"trance,hard house,progressive trance","Armada Music",0.547,0.846,1,-7.76,0,0.0269,0.000829,0.911,0.157,0.618,137.003,4
spotify:track:2uuz9HbYfjyEpt7BZyMPU8,"Drifting Away","Trance Top 1000 - The Pioneers","Lange;Skye",2021-08-27,201658,19,false,armadamusicofficial,2025-10-24T02:02:04Z,"trance,progressive trance","Armada Music Albums",0.509,0.941,4,-8.705,0,0.0615,0.024,0.133,0.297,0.403,136.015,4
spotify:track:5scwfRrhV5aDfJVkXgxLOP,"Seven Cities - Armin van Buuren Vocal Mix","Seven Cities (Armin van Buuren Vocal Mix)","Solarstone;Armin van Buuren",2025-12-19,220722,25,false,armadamusicofficial,2025-12-19T03:02:07Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music",0.469,0.81,0,-10.35,1,0.0338,0.000279,0.802,0.132,0.176,135.02,4
spotify:track:6cNOIP7w7xrmfZWepTJADR,"Greece 2000","Armada Music - 20 Years","Three Drives On A Vinyl;Three Drives",2023-06-01,234773,20,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance","Armada Music Albums",0.707,0.842,1,-11.393,0,0.0532,0.00618,0.871,0.0628,0.763,131.783,4
spotify:track:14OVWSQMjCjWsLhC0M8RBz,"Sonic Samba - Rising Star Remix","Sonic Samba (Rising Star Remix)","Armin van Buuren;Rising Star",2025-12-11,193732,55,false,armadamusicofficial,2025-12-12T03:01:52Z,"trance,progressive trance,progressive house,electronica,edm","Armind",0.449,0.973,6,-4.648,0,0.0367,0.00584,0.938,0.141,0.0448,142.027,4
spotify:track:6duy7zf7NeVMObYeFhN09L,"Iguana","Iguana","Mauro Picotto;Cafius",2026-01-09,211601,38,false,armadamusicofficial,2026-01-09T03:01:59Z,"trance,hard house,electronic classical,italo dance,indie dance,deep house","Armada Music",0.685,0.954,1,-5.796,1,0.0384,0.0000447,0.867,0.929,0.0472,131.973,4
spotify:track:1rO61T3jVwbokKW9F1CWBv,"Greece 2000 - Max Styler Rework","Greece 2000 (Max Styler Rework)","Max Styler;Three Drives;Three Drives On A Vinyl",2026-01-09,217674,59,false,armadamusicofficial,2026-01-09T03:01:59Z,"tech house,trance","Armada Music",0.719,0.987,1,-5.893,1,0.0585,0.0175,0.873,0.115,0.329,128.997,4
spotify:track:04QT04cI2UtSp6hjF3rvZr,"Saltwater","Saltwater","Chicane;Moya Brennan;onTune",2025-12-12,202717,33,false,armadamusicofficial,2025-12-12T03:01:52Z,"trance,celtic,new age,progressive trance","Armada Music",0.562,0.919,5,-4.554,0,0.0405,0.0000302,0.795,0.104,0.0399,137.993,4
spotify:track:35u8ALUkbFm37EoCENz3dx,"Carte Blanche","Carte Blanche","Veracocha;Ferry Corsten",1999-05-01,205800,42,false,armadamusicofficial,2025-06-19T22:08:26Z,"trance,progressive trance","Armada Music",0.573,0.979,10,-5.766,0,0.0361,0.000171,0.806,0.21,0.464,140.005,4
