Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GAemDMWAXa8wZOBkO1gar,"Buggin' Out","The Low End Theory","A Tribe Called Quest",1991-09-24,217466,58,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.887,0.419,10,-10.961,0,0.353,0.114,0.268,0.129,0.576,96.149,4
spotify:track:7AgMX97ljLm9BzszyyXEYZ,"Jazz (We've Got)","The Low End Theory","A Tribe Called Quest",1991-09-24,250240,65,true,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.822,0.479,11,-15.962,1,0.271,0.719,0.0000442,0.124,0.72,92.461,4
spotify:track:4tEaytMs86hIaOSsiGoLcP,"Excursions","The Low End Theory","A Tribe Called Quest",1991-09-24,234626,58,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.885,0.608,11,-10.809,1,0.169,0.386,0.0118,0.319,0.707,95.748,4
spotify:track:6Lamu5YqNiyjfpVRQ5tcNz,"Bonita Applebum","Peoples' Instinctive Travels & the Paths of Rhythm","A Tribe Called Quest",1990-04-17,229640,0,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.864,0.4,11,-14.382,1,0.236,0.0744,0.00639,0.469,0.569,91.903,4
spotify:track:6BpbIRCDezaxgx6l2sy4zm,"Luck of Lucien","Peoples' Instinctive Travels & the Paths of Rhythm","A Tribe Called Quest",1990-04-17,272666,0,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.886,0.449,1,-12.158,0,0.178,0.0959,0.000415,0.103,0.721,104.751,4
spotify:track:758mQT4zzlvBhy9PvNePwC,"Butter","The Low End Theory","A Tribe Called Quest",1991-09-24,218773,54,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.728,0.381,7,-14.809,1,0.322,0.0316,0,0.342,0.465,92.051,4
spotify:track:4MdEYuoGhG2RTG3erOiu2H,"Vibes and Stuff","The Low End Theory","A Tribe Called Quest",1991-09-24,257825,51,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.818,0.261,2,-14.406,0,0.194,0.709,0.0216,0.108,0.482,92.335,4
spotify:track:6zrsmzrMoxNkXEQLubCWtA,"Verses from the Abstract (feat. Vinia Mojica & Ron Carter)","The Low End Theory","A Tribe Called Quest;Vinia Mojica;Ron Carter",1991-09-24,238893,50,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop,french r&b,jazz,hard bop,cool jazz,bebop,jazz ballads","Jive",0.868,0.424,7,-14.047,1,0.329,0.0912,0.000152,0.161,0.756,87.614,4
spotify:track:0kMDFI2uqA16c8rWzXWlAU,"The Jam","Beats, Rhymes & Life","A Tribe Called Quest",1996-07-30,278106,47,true,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.893,0.595,10,-6.549,0,0.342,0.167,0,0.156,0.733,94.623,4
spotify:track:5n8cSgwHezSYw8pcGJIqn8,"1nce Again - Radio Version","The Best Of","A Tribe Called Quest;Tammy Lucas",2008-04-01,229480,0,false,5forty,2012-09-21T03:00:23Z,"jazz rap,east coast hip hop,old school hip hop,hip hop,new jack swing","Sony BMG Music Entertainment",0.803,0.536,10,-6.962,0,0.308,0.0696,0.0000159,0.348,0.852,93.668,4
