Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2AVIj9LZ8pfKk1HpC6uLtr,"Always Awake in Shadows","Dawn of Delight","Tropical Popsicle",2013-02-25,205813,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.368,0.786,9,-9.237,1,0.0323,0.00000964,0.887,0.328,0.399,132.428,4
spotify:track:0PZGmoEKKP1G4d5ivsNYGs,"Age of Attraction","Dawn of Delight","Tropical Popsicle",2013-02-25,187986,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.562,0.937,6,-9.882,1,0.045,0.000276,0.864,0.112,0.885,122.225,4
spotify:track:4iG3jkIv08xFm7b63hTspk,"Ghost Beacons","Dawn of Delight","Tropical Popsicle",2013-02-25,300880,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.514,0.695,4,-8.631,1,0.0321,0.00804,0.349,0.353,0.662,125.964,4
spotify:track:2KiGygWqXDHO5gLiq4aAJS,"The Beach With No Footprints","Dawn of Delight","Tropical Popsicle",2013-02-25,243986,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.745,0.392,7,-11.182,0,0.0373,0.00167,0.449,0.0694,0.966,112.773,4
spotify:track:6fnhVUGEg8axjNZuMCsZKh,"Tethers","Dawn of Delight","Tropical Popsicle",2013-02-25,165040,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.519,0.959,5,-8.088,0,0.0377,0.000441,0.904,0.254,0.581,142.281,4
spotify:track:0Hhw11XHHOOCdAgOkrJYNw,"View from the Dihedrall Wall","Dawn of Delight","Tropical Popsicle",2013-02-25,162866,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.408,0.783,9,-9.397,1,0.0547,0.105,0.725,0.345,0.811,136.215,4
spotify:track:00qjL83F2svNlHX81ToPTd,"Canyons","Dawn of Delight","Tropical Popsicle",2013-02-25,126493,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.219,0.203,3,-22.738,0,0.0516,0.967,0.888,0.195,0.0456,72.541,4
spotify:track:6oImzJ3d6FkhI6gJG2Dz3d,"Cathedral City","Dawn of Delight","Tropical Popsicle",2013-02-25,172840,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.327,0.778,1,-9.129,1,0.0312,0.0119,0.836,0.0934,0.519,146.514,4
spotify:track:1TyKth12xwoK5a8rPgKO1M,"Havana","Dawn of Delight","Tropical Popsicle",2013-02-25,138440,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.447,0.844,5,-7.417,1,0.0318,0.00204,0.633,0.186,0.962,125.469,4
spotify:track:0fNSZxGEauhnHVpfIyf7JW,"The Omni Present Heart Shield","Dawn of Delight","Tropical Popsicle",2013-02-25,160146,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.481,0.386,7,-13.879,1,0.0398,0.849,0.267,0.148,0.517,82.377,4
spotify:track:3vpNeC3QtfkEomVVK9AsIc,"Queen of New York","Dawn of Delight","Tropical Popsicle",2013-02-25,163120,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.543,0.723,10,-7.887,1,0.0312,0.00881,0.000306,0.108,0.772,122.207,4
spotify:track:6sOB3CEuFzVNY02IRCGWyL,"The Universe of God Shadow","Dawn of Delight","Tropical Popsicle",2013-02-25,268746,0,false,5forty,2015-01-12T04:10:16Z,"","Talitres",0.461,0.686,2,-9.957,1,0.0306,0.0615,0.908,0.319,0.58,145.265,4
