Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6FK0mNCgPa8XxeJ7CchOfW,"Duelist","True Widow","True Widow",2008-11-11,276373,33,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","End Sounds",0.432,0.501,9,-10.933,1,0.0331,0.0721,0.146,0.163,0.157,112.982,4
spotify:track:6IfmL7H8ZH8zCpdDL8dLox,"AKA","True Widow","True Widow",2008-11-11,290933,27,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","End Sounds",0.346,0.49,5,-10.821,0,0.0329,0.211,0.62,0.0988,0.0872,145.772,4
spotify:track:6okqev52NhauVYzJKVfzfa,"Minor It Down","True Widow","True Widow",2008-11-11,257853,20,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","End Sounds",0.327,0.766,1,-11.05,0,0.0399,0.00588,0.263,0.115,0.238,104.511,4
spotify:track:78RUBFiN8VC9GW8orrQowg,"Sunday Driver","True Widow","True Widow",2008-11-11,455093,23,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","End Sounds",0.393,0.505,11,-11.208,1,0.0288,0.135,0.903,0.0866,0.277,135.195,4
spotify:track:0QbCJ3tSIVHmSpSa7yqcxP,"Corpse Master","True Widow","True Widow",2008-11-11,396626,20,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","End Sounds",0.291,0.427,1,-11.058,0,0.0292,0.0657,0.285,0.0844,0.14,134.657,4
spotify:track:3OmBgcGOkANOZ2zMbcPcJs,"Jackyl","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,349653,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.345,0.466,4,-10.291,1,0.0312,0.309,0.938,0.344,0.159,127.15,4
spotify:track:0dzYrmlKLbWSrGhjNdFGF4,"Blooden Horse","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,424640,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.248,0.588,10,-9.832,0,0.0317,0.058,0.424,0.111,0.236,86.56,4
spotify:track:39ILwU7EGfL03UKcs52Ddu,"NH","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,399613,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.314,0.326,8,-10.676,1,0.0323,0.319,0.918,0.16,0.11,99.96,4
spotify:track:7GHbjnYg1Vjt3jiWfZPh7r,"Skull Eyes","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,224546,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.291,0.522,1,-7.772,1,0.0304,0.00467,0.000373,0.126,0.216,167.023,4
spotify:track:7lzVSYgG3WsyBWJj6GSVyn,"Wither","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,309706,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.465,0.414,8,-9.63,1,0.0335,0.0917,0.927,0.107,0.0774,84.936,4
spotify:track:5mHwZlxNnU2mEWLy1OPJhY,"Boaz","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,441733,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.301,0.485,8,-11.103,0,0.0368,0.0475,0.765,0.111,0.308,132.688,4
spotify:track:3geDha233MZ7MuHEIPdrgb,"Night Witches","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,195733,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.442,0.761,11,-9.526,1,0.0314,0.000366,0.502,0.088,0.569,115.967,4
spotify:track:0pyoyeE7pXb4a7m6WMWZhA,"Interlude","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,55546,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.357,0.154,9,-22.92,1,0.0346,0.988,0.965,0.0754,0.34,180.596,4
spotify:track:2IcubvwXQUP0BewEuTVigM,"Doomser","As High As The Highest Heavens And From The Center To The Circumference Of The Earth","True Widow",2011-04-14,546400,0,false,5forty,2013-02-20T22:42:34Z,"shoegaze,slowcore,sludge metal,cold wave,stoner rock,doom metal,stoner metal","Kemado Records, Inc.",0.268,0.336,3,-13.385,0,0.0411,0.112,0.928,0.0701,0.0724,117.466,4
