Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1iBD6Lf9xwc8cc8zbYpXBi,"I'm Free","The Anthems/Digital","The Soup Dragons",2006-01-01,203800,11,false,,1970-01-01T00:00:00Z,"madchester,britpop","UMOD (Universal Music On Demand)",0.688,0.915,7,-5.643,1,0.0777,0.17,0.00000194,0.114,0.906,103.343,4
spotify:track:4I2NKxhquiPgkqAZzknh9J,"Can You Dig It?","Can You Dig It?: The Best Of The Mock Turtles","The Mock Turtles",2003-01-01,250933,38,false,,1970-01-01T00:00:00Z,"madchester,britpop","EMI Marketing",0.486,0.885,4,-6.439,1,0.0304,0.0021,0.159,0.382,0.85,107.386,4
spotify:track:1RSVjxbRge3mnRPWv894G4,"Shine On","House Of Love","The House of Love",1990-01-01,240066,0,false,,1970-01-01T00:00:00Z,"jangle pop,madchester,shoegaze,britpop","Fontana",0.455,0.735,9,-9.646,0,0.0338,0.0804,0.00104,0.373,0.291,136.136,4
spotify:track:4c6vZqYHFur11FbWATIJ9P,"There She Goes","The La's","The La's",1990,162186,74,false,,1970-01-01T00:00:00Z,"britpop,jangle pop","UMC (Universal Music Catalogue)",0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4
spotify:track:0IVMSJTtLbhJEjnOVlbOYD,"Good Morning Britain","Stray (US Internet Release)","Aztec Camera",1990,242533,44,false,,1970-01-01T00:00:00Z,"jangle pop,new wave","Rhino",0.574,0.874,11,-10.403,1,0.0357,0.00252,0.0000304,0.055,0.563,120.089,4
spotify:track:0XDv7SLyMkGcAnb12fMHa1,"Senses Working Overtime - Remastered 2001","English Settlement","XTC",1982-02-12,290667,50,false,,1970-01-01T00:00:00Z,"new wave,power pop,post-punk,jangle pop","Virgin Records",0.68,0.665,0,-11.886,1,0.0355,0.0289,0.0289,0.659,0.862,129.899,4
spotify:track:13pcmhQBWljZ2Quw7rBJgo,"This Is How It Feels","Greatest Hits","Inspiral Carpets",2003-10-27,193333,0,false,,1970-01-01T00:00:00Z,"madchester,britpop","Mute",0.468,0.872,11,-5.809,1,0.0438,0.00767,0.0000513,0.256,0.384,119.374,4
spotify:track:516RY36vkidQgK8LfDqVyG,"Get The Message - Single Remix","Get The Message - The Best Of Electronic","Electronic",2006-09-15,231960,36,false,,1970-01-01T00:00:00Z,"madchester,synthpop,alternative dance,new wave,britpop","Parlophone UK",0.702,0.923,7,-4.587,1,0.0293,0.00705,0.718,0.145,0.939,108.29,4
spotify:track:64u8RwtU9II6K6Jg7nxllI,"Chemical World - Includes Hidden Track 'Intermission'","Modern Life Is Rubbish","Blur",1993,393600,0,false,,1970-01-01T00:00:00Z,"britpop,madchester,alternative rock","Parlophone",0.26,0.704,2,-11.318,1,0.0415,0.0353,0.000111,0.212,0.515,166.153,4
spotify:track:4TsPgREzTTOkAdm1acm6GV,"Come Home - Bonus Track","Essential Festival: James (International Version)","James",2008-01-01,235880,14,false,,1970-01-01T00:00:00Z,"britpop,madchester","Universal Music Group International",0.462,0.745,4,-8.602,1,0.0304,0.00683,0.000417,0.217,0.901,116.72,4
spotify:track:4LKfcu9xLaZ6HLtTTCez5u,"Strawberry Fields Forever","Madstock...","Candy flip",1990,252773,34,false,pauliepaul,2017-01-13T18:57:54Z,"madchester,alternative dance","Passion Music",0.62,0.905,9,-12.065,1,0.0626,0.397,0.0105,0.0868,0.666,91.298,4
spotify:track:4er8NyQ8cFnZ2b643Tjc44,"Shiny Happy People","Out Of Time (U.S. Version)","R.E.M.",1991-01-01,224800,0,false,,1970-01-01T00:00:00Z,"jangle pop,alternative rock,rock","Warner Bros.",0.491,0.87,9,-5.99,1,0.0308,0.00361,0.126,0.184,0.814,124.444,4
