Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5keAwdUe92jFfo7IOS0sy9,"Cups","Beaucoup Fish","Underworld",1999-01-01,705666,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.49,0.67,8,-10.815,1,0.0391,0.0232,0.914,0.223,0.649,130.04,4
spotify:track:5lrnwx1CCpdeT0AFyDp7Kn,"Push Upstairs","Beaucoup Fish","Underworld",1999-01-01,274200,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.547,0.585,10,-9.911,0,0.0507,0.0000487,0.842,0.156,0.692,140.01,4
spotify:track:1sXo4FbRiyRShO1T9gx2C2,"Jumbo","Beaucoup Fish","Underworld",1999-01-01,417693,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.635,0.573,5,-11.001,0,0.0396,0.212,0.839,0.126,0.859,140.001,4
spotify:track:7lGi14arUrxdr2SRzjEBGu,"Shudder: King Of Snake","Beaucoup Fish","Underworld",1999-01-01,571933,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.558,0.978,7,-7.632,1,0.0636,0.0000138,0.764,0.554,0.293,139.994,4
spotify:track:4K4IpKT7CMiJd9x9bMBmJu,"Winjer","Beaucoup Fish","Underworld",1999-01-01,269200,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.588,0.618,11,-18.292,1,0.0543,0.563,0.901,0.117,0.17,129.989,4
spotify:track:6wVcRQKM3FRhlsDntqBWKn,"Skym","Beaucoup Fish","Underworld",1999-01-01,248373,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.279,0.0382,7,-20.129,1,0.0418,0.972,0.00504,0.113,0.0399,138.984,3
spotify:track:7zd8ggZzgkWdxbVXOZg5lY,"Bruce Lee","Beaucoup Fish","Underworld",1999-01-01,282400,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.834,0.702,8,-8.51,1,0.0958,0.0207,0.00173,0.139,0.493,100.009,4
spotify:track:6UoafILIJmiAZHQq3jP4wz,"Kittens","Beaucoup Fish","Underworld",1999-01-01,451293,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.605,0.934,2,-9.022,1,0.0561,0.000269,0.887,0.222,0.0371,134.983,4
spotify:track:2F2Kp0bkiErNRFW0KmfyOR,"Push Downstairs","Beaucoup Fish","Underworld",1999-01-01,363906,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.588,0.535,0,-13.125,0,0.0332,0.876,0.17,0.327,0.394,140.026,4
spotify:track:64Lws5l0MLC2VBa6D0ObU1,"Something Like A Mama","Beaucoup Fish","Underworld",1999-01-01,397466,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.582,0.847,4,-10.536,0,0.0327,0.122,0.878,0.115,0.566,140.023,4
spotify:track:6eGwekfZlb0XgJkPQwlyVK,"Moaner","Beaucoup Fish","Underworld",1999-01-01,457933,0,false,5forty,2012-10-15T03:35:27Z,"big beat,electronica","Underworldlive.com",0.571,0.752,10,-8.48,0,0.0472,0.0000269,0.834,0.112,0.293,139.994,4
